iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ALB,Asia,Afghanistan,2020-05-08,368,154,114.429,1310.0,6.0,,1171.383,2.903,0.939,,1.737,0.374,,,,,,,,,,,,,,,,,,,,,,,,76.85,38928341,104.871,18.6,13.188,3.857,13913.839,1.1,597.029,10.08,0.7,,83.741,2.89,64.83,0.785
AND,Asia,Afghanistan,2020-09-15,34441,121,107.571,1333.0,9.0,21.429,2249.228,3.956,5.461,126.486,0.137,0.13,0.76,,,,,,,,,,,,,,,,,,,,,,,54.63,2877800,17.348,18.6,2.581,1.337,,,304.195,6.73,,,37.746,0.5,76.88,0.498
ALB,Europe,Albania,2020-05-17,5105,3,291.143,,30.0,12.857,908.69,0.95,3.798,42.097,0.182,0.274,1.16,,,,,,,,,,,,,,,,,,,,,,,74.07,2877800,54.422,18.6,2.581,1.337,13913.839,0.5,278.364,9.59,0.7,30.4,,0.5,78.57,0.754
ALB,Asia,Andorra,2020-09-03,38716,17,785.857,2352.0,5.0,10.571,77.125,12.942,23.331,7.992,0.046,0.084,1.12,,,,,,,,,,,,,,,,,,,,,,,76.85,38928341,104.871,18.6,2.581,8.643,13913.839,0.5,597.029,9.59,7.1,51.2,37.746,2.89,76.88,0.498
DZA,Europe,Andorra,2020-02-28,66635,10,1008.429,,3.0,5.0,1209.196,0.0,2.463,,,0.044,1.03,,,,,,,,,,,,,,,,,,,,,,,16.67,2877800,54.422,18.6,6.211,3.857,1803.987,1.1,597.029,9.59,7.1,,,0.5,78.57,0.785
DZA,Africa,Andorra,2020-04-22,84152,113,84.286,134.0,7.0,7.0,4443.325,3.417,96.144,63.214,1.042,0.293,1.39,,,,,,,,,,,,,,,,,,,,,,,89.81,2877800,54.422,38.0,2.581,1.337,,1.1,304.195,10.08,,30.4,83.741,0.5,64.83,0.498
ALB,Asia,Andorra,2020-06-27,45773,28,57.571,1183.0,,5.286,0.023,19.497,2.415,56.283,0.257,0.44,1.08,,,,,,,,,,,,,,,,,,,,,,,86.57,2877800,17.348,29.1,6.211,8.643,1803.987,1.1,304.195,9.59,,51.2,37.746,0.5,64.83,0.785
AND,Europe,Afghanistan,2020-06-02,8119,25,109.286,455.0,7.0,8.714,1307.426,7.731,6.007,36.282,0.411,0.274,1.38,,,,,,,,,,,,,,,,,,,,,,,92.13,2877800,54.422,38.0,2.581,3.857,1803.987,1.1,278.364,10.08,,51.2,83.741,0.5,76.88,0.754
DZA,Asia,Andorra,2020-03-28,1532,255,104.429,132.0,11.0,10.571,0.388,4.213,266.225,29.919,2.085,0.182,1.02,,,,,,,,,,,,,,,,,,,,,,,76.85,38928341,54.422,,2.581,3.857,11803.431,0.5,278.364,6.73,,51.2,,2.89,64.83,0.785
ALB,Asia,Albania,2021-01-11,43403,419,732.0,2447.0,3.0,3.143,1051.599,5.266,10.014,118.146,0.347,0.158,1.01,,,,,,,,,,,,,,,,,,,,,,,31.48,2877800,104.871,29.1,,8.643,11803.431,,278.364,10.08,29.0,,,1.9,76.88,0.498
AND,Europe,Afghanistan,2020-12-03,5620,276,616.143,413.0,10.0,13.143,187.296,2.432,266.225,56.555,0.077,0.121,0.83,,,,,,,,,,,,,,,,,,,,,,,78.7,2877800,17.348,29.1,13.188,3.857,13913.839,,304.195,6.73,,51.2,37.746,0.5,76.88,0.858
AND,Europe,Algeria,2020-09-16,4,228,183.857,220.0,3.0,0.0,1364.173,4.17,2.385,0.077,0.077,1.39,,,,,,,,,,,,,,,,,,,,,,,,27.78,43851043,104.871,29.1,13.188,3.857,11803.431,0.5,109.135,9.59,0.7,30.4,,2.89,64.83,0.754
ALB,Africa,Andorra,2020-05-24,532,91,21.857,17.0,16.0,8.429,168.229,28.494,3.773,54.382,0.205,0.149,1.08,,,,,,,,,,,,,,,,,,,,,,,62.96,2877800,104.871,29.1,6.211,8.643,1803.987,1.1,304.195,6.73,,30.4,83.741,0.5,64.83,0.498
ALB,Europe,Andorra,2020-09-06,31507,463,176.571,443.0,7.0,16.143,1311.101,195.636,19.648,11.448,0.068,0.04,1.03,,,,,,,,,,,,,,,,,,,,,,,21.3,43851043,104.871,38.0,13.188,1.337,1803.987,,597.029,9.59,7.1,30.4,37.746,0.5,78.57,0.498
AND,Asia,Andorra,2020-12-30,2895,73,419.286,31.0,5.0,,979.492,4.865,16.965,42.325,0.16,1.539,,,,,,,,,,,,,,,,,,,,,,,,0.0,2877800,54.422,29.1,2.581,3.857,1803.987,1.1,597.029,10.08,0.7,30.4,,1.9,78.57,0.785
ALB,Europe,Afghanistan,2020-12-23,89,89,91.714,34.0,3.0,5.714,717.543,4.219,1.424,36.041,0.182,0.062,1.13,,,,,,,,,,,,,,,,,,,,,,,,43851043,17.348,18.6,2.581,8.643,13913.839,1.1,278.364,9.59,7.1,30.4,83.741,2.89,76.88,0.785
ALB,Europe,Albania,2020-05-12,3225,14,247.286,55.0,5.0,4.143,621.308,0.0,5.505,183.126,0.16,,1.13,,,,,,,,,,,,,,,,,,,,,,,63.89,2877800,54.422,29.1,13.188,1.337,13913.839,1.1,278.364,9.59,0.7,30.4,,2.89,64.83,0.754
ALB,Africa,Andorra,2020-07-02,51847,87,539.857,1475.0,4.0,15.0,18417.889,3.147,2.78,19.27,0.068,0.248,0.49,,,,,,,,,,,,,,,,,,,,,,,16.67,43851043,54.422,29.1,6.211,1.337,11803.431,,304.195,6.73,0.7,30.4,,2.89,76.88,0.498
DZA,Asia,Afghanistan,2020-12-01,36665,121,107.429,473.0,6.0,6.857,568.891,18.417,1.108,19.429,0.051,0.099,0.97,,,,,,,,,,,,,,,,,,,,,,,76.85,43851043,17.348,38.0,2.581,3.857,13913.839,,597.029,9.59,0.7,30.4,37.746,2.89,64.83,0.754
ALB,Asia,Albania,2020-09-28,91,542,634.714,905.0,19.0,6.714,1421.225,2.085,0.899,,0.206,0.477,1.06,,,,,,,,,,,,,,,,,,,,,,,72.22,2877800,104.871,29.1,2.581,3.857,1803.987,0.5,278.364,9.59,0.7,30.4,83.741,0.5,76.88,0.498
AND,Asia,Andorra,2020-08-27,1,840,,2301.0,14.0,2.857,1274.675,14.899,18.913,397.178,0.0,1.489,1.02,,,,,,,,,,,,,,,,,,,,,,,0.0,38928341,17.348,,2.581,1.337,13913.839,1.1,278.364,10.08,0.7,30.4,37.746,0.5,76.88,0.754
ALB,Europe,Afghanistan,2020-11-17,39444,78,454.857,44.0,12.0,4.714,13.666,46.216,1.916,0.103,0.128,4.219,,,,,,,,,,,,,,,,,,,,,,,,76.85,2877800,104.871,38.0,2.581,1.337,13913.839,0.5,597.029,10.08,0.7,30.4,37.746,0.5,76.88,0.754
AND,Africa,Algeria,2020-07-20,53105,80,10.571,1635.0,8.0,0.143,0.745,23.282,5.461,0.103,3.822,0.179,1.25,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341,104.871,29.1,6.211,8.643,13913.839,1.1,109.135,6.73,29.0,30.4,37.746,1.9,76.88,0.754
DZA,Europe,Afghanistan,2020-03-08,2910,6,161.857,728.0,5.0,6.571,1029.953,0.925,18.615,277.295,0.0,0.0,1.19,,,,,,,,,,,,,,,,,,,,,,,54.63,2877800,17.348,18.6,13.188,3.857,1803.987,,304.195,10.08,,30.4,83.741,1.9,76.88,0.498
AND,Asia,Albania,2020-08-22,33556,68,19.857,2705.0,5.0,13.857,1088.959,0.114,10.239,69.15,0.051,1.191,,,,,,,,,,,,,,,,,,,,,,,,68.52,43851043,104.871,38.0,2.581,3.857,13913.839,1.1,304.195,9.59,,51.2,,1.9,78.57,0.498
AND,Asia,Albania,2020-05-18,18,28,168.714,1460.0,6.0,1.286,39.354,0.283,0.011,39.431,,0.166,1.02,,,,,,,,,,,,,,,,,,,,,,,79.63,2877800,104.871,38.0,6.211,3.857,1803.987,,597.029,6.73,0.7,30.4,83.741,1.9,64.83,0.754
AND,Asia,Andorra,2020-10-04,96069,60,7.857,18.0,6.0,0.0,390.667,3.398,0.052,14.942,0.0,0.15,0.78,,,,,,,,,,,,,,,,,,,,,,,72.22,38928341,54.422,18.6,6.211,3.857,11803.431,,304.195,6.73,,,37.746,1.9,64.83,0.498
ALB,Europe,Albania,2020-08-26,49194,22,199.143,33.0,,2.714,2311.963,2.394,3.466,8.552,0.046,0.239,1.16,,,,,,,,,,,,,,,,,,,,,,,54.63,2877800,17.348,29.1,13.188,8.643,1803.987,,597.029,6.73,0.7,51.2,83.741,1.9,64.83,0.498
ALB,Asia,Afghanistan,2020-06-24,54317,153,90.429,2831.0,2.0,4.714,904.714,10.08,103.154,17.491,0.0,0.015,0.98,,,,,,,,,,,,,,,,,,,,,,,54.63,43851043,104.871,29.1,13.188,3.857,13913.839,,278.364,10.08,7.1,51.2,83.741,2.89,78.57,0.498
ALB,Europe,Andorra,2020-06-30,832,348,95.571,2501.0,,6.143,125.443,22.85,49.989,281.465,0.565,0.0,1.16,,,,,,,,,,,,,,,,,,,,,,,12.04,43851043,54.422,38.0,13.188,3.857,13913.839,,304.195,7.97,0.7,51.2,,0.5,64.83,0.785
AND,Asia,Albania,2020-03-22,42148,186,91.429,,6.0,4.0,1210.279,7.092,4.411,59.2,1.737,1.589,1.18,,,,,,,,,,,,,,,,,,,,,,,12.04,43851043,17.348,18.6,2.581,8.643,1803.987,,304.195,10.08,,30.4,37.746,2.89,78.57,0.498
ALB,Asia,Andorra,2020-04-16,29229,761,38.571,172.0,14.0,5.857,329.418,1.574,4.158,64.126,0.347,0.345,0.83,,,,,,,,,,,,,,,,,,,,,,,12.04,43851043,17.348,29.1,13.188,3.857,13913.839,,278.364,6.73,7.1,,37.746,1.9,76.88,0.785
AFG,Africa,Albania,2020-05-27,7019,298,89.571,2253.0,0.0,7.571,1171.381,13.523,4.862,37.145,0.539,0.231,,,,,,,,,,,,,,,,,,,,,,,,86.57,2877800,104.871,18.6,13.188,1.337,13913.839,,304.195,6.73,0.7,30.4,,1.9,64.83,0.785
AND,Europe,Albania,2020-08-07,548,15,108.286,1190.0,2.0,1.429,2318.234,0.617,30.132,,0.205,0.059,0.9,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341,17.348,,13.188,3.857,13913.839,,304.195,9.59,,30.4,,1.9,76.88,0.858
AND,Asia,Andorra,2020-02-27,2127,413,134.0,,8.0,14.143,1056.942,6.819,6.862,,0.684,0.011,1.14,,,,,,,,,,,,,,,,,,,,,,,16.67,38928341,17.348,29.1,13.188,3.857,1803.987,0.5,597.029,6.73,,30.4,83.741,2.89,78.57,0.498
DZA,Asia,Algeria,2020-05-13,20315,59,85.714,2324.0,0.0,16.143,1060.102,176.176,6.9,36.683,0.334,1.539,1.21,,,,,,,,,,,,,,,,,,,,,,,60.19,77265,104.871,29.1,2.581,1.337,1803.987,0.5,597.029,9.59,7.1,30.4,37.746,2.89,76.88,0.498
ALB,Asia,Afghanistan,2020-05-07,5,932,26.286,1472.0,,6.571,13801.863,7.731,256.843,25.996,,0.169,0.89,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341,104.871,38.0,2.581,8.643,13913.839,1.1,597.029,9.59,,51.2,,1.9,64.83,0.785
ALB,Europe,Algeria,2020-12-02,19445,3,718.0,2816.0,5.0,8.429,952.596,53.861,50.584,64.97,0.182,0.205,0.96,,,,,,,,,,,,,,,,,,,,,,,57.41,2877800,17.348,38.0,13.188,3.857,13913.839,0.5,278.364,9.59,,30.4,37.746,0.5,83.73,0.498
DZA,Africa,Afghanistan,2020-07-25,48007,228,50.571,2807.0,27.0,6.571,209.256,10.506,8.341,5.626,1.737,0.04,1.61,,,,,,,,,,,,,,,,,,,,,,,78.7,2877800,17.348,18.6,13.188,1.337,13913.839,,109.135,6.73,0.7,,83.741,1.9,76.88,0.785
ALB,Asia,Algeria,2020-05-15,45188,242,20.0,1391.0,19.0,2.857,1523.772,12.942,256.843,112.586,0.565,0.18,0.72,,,,,,,,,,,,,,,,,,,,,,,89.81,43851043,104.871,38.0,2.581,3.857,1803.987,,597.029,9.59,29.0,,,2.89,64.83,0.785
DZA,Europe,Albania,2020-04-15,511,421,2.571,358.0,14.0,25.143,5177.219,54.208,4.369,15.289,0.539,0.0,,,,,,,,,,,,,,,,,,,,,,,,63.89,43851043,54.422,29.1,13.188,1.337,13913.839,1.1,304.195,10.08,7.1,51.2,83.741,2.89,76.88,0.754
AND,Europe,Andorra,2020-09-03,2662,68,205.286,1074.0,,10.429,1043.61,0.026,37.678,81.312,0.456,0.165,0.77,,,,,,,,,,,,,,,,,,,,,,,54.63,43851043,17.348,18.6,2.581,8.643,1803.987,1.1,304.195,6.73,0.7,51.2,37.746,1.9,64.83,0.754
AND,Asia,Andorra,2020-06-28,678,49,362.714,2737.0,5.0,15.143,84.44,4.994,24.225,14.942,0.274,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,60.19,38928341,163.755,38.0,2.581,1.337,1803.987,1.1,278.364,10.08,0.7,,37.746,2.89,76.88,0.498
ALB,Europe,Andorra,2020-04-29,19554,135,0.0,,7.0,1.857,25.611,23.282,0.675,19.087,0.16,0.576,0.47,,,,,,,,,,,,,,,,,,,,,,,60.19,38928341,54.422,29.1,13.188,8.643,13913.839,1.1,109.135,10.08,,30.4,83.741,0.5,64.83,0.785
ALB,Asia,Andorra,2020-06-08,97857,153,580.286,188.0,12.0,3.0,995.984,0.026,4.043,29.486,1.042,0.297,0.93,,,,,,,,,,,,,,,,,,,,,,,75.93,38928341,17.348,18.6,6.211,8.643,1803.987,0.5,304.195,10.08,7.1,,37.746,2.89,76.88,0.498
ALB,Asia,Andorra,2020-08-24,50914,409,383.714,31.0,12.0,3.0,1361.759,0.0,0.015,400.653,2.78,1.042,1.44,,,,,,,,,,,,,,,,,,,,,,,89.81,43851043,54.422,29.1,6.211,8.643,11803.431,0.5,304.195,10.08,7.1,30.4,37.746,1.9,64.83,0.498
AFG,Asia,Afghanistan,2020-07-17,39096,835,718.0,304.0,6.0,12.0,94.73,1.747,1.813,37.608,0.051,0.0,1.08,,,,,,,,,,,,,,,,,,,,,,,54.63,43851043,104.871,38.0,6.211,8.643,11803.431,,304.195,6.73,0.7,51.2,,2.89,78.57,0.498
DZA,Asia,Andorra,2020-10-13,24206,106,20.0,35.0,5.0,13.143,8.683,7.297,26.111,366.599,0.462,0.05,0.9,,,,,,,,,,,,,,,,,,,,,,,76.85,43851043,54.422,38.0,2.581,3.857,11803.431,0.5,304.195,9.59,0.7,,,1.9,78.57,0.498
ALB,Europe,Andorra,2020-12-25,11672,538,516.571,4.0,6.0,2.286,249.002,2.62,1.974,51.428,0.0,0.415,,,,,,,,,,,,,,,,,,,,,,,,76.85,43851043,54.422,38.0,6.211,1.337,11803.431,,597.029,6.73,7.1,30.4,37.746,1.9,78.57,0.785
ALB,Europe,Afghanistan,2020-06-29,1,146,576.571,111.0,0.0,4.0,271.829,52.123,0.606,5.574,,0.15,0.77,,,,,,,,,,,,,,,,,,,,,,,54.63,38928341,17.348,29.1,6.211,1.337,13913.839,,304.195,6.73,0.7,51.2,37.746,1.9,64.83,0.754
ALB,Europe,Andorra,2020-10-19,6016,6,804.0,837.0,3.0,15.429,781.975,273.125,206.358,54.092,0.068,0.525,1.03,,,,,,,,,,,,,,,,,,,,,,,81.48,2877800,54.422,38.0,2.581,8.643,11803.431,,304.195,6.73,0.7,,83.741,2.89,83.73,0.785
AND,Asia,Andorra,2020-06-27,240,0,14.714,646.0,2.0,0.143,13.666,22.918,149.122,60.085,0.228,0.228,0.9,,,,,,,,,,,,,,,,,,,,,,,50.93,2877800,54.422,18.6,2.581,3.857,1803.987,1.1,278.364,9.59,0.7,,,2.89,76.88,0.785
DZA,Asia,Andorra,2020-08-21,46516,835,63.714,128.0,4.0,4.857,3156.23,0.026,24.274,64.286,0.308,2.978,1.01,,,,,,,,,,,,,,,,,,,,,,,76.85,38928341,104.871,38.0,6.211,1.337,13913.839,1.1,597.029,10.08,7.1,51.2,,1.9,76.88,0.785
ALB,Asia,Afghanistan,2020-12-11,52520,761,236.571,44.0,0.0,0.0,2821.252,55.251,22.997,23.215,0.114,0.189,1.28,,,,,,,,,,,,,,,,,,,,,,,74.07,2877800,104.871,,13.188,,1803.987,0.5,597.029,9.59,0.7,51.2,,0.5,78.57,0.754
ALB,Asia,Andorra,2020-08-22,21462,13,22.429,1231.0,8.0,10.571,284.94,11.562,2.033,45.006,,0.3,0.96,,,,,,,,,,,,,,,,,,,,,,,62.96,43851043,104.871,38.0,6.211,1.337,11803.431,,304.195,9.59,7.1,,,1.9,64.83,0.785
ALB,Europe,Afghanistan,2020-06-11,82221,0,258.0,892.0,3.0,18.571,1773.925,53.861,3.619,43.488,0.365,0.0,1.79,,,,,,,,,,,,,,,,,,,,,,,36.11,38928341,104.871,29.1,2.581,3.857,1803.987,1.1,109.135,10.08,0.7,51.2,37.746,2.89,64.83,0.785
ALB,Asia,Afghanistan,2020-04-05,27973,9,709.0,402.0,4.0,1.857,224.191,4.333,6.921,11.467,0.051,0.0,1.04,,,,,,,,,,,,,,,,,,,,,,,75.93,43851043,17.348,18.6,2.581,3.857,13913.839,0.5,304.195,7.97,0.7,30.4,83.741,2.89,76.88,0.498
AND,Asia,Andorra,2020-07-31,584,297,107.571,31.0,8.0,0.0,1280.312,0.899,12.194,12.656,0.205,0.095,0.94,,,,,,,,,,,,,,,,,,,,,,,57.41,43851043,54.422,38.0,2.581,1.337,1803.987,,304.195,10.08,0.7,51.2,83.741,1.9,64.83,0.785
ALB,Asia,Andorra,2020-07-27,36790,593,343.714,455.0,5.0,10.714,1088.959,1.984,9.391,357.217,6.602,0.208,0.83,,,,,,,,,,,,,,,,,,,,,,,83.33,43851043,17.348,29.1,13.188,3.857,11803.431,,304.195,6.73,29.0,,37.746,1.9,78.57,0.498
DZA,Asia,Afghanistan,2020-05-29,907,670,157.857,,4.0,4.143,945.84,5.678,44.329,23.717,0.103,0.154,0.98,,,,,,,,,,,,,,,,,,,,,,,16.67,38928341,104.871,18.6,2.581,3.857,11803.431,,278.364,6.73,0.7,,83.741,1.9,76.88,0.754
AND,Africa,Albania,2020-08-25,841,185,64.0,,14.0,1.571,7.064,35.096,9.229,17.97,0.182,0.092,1.22,,,,,,,,,,,,,,,,,,,,,,,76.85,43851043,163.755,38.0,6.211,8.643,1803.987,,278.364,9.59,0.7,30.4,83.741,1.9,78.57,0.498
DZA,Europe,Afghanistan,2020-08-05,63033,153,105.857,1403.0,,1.429,22.239,42.046,5.851,20.638,,0.037,0.74,,,,,,,,,,,,,,,,,,,,,,,54.63,38928341,104.871,29.1,13.188,1.337,1803.987,0.5,278.364,9.59,7.1,37.8,37.746,2.89,76.88,0.498
ALB,Europe,Afghanistan,2020-04-15,39285,467,270.0,358.0,4.0,0.143,329.766,2.826,8.141,20.154,3.127,0.0,1.11,,,,,,,,,,,,,,,,,,,,,,,31.48,38928341,54.422,29.1,6.211,8.643,13913.839,,597.029,10.08,,51.2,37.746,1.9,64.83,0.754
ALB,Europe,Algeria,2020-11-28,29147,542,586.0,631.0,4.0,20.714,208.296,8.888,49.343,128.57,0.0,0.244,1.41,,,,,,,,,,,,,,,,,,,,,,,0.0,43851043,17.348,29.1,13.188,8.643,1803.987,1.1,304.195,6.73,7.1,30.4,37.746,0.5,78.57,0.498
DZA,Asia,Albania,2020-08-13,6151,121,1026.143,,1.0,1.429,998.116,15.393,16.921,165.752,0.274,0.055,0.72,,,,,,,,,,,,,,,,,,,,,,,67.59,43851043,54.422,18.6,2.581,1.337,13913.839,,278.364,10.08,7.1,,83.741,1.9,64.83,0.754
AND,Africa,Andorra,2021-01-11,3393,2,1056.571,153.0,15.0,0.286,1153.428,3.982,2.451,37.71,0.0,0.189,1.08,,,,,,,,,,,,,,,,,,,,,,,62.96,43851043,104.871,38.0,6.211,3.857,11803.431,,304.195,10.08,,,,0.5,64.83,0.498
ALB,Europe,Andorra,2020-06-24,37750,92,75.143,1277.0,2.0,3.714,1145.104,3.147,,56.283,0.274,0.313,0.87,,,,,,,,,,,,,,,,,,,,,,,57.41,38928341,17.348,18.6,2.581,1.337,11803.431,0.5,278.364,6.73,,,,2.89,64.83,0.754
AND,Europe,Afghanistan,2020-11-09,3127,58,101.286,1535.0,11.0,1.714,1029.79,4.219,136.82,14.732,0.334,0.455,,,,,,,,,,,,,,,,,,,,,,,,,2877800,54.422,38.0,13.188,1.337,11803.431,,597.029,10.08,0.7,30.4,,2.89,78.57,0.785
ALB,Asia,Afghanistan,2020-07-29,4763,397,438.571,1789.0,9.0,3.286,465.981,234.554,4.115,29.952,0.228,0.202,1.04,,,,,,,,,,,,,,,,,,,,,,,65.74,43851043,17.348,18.6,13.188,1.337,11803.431,0.5,278.364,10.08,,51.2,37.746,2.89,78.57,0.785
ALB,Asia,Andorra,2020-03-27,1464,225,18.857,1768.0,3.0,0.143,0.411,0.347,14.194,17.519,0.433,1.688,1.17,,,,,,,,,,,,,,,,,,,,,,,72.22,2877800,17.348,38.0,6.211,1.337,11803.431,0.5,597.029,9.59,7.1,30.4,,2.89,78.57,0.498
ALB,Africa,Albania,2020-10-24,907,14,159.429,585.0,1.0,1.0,1082.939,53.166,18.851,188.686,0.591,0.418,1.64,,,,,,,,,,,,,,,,,,,,,,,83.33,43851043,17.348,18.6,,1.337,13913.839,0.5,304.195,9.59,0.7,51.2,,2.89,78.57,0.754
ALB,Europe,Andorra,2020-12-17,68589,2,54.0,132.0,18.0,8.0,8789.353,1.026,2.78,35.553,0.308,0.128,0.84,,,,,,,,,,,,,,,,,,,,,,,25.0,43851043,104.871,18.6,2.581,8.643,1803.987,1.1,304.195,6.73,0.7,,83.741,2.89,78.57,0.785
AND,Africa,Andorra,2020-07-06,898,255,155.429,1446.0,9.0,0.0,71.31,1.952,0.048,53.843,0.228,0.189,0.74,,,,,,,,,,,,,,,,,,,,,,,57.41,43851043,54.422,29.1,2.581,8.643,1803.987,,278.364,9.59,0.7,,83.741,0.5,76.88,0.498
ALB,Europe,Albania,2020-09-29,38243,146,151.0,1719.0,11.0,4.0,12.942,5.189,23.3,32.675,0.154,0.397,1.05,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341,17.348,29.1,13.188,8.643,1803.987,0.5,278.364,6.73,,,,2.89,76.88,0.858
DZA,Asia,Albania,2020-04-06,2535,376,17.571,1446.0,14.0,9.571,675.96,4.082,6.141,,,1.042,1.12,,,,,,,,,,,,,,,,,,,,,,,54.63,38928341,17.348,29.1,13.188,1.337,13913.839,1.1,278.364,9.59,,51.2,37.746,1.9,78.57,0.498
DZA,Asia,Albania,2020-08-24,38159,219,263.286,1474.0,13.0,2.286,1429.681,52.818,3.026,37.89,0.228,5.56,0.77,,,,,,,,,,,,,,,,,,,,,,,92.13,38928341,104.871,18.6,6.211,1.337,13913.839,,109.135,9.59,0.7,,37.746,1.9,76.88,0.785
