Date,annee,Semaine,Zone_sante,total_a_suivre,suivis,non_suivis,nouveau_contacts,cas_suspects,contacts_sortis,Données manquantes,jamais_vus,non_vus_48h,pdv,reticences,deplaces,reste_a_suivre
43357,2018,33,Gamboula,2159,163.0,4,,,0.0,,,,,,,
43341,2018,47,Kaga-Bandoro,73,120.0,134,2.0,,,,,,,,,
43322,2018,40,Mambéré-Kadéï,49,83.0,217,,,,,,,,,,
43365,2018,50,Carnot,596,130.0,58,137.0,,,,,,,,,
04/12/2018,2018,48,Kaga-Bandoro,292,124.0,3,,,,,,,,,,
43344,2018,49,Kaga-Bandoro,114,46.0,2,,,,,,,,,,
43410,2018,43,Carnot,616,380.0,3,,,,,,,,,,
43332,2018,46,Bangui,52,7.0,64,,,,,,,,,,
43423,2018,49,Kémo,73,175.0,0,,,,,,,,,,
43398,2018,40,Mambéré-Kadéï,864,52.0,167,,,,,,,,,,
43372,2018,47,Bambio,212,32.0,1,,,,,,,,,,
43332,2018,44,Amada-Gaza,514,330.0,13,,,,,,,,,,
43410,2018,46,Paoua,308,274.0,26,,,,,,,,,,
43394,2018,45,Mbomou,146,2304.0,29,,,0.0,,,,,,,
43349,2018,46,Mbomou,267,122.0,0,,,,,,,,,,
43388,2018,39,Ouham-Pendé,67,141.0,2,,,0.0,,,,,,,
43402,2018,47,Kaga-Bandoro,131,675.0,0,,,,,,,,,,
43362,2018,42,Kaga-Bandoro,369,300.0,16,,,,,,,,,,
43328,2018,44,Bambio,125,53.0,8,34.0,,,,,,,,,
43350,2018,50,Ouham-Pendé,52,89.0,114,157.0,,,,,,,,,
43398,2018,40,Bambio,28,713.0,0,,,0.0,,,,,,,
43326,2018,45,Mambéré-Kadéï,9,614.0,9,17.0,,,,,,,,,
43391,2018,35,Gamboula,87,188.0,0,0.0,0.0,,,,,,,,
43319,2018,50,Mobaye,533,819.0,2,29.0,,0.0,,,,,,,
43350,2018,37,Ouham-Pendé,387,714.0,73,,,,,,,,,,
43359,2018,50,Gamboula,147,72.0,232,25.0,,,,,,,,,
43356,2018,45,Gamboula,73,108.0,7,47.0,,,,,,,,,
43429,2018,37,Baboua,54,150.0,0,,,0.0,,,,,,,
43340,2018,50,Carnot,173,1075.0,72,,,,,,,,,,
43318,2018,41,Mambéré-Kadéï,44,714.0,2,0.0,0.0,,,,,,,,
43342,2018,44,Kaga-Bandoro,172,7.0,2,0.0,,,,,,,,,
43337,2018,40,Mobaye,89,3356.0,254,21.0,,,,,,,,,
43376,2018,45,Mbomou,4864,78.0,1,,,,,,,,,,
43423,2018,49,Gamboula,1343,9.0,0,,,,,,,,,,
43416,2018,47,Baboua,87,606.0,540,,,,,,,,,,
43346,2018,36,Zémio,37,1651.0,6,,,,,,,,,,
43380,2018,37,Kaga-Bandoro,495,93.0,6,,,,,,,,,,
43380,2018,42,Bambio,453,379.0,1,,,,,,,,,,
29/11/2018,2018,45,Bambio,644,90.0,1,,,,,,,,,,
43405,2018,42,Kaga-Bandoro,379,4.0,199,,,0.0,,,,,,,
43394,2018,49,Carnot,328,995.0,2,,,,,,,,,,
43374,2018,44,Gamboula,491,1.0,18,0.0,,,,,,,,,
43333,2018,43,Kaga-Bandoro,539,206.0,22,,,,,,,,,,
43397,2018,46,Kaga-Bandoro,37,200.0,0,0.0,,,,,,,,,
43351,2018,41,Mbomou,357,140.0,6,,,,,,,,,,
43364,2018,35,Gamboula,276,158.0,5,,,,,,,,,,
43364,2018,34,Mbomou,259,181.0,1,,0.0,,,,,,,,
43373,2018,49,Mambéré-Kadéï,119,3206.0,1,,,,,,,,,,
43368,2018,50,Mbomou,207,48.0,5,,,,,,,,,,
43318,2018,48,Kaga-Bandoro,9,527.0,28,,,,,,,,,,
43353,2018,47,Mbomou,634,63.0,1,,1.0,,,,,,,,
43338,2018,48,Gamboula,49,71.0,233,,,,,,,,,,
43380,2018,39,Kaga-Bandoro,292,26.0,20,,,,,,,,,,
43403,2018,38,Gamboula,3851,4.0,0,125.0,,,,,,,,,
16/12/2018,2018,36,Kaga-Bandoro,84,211.0,13,,,,,,,,,,
43418,2018,39,Gamboula,32,339.0,19,,,,,,,,,,
43362,2018,37,Mbomou,2143,50.0,1,,,,,,,,,,
43369,2018,38,Zémio,289,39.0,0,,,,,,,,,,
43394,2018,43,Bambio,71,804.0,96,,,0.0,,,,,,,
29/11/2018,2018,44,Bangui,953,52.0,3,,,0.0,,,,,,,
43380,2018,39,Gamboula,838,353.0,0,,,0.0,,,,,,,
43341,2018,44,Gamboula,850,201.0,17,0.0,,,,,,,,,
43331,2018,48,Mbomou,4614,206.0,47,,,,,,,,,,
43338,2018,39,Carnot,239,704.0,2,102.0,,0.0,,,,,,,
43412,2018,50,Zémio,2159,50.0,31,,,,,,,,,,
43328,2018,35,Ouham-Pendé,177,2248.0,89,,0.0,,,,,,,,
43318,2018,49,Zémio,869,4227.0,4,,,0.0,,,,,,,
43421,2018,46,Bambio,745,52.0,20,,,,,,,,,,
43356,2018,43,Paoua,1375,241.0,0,,,,,,,,,,
43333,2018,43,Gamboula,283,149.0,0,,,,,,,,,,
15/12/2018,2018,41,Mambéré-Kadéï,290,71.0,1,,,,,,,,,,
43330,2018,49,Carnot,170,500.0,7,,,,,,,,,,
43359,2018,44,Carnot,537,2080.0,35,,0.0,,,,,,,,
43321,2018,34,Bimbo,637,425.0,47,,,,,,,,,,
43338,2018,39,Mambéré-Kadéï,37,68.0,0,,,,,,,,,,
43370,2018,47,Mbomou,84,268.0,15,,,0.0,,,,,,,
43393,2018,39,Bangui,459,798.0,0,,,,,,,,,,
43391,2018,47,Mobaye,161,77.0,5,,,,,,,,,,
02/12/2018,2018,49,Carnot,119,243.0,18,,,,,,,,,,
14/12/2018,2018,38,Bambio,166,67.0,0,,,,,,,,,,
43400,2018,39,Ouham-Pendé,137,177.0,0,0.0,,,,,,,,,
43354,2018,36,Bimbo,819,52.0,72,,,,,,,,,,
43366,2018,42,Gamboula,161,72.0,180,0.0,,,,,,,,,
43341,2018,46,Carnot,168,7.0,26,,,,,,,,,,
43358,2018,41,Kaga-Bandoro,791,63.0,6,,,,,,,,,,
43321,2018,45,Kaga-Bandoro,173,1.0,8,,,,,,,,,,
43375,2018,43,Gamboula,291,315.0,0,,,,,,,,,,
43367,2018,39,Mbomou,353,225.0,114,,1.0,,,,,,,,
43336,2018,47,Mobaye,163,79.0,10,,,,,,,,,,
43423,2018,37,Carnot,69,1398.0,11,,,,,,,,,,
14/12/2018,2018,46,Mobaye,131,161.0,11,21.0,,,,,,,,,
43394,2018,32,Gamboula,3601,96.0,2,,,45.0,,,,,,,
15/12/2018,2018,40,Carnot,57,35.0,10,,,,,,,,,,
43411,2018,46,Mambéré-Kadéï,292,779.0,73,,,,,,,,,,
43391,2018,39,Baboua,292,162.0,12,,,,,,,,,,
43399,2018,39,Kaga-Bandoro,42,1.0,18,,,,,,,,,,
43420,2018,50,Zémio,459,182.0,0,10.0,,,,,,,,,
43396,2018,36,Mbomou,1152,355.0,2,,,,,,,,,,
29/11/2018,2018,46,Amada-Gaza,218,1694.0,11,,0.0,,,,,,,,
43370,2018,50,Gamboula,208,451.0,43,,,,,,,,,,
43405,2018,46,Kaga-Bandoro,0,420.0,6,,,,,,,,,,
43422,2018,43,Bambio,517,83.0,0,,,,,,,,,,
43375,2018,37,Ouham-Pendé,309,142.0,2,,,,,,,,,,
10/12/2018,2018,41,Mbomou,171,79.0,40,,0.0,,,,,,,,
43375,2018,43,Paoua,4,83.0,44,,,,,,,,,,
43370,2018,48,Carnot,194,72.0,0,,,,,,,,,,
43394,2018,33,Paoua,239,408.0,2,,0.0,,,,,,,,
43326,2018,50,Kémo,99,81.0,1,,,,,,,,,,
43331,2018,50,Carnot,57,223.0,351,1.0,0.0,,,,,,,,
15/12/2018,2018,37,Ouham-Pendé,865,4.0,8,,,,,,,,,,
43338,2018,47,Bambio,53,259.0,0,,0.0,,,,,,,,
43405,2018,39,Mobaye,195,57.0,32,,0.0,,,,,,,,
43334,2018,47,Zémio,163,42.0,2,,0.0,,,,,,,,
43402,2018,50,Gamboula,73,1149.0,0,,,,,,,,,,
43403,2018,42,Bimbo,338,3206.0,0,,,,,,,,,,
43431,2018,48,Mbomou,73,145.0,182,,,,,,,,,,
43380,2018,42,Ouham-Pendé,46,71.0,0,,,,,,,,,,
43336,2018,32,Gamboula,84,175.0,351,,,,,,,,,,
43364,2018,40,Mbomou,72,390.0,11,,,,,,,,,,
43423,2018,45,Amada-Gaza,276,9.0,0,,,,,,,,,,
43369,2018,50,Carnot,172,627.0,0,,,,,,,,,,
43362,2018,47,Kaga-Bandoro,168,67.0,10,,,,,,,,,,
14/12/2018,2018,47,Bimbo,95,109.0,19,,,,,,,,,,
43396,2018,35,Bangui,1466,1235.0,9,,,,,,,,,,
43332,2018,44,Gamboula,292,99.0,28,,,,,,,,,,
11/12/2018,2018,32,Carnot,9,89.0,91,,,,,,,,,,
43371,2018,41,Zémio,163,18.0,141,,,,,,,,,,
43402,2018,48,Gamboula,447,54.0,2,,,,,,,,,,
43429,2018,50,Carnot,859,163.0,1,,0.0,,,,,,,,
14/12/2018,2018,38,Kaga-Bandoro,176,57.0,0,,,0.0,,,,,,,
43368,2018,42,Paoua,3964,844.0,11,,,,,,,,,,
43390,2018,47,Mobaye,459,207.0,15,,,,,,,,,,
43332,2018,37,Zémio,752,29.0,182,97.0,,,,,,,,,
43371,2018,40,Kaga-Bandoro,73,36.0,6,,1.0,,,,,,,,
43355,2018,47,Mobaye,460,298.0,7,,,,,,,,,,
43423,2018,47,Gamboula,248,83.0,0,,,,,,,,,,
43370,2018,50,Ouham-Pendé,52,539.0,27,,,,,,,,,,
43353,2018,40,Bangui,327,155.0,11,,,,,,,,,,
43420,2018,44,Paoua,177,500.0,1,,,,,,,,,,
43427,2018,45,Gamboula,62,54.0,378,,,0.0,,,,,,,
43414,2018,43,Paoua,232,314.0,0,,,,,,,,,,
43366,2018,50,Ouham-Pendé,586,208.0,0,,,,,,,,,,
43343,2018,34,Mbomou,533,227.0,1,,,,,,,,,,
43346,2018,46,Bambio,134,1.0,254,,,,,,,,,,
43337,2018,43,Bangui,53,175.0,6,,0.0,,,,,,,,
43385,2018,37,Gamboula,163,36.0,0,,,0.0,,,,,,,
43404,2018,45,Bimbo,168,268.0,0,,,,,,,,,,
43341,2018,46,Kémo,84,162.0,0,,,0.0,,,,,,,
43413,2018,40,Carnot,46,271.0,3,,,,,,,,,,
43403,2018,43,Ouham-Pendé,1305,271.0,1,,,,,,,,,,
43330,2018,50,Gamboula,57,1141.0,14,0.0,0.0,,,,,,,,
43364,2018,41,Bambio,59,3687.0,1,,,,,,,,,,
43378,2018,50,Bambio,1,72.0,0,,1.0,,,,,,,,
43318,2018,45,Gamboula,1464,325.0,6,,,,,,,,,,
43418,2018,43,Mbomou,59,82.0,216,10.0,,,,,,,,,
43353,2018,35,Zémio,53,182.0,0,,,,,,,,,,
43364,2018,37,Carnot,232,99.0,0,,0.0,,,,,,,,
43366,2018,42,Gamboula,2289,114.0,126,,,,,,,,,,
43353,2018,49,Mambéré-Kadéï,163,339.0,5,,,,,,,,,,
43361,2018,39,Bambio,290,3439.0,1,,,,,,,,,,
43328,2018,48,Zémio,37,124.0,177,,,,,,,,,,
43351,2018,48,Carnot,1198,124.0,0,,,0.0,,,,,,,
43411,2018,47,Zémio,207,841.0,11,4.0,,0.0,,,,,,,
43370,2018,47,Mobaye,169,959.0,117,,,,,,,,,,
43417,2018,46,Paoua,530,275.0,28,,,,,,,,,,
02/12/2018,2018,43,Zémio,790,29.0,2,,,,,,,,,,
43408,2018,38,Carnot,80,1954.0,0,,,,,,,,,,
43341,2018,47,Carnot,330,114.0,8,,,,,,,,,,
43412,2018,45,Bambio,104,1.0,0,,,,,,,,,,
43321,2018,48,Kaga-Bandoro,1004,125.0,2,,,,,,,,,,
09/12/2018,2018,50,Paoua,80,45.0,85,,,,,,,,,,
43405,2018,48,Gamboula,141,155.0,0,,,,,,,,,,
43330,2018,39,Kaga-Bandoro,54,109.0,96,,,,,,,,,,
43385,2018,34,Kémo,473,453.0,0,,,,,,,,,,
43338,2018,47,Mbomou,52,76.0,0,,,0.0,,,,,,,
43427,2018,48,Mbomou,68,48.0,28,0.0,,,,,,,,,
43395,2018,42,Mambéré-Kadéï,37,72.0,29,,,,,,,,,,
06/12/2018,2018,44,Kaga-Bandoro,166,150.0,1021,,0.0,,,,,,,,
43369,2018,43,Mbomou,1,459.0,0,,,,,,,,,,
43341,2018,50,Bimbo,869,804.0,19,,,,,,,,,,
43330,2018,40,Zémio,838,370.0,223,,0.0,,,,,,,,
43394,2018,32,Kémo,168,1141.0,0,,,118.0,,,,,,,
43394,2018,35,Mambéré-Kadéï,1541,45.0,0,,,,,,,,,,
43398,2018,47,Kémo,793,399.0,3,,,,,,,,,,
43384,2018,37,Carnot,138,1141.0,232,,,,,,,,,,
08/12/2018,2018,39,Mbomou,276,1235.0,0,,,,,,,,,,
43375,2018,49,Bambio,553,67.0,0,,,0.0,,,,,,,
43403,2018,50,Mambéré-Kadéï,207,163.0,30,,,33.0,,,,,,,
43413,2018,39,Bangui,131,112.0,34,,4.0,,,,,,,,
10/12/2018,2018,37,Gamboula,147,704.0,5,,0.0,0.0,,,,,,,
43398,2018,36,Mobaye,4,269.0,26,31.0,,,,,,,,,
43323,2018,38,Mbomou,67,358.0,9,,,,,,,,,,
43380,2018,42,Gamboula,84,143.0,56,10.0,,,,,,,,,
16/12/2018,2018,43,Gamboula,65,36.0,0,,0.0,,,,,,,,
43332,2018,38,Mobaye,1407,490.0,3,,,,,,,,,,
43367,2018,48,Bambio,79,90.0,85,,,,,,,,,,
43429,2018,46,Ouham-Pendé,347,1.0,10,,,,,,,,,,
43408,2018,49,Carnot,0,163.0,2,,,,,,,,,,
43326,2018,40,Gamboula,849,151.0,10,,,,,,,,,,
43383,2018,44,Mbomou,428,959.0,0,,,,,,,,,,
43408,2018,48,Gamboula,119,380.0,56,,0.0,,,,,,,,
06/12/2018,2018,45,Ouham-Pendé,73,47.0,0,,,,,,,,,,
43329,2018,44,Bimbo,37,399.0,1,,,,,,,,,,
43341,2018,46,Mambéré-Kadéï,283,299.0,0,,,,,,,,,,
08/12/2018,2018,37,Gamboula,117,51.0,11,,,,,,,,,,
43399,2018,41,Kaga-Bandoro,268,67.0,7,,,,,,,,,,
43423,2018,46,Carnot,68,381.0,6,,,,,,,,,,
43404,2018,49,Kaga-Bandoro,2093,1651.0,0,,,,,,,,,,
43333,2018,39,Carnot,168,99.0,0,,,,,,,,,,
43378,2018,48,Gamboula,99,203.0,0,,,,,,,,,,
43328,2018,32,Kaga-Bandoro,2358,157.0,33,,,,,,,,,,
43347,2018,43,Mambéré-Kadéï,99,488.0,0,,0.0,110.0,,,,,,,
43415,2018,38,Zémio,293,459.0,16,,,,,,,,,,
43362,2018,47,Mbomou,52,712.0,277,,0.0,0.0,,,,,,,
29/11/2018,2018,48,Kémo,49,50.0,0,,,,,,,,,,
43330,2018,40,Amada-Gaza,662,147.0,0,,,,,,,,,,
29/11/2018,2018,40,Carnot,147,331.0,4,,,,,,,,,,
43405,2018,36,Mbomou,46,1.0,8,,,,,,,,,,
43330,2018,40,Zémio,298,1144.0,1,,,,,,,,,,
09/12/2018,2018,41,Bimbo,265,296.0,186,,,,,,,,,,
43374,2018,42,Kaga-Bandoro,179,25.0,0,,,,,,,,,,
43321,2018,34,Ouham-Pendé,9,200.0,2,,,0.0,,,,,,,
43351,2018,40,Mambéré-Kadéï,69,22.0,12,33.0,,,,,,,,,
43354,2018,50,Bambio,57,812.0,4,,,,,,,,,,
01/12/2018,2018,50,Kémo,514,500.0,3,,,,,,,,,,
43380,2018,45,Ouham-Pendé,4100,66.0,19,,,3.0,,,,,,,
43328,2018,48,Gamboula,72,231.0,0,,0.0,,,,,,,,
43390,2018,36,Ouham-Pendé,263,455.0,0,,,,,,,,,,
43341,2018,41,Gamboula,49,341.0,3,,,0.0,,,,,,,
43380,2018,50,Mbomou,109,7.0,1,,3.0,,,,,,,,
43408,2018,50,Bangui,134,3687.0,0,,0.0,,,,,,,,
43353,2018,40,Gamboula,0,76.0,6,,,,,,,,,,
08/12/2018,2018,42,Mbomou,562,430.0,7,,,220.0,,,,,,,
43346,2018,46,Ouham-Pendé,141,206.0,0,,,,,,,,,,
43408,2018,44,Mbomou,406,200.0,60,,,,,,,,,,
43429,2018,46,Kaga-Bandoro,125,307.0,5,,,,,,,,,,
43429,2018,49,Kaga-Bandoro,161,160.0,0,,1.0,,,,,,,,
43412,2018,41,Mambéré-Kadéï,53,4.0,11,,,2.0,,,,,,,
43319,2018,39,Mobaye,87,161.0,2,,1.0,,,,,,,,
43358,2018,45,Ouham-Pendé,2734,324.0,11,,,,,,,,,,
09/12/2018,2018,47,Bimbo,2785,78.0,11,,,,,,,,,,
43423,2018,43,Gamboula,53,4284.0,11,,,,,,,,,,
43375,2018,39,Zémio,365,2594.0,4,,,,,,,,,,
43390,2018,46,Bangui,161,266.0,0,,,,,,,,,,
43331,2018,44,Mbomou,732,766.0,1,,,,,,,,,,
43420,2018,40,Mambéré-Kadéï,147,488.0,272,,,,,,,,,,
43320,2018,36,Carnot,35,313.0,0,,,,,,,,,,
43392,2018,43,Kaga-Bandoro,459,1037.0,0,,,,,,,,,,
43338,2018,40,Paoua,2141,84.0,46,,,110.0,,,,,,,
43390,2018,37,Gamboula,894,1817.0,0,,,,,,,,,,
43328,2018,45,Carnot,117,408.0,450,,,,,,,,,,
43351,2018,42,Kémo,218,381.0,2,,,,,,,,,,
43390,2018,39,Bambio,1,1047.0,413,,,,,,,,,,
43375,2018,44,Mobaye,103,45.0,1,24.0,,,,,,,,,
43318,2018,49,Mobaye,114,449.0,0,,0.0,,,,,,,,
43395,2018,34,Mambéré-Kadéï,37,163.0,0,,0.0,,,,,,,,
43395,2018,49,Bambio,53,46.0,2,,,0.0,,,,,,,
43407,2018,49,Bimbo,301,121.0,3,,,,,,,,,,
43429,2018,41,Kaga-Bandoro,62,71.0,254,,,0.0,,,,,,,
14/12/2018,2018,50,Kaga-Bandoro,616,0.0,14,,,,,,,,,,
02/12/2018,2018,48,Paoua,52,165.0,0,,,,,,,,,,
43423,2018,38,Ouham-Pendé,96,700.0,0,,,,,,,,,,
43329,2018,44,Gamboula,46,1302.0,351,,,0.0,,,,,,,
43322,2018,44,Mambéré-Kadéï,84,49.0,9,,,,,,,,,,
11/12/2018,2018,49,Kaga-Bandoro,596,180.0,0,,,,,,,,,,
05/12/2018,2018,43,Ouham-Pendé,305,40.0,0,,0.0,,,,,,,,
43391,2018,50,Kaga-Bandoro,850,425.0,9,,,0.0,,,,,,,
43354,2018,50,Paoua,267,49.0,0,,,,,,,,,,
43337,2018,35,Zémio,53,4306.0,0,,,,,,,,,,
43397,2018,42,Gamboula,149,36.0,0,,,0.0,,,,,,,
43431,2018,47,Gamboula,453,1.0,10,,0.0,,,,,,,,
43350,2018,42,Gamboula,1805,205.0,9,,,,,,,,,,
08/12/2018,2018,48,Mbomou,4,123.0,17,98.0,,,,,,,,,
43427,2018,47,Gamboula,513,52.0,6,,,,,,,,,,
43374,2018,41,Gamboula,110,381.0,7,,,,,,,,,,
43422,2018,49,Amada-Gaza,172,72.0,0,79.0,,,,,,,,,
43352,2018,46,Bangui,84,125.0,2,,,94.0,,,,,,,
43426,2018,48,Bimbo,114,4.0,23,,,,,,,,,,
11/12/2018,2018,37,Mambéré-Kadéï,96,1046.0,0,,,,,,,,,,
30/11/2018,2018,49,Gamboula,168,67.0,0,,,,,,,,,,
43374,2018,45,Zémio,170,52.0,0,100.0,,,,,,,,,
43377,2018,50,Baboua,428,151.0,3,,,,,,,,,,
43414,2018,47,Gamboula,10,828.0,3,,,,,,,,,,
43338,2018,49,Kaga-Bandoro,73,1273.0,0,,0.0,,,,,,,,
43394,2018,33,Bambio,114,821.0,1,,,,,,,,,,
29/11/2018,2018,41,Ouham-Pendé,46,163.0,6,,,,,,,,,,
43412,2018,37,Gamboula,268,101.0,2,,,,,,,,,,
43345,2018,39,Ouham-Pendé,169,852.0,1,,,,,,,,,,
43429,2018,50,Bangui,1,1.0,0,,,,,,,,,,
43331,2018,41,Mobaye,131,52.0,2,,,,,,,,,,
16/12/2018,2018,45,Amada-Gaza,281,71.0,26,,,,,,,,,,
43350,2018,46,Zémio,194,1.0,4,,,,,,,,,,
12/12/2018,2018,41,Bimbo,4,211.0,0,,0.0,,,,,,,,
43383,2018,50,Mambéré-Kadéï,49,121.0,2,,,,,,,,,,
43383,2018,32,Mambéré-Kadéï,162,9.0,18,,,,,,,,,,
43406,2018,32,Zémio,3851,355.0,134,,,,,,,,,,
