report_date,report_time_24h,report_country,report_region,num_death,date_of_death
2020-02-19,1899-12-31 11:27:00,Monaco,Ouaka,1.0,
2020-03-01,1899-12-31 15:58:00,Colombia,Ouaka,3.0,
2020-03-03,1899-12-31 20:30:00,Suriname,Nana-Mambéré,1.0,2020-02-01
2020-02-25,1899-12-31 10:00:00,Monaco,Nana-Grébizi,1.0,
2020-03-02,1899-12-31 21:20:00,Jamaica,Nana-Grébizi,1.0,
2020-02-19,1899-12-31 14:45:00,Jamaica,Nana-Grébizi,1.0,
2020-02-25,1899-12-31 15:36:00,Suriname,Ouaka,27.0,
2020-02-29,1899-12-31 09:49:00,Monaco,Nana-Mambéré,1.0,2020-02-01
2020-02-20,1899-12-31 13:00:00,Jamaica,Nana-Grébizi,,
2020-03-02,1899-12-31 16:20:00,Gibraltar,Nana-Grébizi,,2020-02-01
2020-02-25,1899-12-31 13:13:00,Malta,Nana-Grébizi,,
2020-02-21,1899-12-31 12:26:00,Sri Lanka,Nana-Grébizi,,2020-02-01
2020-02-25,1899-12-31 05:10:00,Jamaica,Nana-Mambéré,4.0,2020-02-01
2020-02-15,1899-12-31 00:01:00,Suriname,Ouaka,,2020-02-01
2020-02-29,1899-12-31 09:00:00,Gibraltar,Nana-Grébizi,2.0,
2020-02-28,1899-12-31 03:36:00,Cambodia,Ouaka,,
2020-02-19,1899-12-31 11:46:00,Jamaica,Nana-Grébizi,,2020-02-01
2020-02-13,1899-12-31 16:00:00,Jamaica,Nana-Grébizi,,2020-02-01
2020-02-23,1899-12-31 14:12:00,Jamaica,Ouaka,6.0,
2020-02-27,1899-12-31 09:00:00,Jamaica,Nana-Grébizi,,2020-02-01
2020-02-23,1899-12-31 13:00:00,Jamaica,Nana-Grébizi,1.0,
2020-02-22,1899-12-31 19:07:00,Monaco,Ouaka,2.0,
2020-02-19,1899-12-31 12:31:00,Malta,Nana-Mambéré,4.0,
2020-02-21,1899-12-31 15:10:00,Jamaica,Nana-Mambéré,1.0,
2020-02-27,1899-12-31 15:10:00,Cambodia,Nana-Grébizi,,2020-02-15
2020-02-19,1899-12-31 05:10:00,Algeria,Ouaka,,2020-02-01
2020-02-25,1899-12-31 16:32:00,Colombia,Ouaka,,
2020-02-15,1899-12-31 13:20:00,Jamaica,Ouaka,,2020-02-01
2020-03-04,1899-12-31 10:35:00,Jamaica,Ouaka,,
2020-02-26,,Jamaica,Nana-Grébizi,,2020-02-15
2020-02-27,1899-12-31 21:10:00,Monaco,Nana-Grébizi,,2020-02-15
2020-02-23,1899-12-31 14:07:00,Gibraltar,Ouaka,2.0,
2020-03-01,1899-12-31 20:17:00,Colombia,Ouaka,1.0,
2020-02-02,1899-12-31 15:36:00,Suriname,Nana-Grébizi,,
2020-02-13,1899-12-31 11:46:00,Gibraltar,Nana-Grébizi,,2020-02-13
2020-03-04,1899-12-31 09:30:00,Malta,Nana-Grébizi,1.0,
2020-02-27,1899-12-31 04:14:00,Gibraltar,Ouaka,1.0,2020-02-01
2020-02-22,1899-12-31 12:26:00,Sri Lanka,Nana-Grébizi,2.0,
2020-02-25,1899-12-31 15:36:00,Malta,Nana-Mambéré,1.0,
2020-02-19,1899-12-31 09:49:00,Jamaica,Ouaka,,2020-02-15
2020-02-15,1899-12-31 14:59:00,Suriname,Ouaka,,2020-02-01
2020-02-21,1899-12-31 09:49:00,Malta,Nana-Mambéré,8.0,
2020-02-24,1899-12-31 03:36:00,Jamaica,Nana-Grébizi,3.0,
2020-02-19,1899-12-31 06:54:00,Gibraltar,Nana-Mambéré,1.0,2020-02-01
2020-02-28,1899-12-31 15:58:00,Colombia,Nana-Mambéré,,2020-02-13
2020-02-23,1899-12-31 11:27:00,Malta,Nana-Mambéré,,2020-02-13
2020-02-22,1899-12-31 09:30:00,Malta,Nana-Mambéré,,2020-02-01
,1899-12-31 04:02:00,Malta,Nana-Grébizi,,2020-02-15
2020-03-01,1899-12-31 09:42:00,Cambodia,Nana-Grébizi,1.0,2020-02-01
2020-03-04,1899-12-31 09:42:00,Jamaica,Nana-Grébizi,,2020-02-13
2020-02-25,1899-12-31 22:34:00,Malta,Nana-Grébizi,17.0,
2020-02-02,1899-12-31,Jamaica,Nana-Grébizi,1.0,2020-02-15
2020-02-19,1899-12-31 06:54:00,Gibraltar,Nana-Mambéré,1.0,2020-02-01
2020-02-22,1899-12-31 14:07:00,Jamaica,Nana-Grébizi,,
2020-02-21,1899-12-31 09:00:00,Colombia,Nana-Grébizi,1.0,2020-02-01
2020-02-19,1899-12-31 19:07:00,Suriname,Nana-Grébizi,,2020-02-01
2020-02-21,1899-12-31 11:46:00,Cambodia,Nana-Mambéré,,
,1899-12-31 04:31:00,Malta,Nana-Grébizi,11.0,2020-02-13
2020-02-27,1899-12-31 14:07:00,Jamaica,Ouaka,,
2020-02-22,1899-12-31 09:34:00,Algeria,Nana-Grébizi,4.0,2020-02-01
2020-02-28,1899-12-31 09:34:00,Jamaica,Ouaka,,
2020-02-21,1899-12-31 05:09:00,Algeria,Ouaka,,2020-02-01
2020-02-24,1899-12-31 19:07:00,Sri Lanka,Nana-Mambéré,4.0,2020-02-01
2020-02-25,1899-12-31 09:30:00,Monaco,Nana-Grébizi,1.0,
2020-02-23,1899-12-31 09:34:00,Cambodia,Nana-Grébizi,1.0,
2020-02-23,1899-12-31 18:00:00,Jamaica,Nana-Grébizi,2.0,
2020-02-15,1899-12-31 15:36:00,Malta,Ouaka,1.0,2020-02-15
2020-02-25,1899-12-31 20:17:00,Jamaica,Ouaka,4.0,
2020-03-02,1899-12-31 15:58:00,Gibraltar,Nana-Grébizi,27.0,2020-02-13
2020-02-26,1899-12-31 16:20:00,Suriname,Ouaka,,2020-02-01
2020-03-02,1899-12-31 16:20:00,Jamaica,Nana-Mambéré,,2020-02-01
2020-02-28,,Jamaica,Ouaka,1.0,2020-02-01
2020-02-15,1899-12-31 15:36:00,Malta,Nana-Grébizi,,
2020-02-22,1899-12-31 20:30:00,Jamaica,Ouaka,1.0,2020-02-01
2020-02-21,1899-12-31 04:56:00,Cambodia,Nana-Mambéré,,
2020-02-22,1899-12-31 00:01:00,Sri Lanka,Ouaka,2.0,2020-02-13
2020-02-13,1899-12-31 14:59:00,Malta,Ouaka,,2020-02-15
2020-02-25,1899-12-31 10:35:00,Jamaica,Nana-Grébizi,1.0,
2020-02-25,1899-12-31 04:56:00,Croatia,Nana-Mambéré,,
2020-02-22,1899-12-31 12:48:00,Monaco,Nana-Mambéré,1.0,
2020-02-29,1899-12-31 14:07:00,Jamaica,Ouaka,2.0,
2020-02-02,1899-12-31 13:13:00,Jamaica,Ouaka,,2020-02-13
2020-02-22,1899-12-31 05:10:00,Malta,Nana-Mambéré,,
2020-02-15,1899-12-31 19:51:00,Algeria,Ouaka,1.0,2020-02-15
2020-02-20,1899-12-31 19:07:00,Monaco,Ouaka,,
2020-02-02,1899-12-31 14:12:00,Gibraltar,Nana-Mambéré,1.0,2020-02-15
,1899-12-31 13:20:00,Jamaica,Nana-Grébizi,2.0,
2020-02-21,1899-12-31 13:20:00,Jamaica,Ouaka,1.0,
2020-02-28,1899-12-31 09:34:00,Colombia,Nana-Mambéré,,2020-02-15
2020-02-15,1899-12-31 12:13:00,Cambodia,Nana-Mambéré,,
2020-02-21,1899-12-31 09:34:00,Monaco,Nana-Grébizi,,2020-02-15
2020-02-28,1899-12-31 15:58:00,Colombia,Nana-Grébizi,1.0,2020-02-01
2020-02-26,1899-12-31 11:27:00,Suriname,Nana-Grébizi,,2020-02-01
2020-02-26,1899-12-31 09:35:00,Malta,Ouaka,6.0,
2020-02-15,1899-12-31 13:13:00,Sri Lanka,Nana-Mambéré,,
2020-02-19,1899-12-31 05:10:00,Colombia,Nana-Mambéré,3.0,
2020-02-22,1899-12-31 13:20:00,Colombia,Ouaka,,2020-02-01
2020-02-19,1899-12-31 11:27:00,Colombia,Nana-Grébizi,1.0,
2020-02-22,1899-12-31 05:10:00,Cambodia,Nana-Mambéré,,2020-02-01
2020-02-27,1899-12-31 19:51:00,Jamaica,Nana-Mambéré,17.0,2020-02-15
2020-02-20,1899-12-31 09:36:00,Cambodia,Nana-Grébizi,1.0,2020-02-01
2020-02-15,1899-12-31 05:10:00,Colombia,Nana-Grébizi,2.0,
2020-02-21,1899-12-31 12:31:00,Algeria,Nana-Mambéré,6.0,
2020-02-28,1899-12-31 15:10:00,Colombia,Ouaka,1.0,
2020-02-25,1899-12-31 09:36:00,Monaco,Nana-Grébizi,2.0,
2020-02-22,,Jamaica,Ouaka,,
2020-02-27,1899-12-31 20:17:00,Algeria,Nana-Mambéré,,2020-02-01
2020-03-02,1899-12-31 14:07:00,Jamaica,Ouaka,1.0,2020-02-13
