date2,annee,semepi,zone_sante,report_viv,report_dc,nlle_viv,nlle_dc,investig_viv,investig_dc,valid_viv,valid_dc,preleves,swab,admis,obs,nouvelle_totale,total_alerte,total_investigues,valid_tot,prel-tot,province
2020-06-03,2020,33,Bangui,0.0,0.0,18,0.0,58.0,0.0,7.0,2.0,9.0,,0.0,"1cte, 2cm",44.0,5.0,45.0,9.0,1,Lobaye
2020-09-23,2020,32,Ombella-M'Poko,0.0,0.0,10,2.0,93.0,0.0,11.0,0.0,3.0,,0.0,données non désagrégés par zs,207.0,31.0,136.0,2.0,11,Lobaye
2020-08-02,2020,24,Vakaga,4.0,0.0,55,,103.0,0.0,2.0,1.0,5.0,,4.0,admis nd,150.0,2.0,22.0,4.0,13,Ouaka
2020-07-04,2020,28,Damara,0.0,0.0,76,0.0,113.0,0.0,14.0,0.0,,,0.0,"2cte, 2com",55.0,25.0,84.0,24.0,12,Ouaka
2020-07-15,2020,27,Damara,31.0,0.0,77,0.0,4.0,0.0,19.0,0.0,21.0,,1.0,hgr,19.0,37.0,0.0,13.0,2,Lobaye
2020-06-19,2020,33,Ombella-M'Poko,0.0,0.0,53,0.0,134.0,,1.0,1.0,6.0,0.0,0.0,"1cte, 2cm",18.0,125.0,3.0,6.0,2,Ouaka
2020-06-13,2020,39,Bambari,0.0,0.0,95,0.0,20.0,0.0,19.0,1.0,0.0,0.0,2.0,"1cte, 2cm",22.0,12.0,87.0,1.0,1,Ouaka
2020-09-21,2020,38,Ouaka,0.0,0.0,19,1.0,77.0,0.0,42.0,2.0,6.0,,,cte,45.0,72.0,12.0,1.0,0,Ouaka
2020-06-02,2020,32,Ouham-Pendé,27.0,,36,0.0,70.0,1.0,26.0,1.0,12.0,,8.0,"1cte, 2cm",116.0,142.0,2.0,6.0,6,Ouaka
2020-07-06,2020,36,Ombella-M'Poko,9.0,0.0,38,2.0,7.0,0.0,19.0,0.0,7.0,,6.0,hgr,5.0,30.0,24.0,10.0,13,Ouaka
2020-08-03,2020,26,Boguila,0.0,0.0,203,0.0,37.0,2.0,7.0,0.0,33.0,0.0,2.0,hgr,175.0,45.0,99.0,4.0,1,Lobaye
2020-08-20,2020,27,Ouaka,17.0,0.0,158,,95.0,2.0,7.0,1.0,0.0,,0.0,données non désagrégés par zs ni par viv vs décès,12.0,104.0,6.0,58.0,1,Lobaye
2020-06-16,2020,40,Bambari,0.0,0.0,27,1.0,16.0,,35.0,2.0,1.0,,4.0,"1cte, 2cm",62.0,60.0,28.0,0.0,0,Ouaka
2020-06-04,2020,39,Ombella-M'Poko,0.0,0.0,11,2.0,83.0,1.0,0.0,0.0,7.0,,3.0,hgr,49.0,15.0,5.0,44.0,0,Ouaka
2020-07-11,2020,31,Ombella-M'Poko,0.0,,7,,95.0,4.0,48.0,0.0,3.0,,8.0,données non désagrégés par zs,40.0,137.0,56.0,0.0,3,Lobaye
2020-06-27,2020,33,Kaga-Bandoro,0.0,0.0,88,0.0,9.0,2.0,2.0,5.0,17.0,,,admis nd,102.0,177.0,46.0,19.0,7,Lobaye
2020-06-06,2020,38,Ombella-M'Poko,1.0,0.0,105,1.0,50.0,0.0,11.0,3.0,8.0,,3.0,données non désagrégés par zs ni par viv vs décès,83.0,15.0,38.0,23.0,6,Lobaye
2020-08-14,2020,30,Vakaga,0.0,,11,1.0,74.0,0.0,15.0,2.0,6.0,,,hgr,28.0,1.0,3.0,11.0,1,Ouaka
2020-09-19,2020,30,Yaloke,0.0,0.0,113,3.0,33.0,4.0,20.0,2.0,3.0,,2.0,"2cte, 2com",144.0,38.0,165.0,7.0,2,Lobaye
2020-06-01,2020,28,Damara,0.0,0.0,7,2.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,"2cte, 2com",45.0,110.0,150.0,17.0,15,Lobaye
2020-09-18,2020,26,Bambio,21.0,,0,2.0,125.0,2.0,7.0,2.0,0.0,,0.0,admis nd,6.0,37.0,100.0,20.0,0,Lobaye
2020-07-12,2020,30,Bambari,0.0,0.0,33,2.0,88.0,,20.0,0.0,1.0,,,données non désagrégés par zs ni par viv vs décès,33.0,7.0,112.0,41.0,1,Lobaye
2020-06-13,2020,33,Damara,0.0,0.0,45,0.0,60.0,0.0,2.0,0.0,4.0,,0.0,cte,48.0,99.0,183.0,3.0,29,Ouaka
2020-07-05,2020,32,Damara,54.0,0.0,129,,91.0,1.0,26.0,0.0,2.0,,10.0,données non désagrégés par zs ni par viv vs décès,34.0,98.0,6.0,0.0,20,Lobaye
2020-06-30,2020,35,Damara,6.0,0.0,33,0.0,23.0,,15.0,0.0,28.0,,,cte,64.0,127.0,59.0,1.0,0,Lobaye
2020-09-11,2020,23,Ombella-M'Poko,54.0,0.0,60,0.0,47.0,0.0,47.0,0.0,0.0,,4.0,,43.0,12.0,40.0,22.0,4,Lobaye
2020-06-23,2020,32,Bossembélé,0.0,0.0,22,3.0,22.0,0.0,8.0,0.0,0.0,,0.0,données non désagrégés par zs ni par viv vs décès,108.0,9.0,74.0,8.0,7,Ouaka
2020-07-28,2020,38,Yaloke,0.0,0.0,81,1.0,85.0,1.0,41.0,1.0,2.0,1.0,0.0,données non désagrégés par zs ni par viv vs décès,53.0,117.0,1.0,15.0,0,Ouaka
2020-06-05,2020,32,Ouaka,0.0,0.0,13,3.0,3.0,1.0,24.0,1.0,1.0,1.0,0.0,np,14.0,86.0,45.0,5.0,32,Lobaye
2020-09-26,2020,29,Bambio,0.0,0.0,73,1.0,44.0,4.0,3.0,0.0,6.0,,6.0,"1cte, 2cm",6.0,88.0,87.0,17.0,0,Ouaka
2020-08-22,2020,28,Damara,0.0,0.0,2,0.0,150.0,,20.0,2.0,6.0,0.0,9.0,"1cte, 2cm",16.0,214.0,0.0,2.0,14,Lobaye
2020-07-20,2020,37,Ombella-M'Poko,5.0,0.0,73,0.0,44.0,3.0,0.0,0.0,1.0,,0.0,données non désagrégés par zs ni par viv vs décès,3.0,62.0,49.0,7.0,21,Lobaye
2020-07-13,2020,39,Damara,24.0,0.0,107,0.0,69.0,1.0,39.0,0.0,3.0,1.0,0.0,hgr,33.0,120.0,85.0,12.0,1,Ouaka
2020-07-18,2020,39,Ouaka,0.0,0.0,95,1.0,82.0,0.0,7.0,0.0,0.0,,0.0,hgr,4.0,82.0,9.0,3.0,5,Lobaye
2020-08-15,2020,30,Ouham-Pendé,0.0,0.0,6,9.0,33.0,1.0,5.0,0.0,18.0,,3.0,hgr,5.0,45.0,61.0,1.0,19,Ouaka
2020-07-29,2020,37,Ouham,10.0,0.0,46,1.0,47.0,3.0,21.0,0.0,1.0,,0.0,cte,117.0,31.0,63.0,21.0,5,Ouaka
2020-06-01,2020,30,Boguila,0.0,0.0,4,,9.0,0.0,0.0,3.0,1.0,1.0,0.0,admis nd,57.0,32.0,9.0,0.0,27,Ouaka
2020-09-24,2020,31,Yaloke,3.0,0.0,121,0.0,106.0,1.0,3.0,1.0,3.0,,0.0,hgr,2.0,204.0,16.0,18.0,0,Lobaye
2020-09-02,2020,36,Vakaga,0.0,0.0,110,1.0,109.0,0.0,10.0,7.0,1.0,0.0,0.0,"1cte, 2cm",12.0,142.0,13.0,5.0,5,Lobaye
2020-08-12,2020,29,Ouham-Pendé,0.0,0.0,102,1.0,45.0,,35.0,0.0,1.0,,0.0,"2cte, 2com",86.0,93.0,123.0,8.0,3,Ouaka
2020-08-30,2020,32,Bossembélé,0.0,0.0,47,4.0,9.0,0.0,11.0,3.0,18.0,,0.0,"2cte, 2com",30.0,11.0,85.0,,6,Lobaye
2020-09-19,2020,23,Bossembélé,0.0,0.0,44,0.0,7.0,0.0,15.0,0.0,0.0,,,données non désagrégés par zs ni par viv vs décès,29.0,91.0,45.0,6.0,7,Ouaka
2020-09-15,2020,36,Ouham,1.0,0.0,68,0.0,88.0,1.0,23.0,0.0,16.0,,0.0,données non désagrégés par zs ni par viv vs décès,18.0,1.0,79.0,30.0,0,Lobaye
2020-07-10,2020,37,Bossembélé,0.0,0.0,115,0.0,119.0,0.0,13.0,0.0,21.0,,0.0,"2cte, 2com",57.0,26.0,106.0,7.0,0,Ouaka
2020-07-20,2020,32,Bossembélé,17.0,0.0,7,1.0,123.0,2.0,8.0,0.0,,,1.0,admis nd,83.0,26.0,26.0,16.0,4,Ouaka
2020-07-15,2020,37,Bambio,0.0,0.0,10,0.0,15.0,0.0,6.0,0.0,6.0,,0.0,,94.0,67.0,88.0,18.0,0,Lobaye
2020-08-27,2020,27,Ouham,1.0,0.0,21,,52.0,0.0,0.0,0.0,,1.0,1.0,np,10.0,55.0,3.0,2.0,2,Lobaye
2020-06-25,2020,35,Yaloke,16.0,0.0,78,2.0,2.0,3.0,20.0,2.0,6.0,,0.0,"2cte, 2com",32.0,1.0,26.0,1.0,1,Ouaka
2020-09-08,2020,29,Boguila,0.0,0.0,7,0.0,8.0,2.0,25.0,0.0,21.0,,2.0,données non désagrégés par zs,30.0,3.0,27.0,,2,Ouaka
2020-06-02,2020,38,Damara,0.0,0.0,107,0.0,36.0,2.0,15.0,3.0,1.0,,4.0,hgr,27.0,25.0,84.0,10.0,4,Lobaye
2020-07-17,2020,39,Bambio,0.0,0.0,1,0.0,92.0,1.0,8.0,1.0,3.0,0.0,0.0,admis nd,21.0,22.0,32.0,36.0,0,Lobaye
2020-07-28,2020,26,Vakaga,1.0,0.0,44,1.0,85.0,0.0,18.0,1.0,2.0,,0.0,données non désagrégés par zs,7.0,2.0,96.0,16.0,0,Lobaye
2020-07-19,2020,26,Bambio,0.0,0.0,0,1.0,134.0,1.0,12.0,1.0,12.0,,13.0,"1cte, 2cm",5.0,308.0,54.0,3.0,22,Ouaka
2020-07-21,2020,33,Bambio,0.0,0.0,78,0.0,1.0,0.0,46.0,1.0,5.0,,0.0,"1cte, 2cm",8.0,61.0,132.0,26.0,3,Ouaka
2020-06-25,2020,29,Kaga-Bandoro,0.0,,153,1.0,113.0,0.0,20.0,0.0,21.0,,7.0,données non désagrégés par zs,57.0,9.0,19.0,18.0,4,Lobaye
2020-06-06,2020,36,Boguila,0.0,,11,,8.0,1.0,55.0,0.0,2.0,,0.0,"2cte, 2com",8.0,123.0,2.0,18.0,81,Ouaka
2020-08-10,2020,32,Ouham-Pendé,16.0,0.0,35,0.0,113.0,0.0,10.0,3.0,1.0,,0.0,"1cte, 2cm",67.0,15.0,41.0,7.0,1,Ouaka
2020-07-20,2020,29,Ouaka,0.0,0.0,74,,143.0,1.0,5.0,0.0,18.0,,0.0,"1cte, 2cm",64.0,47.0,156.0,8.0,0,Ouaka
2020-09-09,2020,36,Bambio,1.0,3.0,13,0.0,36.0,0.0,3.0,0.0,21.0,0.0,0.0,hgr,56.0,27.0,56.0,4.0,0,Ouaka
2020-09-11,2020,36,Ouham-Pendé,10.0,0.0,44,0.0,128.0,1.0,4.0,6.0,2.0,,0.0,"1cte, 2cm",34.0,31.0,1.0,6.0,11,Lobaye
2020-06-06,2020,37,Bossembélé,0.0,,40,2.0,105.0,0.0,9.0,6.0,9.0,,0.0,,125.0,56.0,2.0,1.0,1,Ouaka
2020-08-14,2020,28,Damara,0.0,3.0,2,0.0,0.0,1.0,8.0,2.0,18.0,0.0,0.0,données non désagrégés par zs ni par viv vs décès,79.0,63.0,40.0,9.0,1,Lobaye
2020-06-24,2020,30,Boguila,2.0,,27,3.0,51.0,,6.0,1.0,8.0,1.0,0.0,données non désagrégés par zs ni par viv vs décès,24.0,120.0,137.0,10.0,2,Lobaye
2020-07-11,2020,35,Vakaga,0.0,0.0,4,1.0,129.0,,12.0,1.0,0.0,,0.0,"1cte, 2cm",14.0,65.0,9.0,22.0,3,Ouaka
2020-09-16,2020,35,Yaloke,0.0,0.0,145,0.0,51.0,2.0,6.0,0.0,11.0,0.0,2.0,"2cte, 2com",130.0,125.0,44.0,25.0,13,Ouaka
2020-09-01,2020,39,Damara,4.0,0.0,48,0.0,139.0,0.0,22.0,0.0,2.0,1.0,,"1cte, 2cm",0.0,5.0,6.0,6.0,1,Lobaye
2020-07-06,2020,30,Ouaka,0.0,0.0,33,0.0,17.0,2.0,2.0,1.0,0.0,0.0,0.0,"1cte, 2cm",20.0,72.0,131.0,3.0,3,Lobaye
2020-06-06,2020,29,Bambio,0.0,0.0,73,0.0,28.0,1.0,9.0,0.0,3.0,0.0,4.0,hgr,92.0,39.0,26.0,6.0,0,Lobaye
2020-08-22,2020,26,Ouham-Pendé,0.0,0.0,6,1.0,7.0,1.0,55.0,1.0,0.0,,0.0,hgr,65.0,64.0,74.0,1.0,0,Lobaye
2020-06-12,2020,39,Bossembélé,6.0,0.0,165,1.0,39.0,0.0,0.0,0.0,0.0,,1.0,admis nd,126.0,30.0,23.0,48.0,2,Lobaye
2020-07-19,2020,37,Bossembélé,7.0,0.0,45,1.0,98.0,0.0,11.0,0.0,0.0,0.0,9.0,cte,7.0,24.0,3.0,7.0,5,Ouaka
2020-07-07,2020,33,Ouham-Pendé,0.0,0.0,24,,15.0,0.0,7.0,0.0,1.0,,0.0,"2cte, 2com",80.0,9.0,9.0,11.0,2,Ouaka
2020-07-10,2020,25,Bambari,1.0,0.0,149,0.0,73.0,4.0,10.0,1.0,1.0,,0.0,"1cte, 2cm",8.0,25.0,40.0,36.0,34,Lobaye
2020-09-11,2020,40,Bangui,3.0,0.0,0,,2.0,0.0,14.0,1.0,0.0,,4.0,données non désagrégés par zs,77.0,209.0,213.0,7.0,0,Ouaka
2020-06-06,2020,30,Bangui,17.0,0.0,169,0.0,105.0,0.0,6.0,0.0,15.0,,0.0,cte,24.0,85.0,29.0,5.0,0,Ouaka
2020-07-09,2020,32,Bambio,0.0,0.0,94,1.0,3.0,3.0,4.0,0.0,34.0,,0.0,données non désagrégés par zs,13.0,134.0,1.0,27.0,12,Ouaka
2020-09-11,2020,39,Bossembélé,0.0,0.0,96,1.0,105.0,1.0,16.0,0.0,0.0,,0.0,"1cte, 2cm",29.0,60.0,43.0,0.0,7,Lobaye
2020-08-23,2020,38,Ombella-M'Poko,0.0,0.0,18,0.0,131.0,0.0,6.0,0.0,28.0,,1.0,données non désagrégés par zs ni par viv vs décès,77.0,361.0,112.0,16.0,21,Lobaye
2020-08-16,2020,28,Bambari,0.0,0.0,19,0.0,18.0,0.0,2.0,0.0,0.0,,0.0,données non désagrégés par zs ni par viv vs décès,37.0,12.0,57.0,0.0,0,Ouaka
2020-07-21,2020,31,Damara,0.0,0.0,4,0.0,68.0,1.0,6.0,0.0,9.0,,0.0,"1cte, 2cm",54.0,72.0,46.0,21.0,42,Ouaka
2020-06-02,2020,33,Ombella-M'Poko,0.0,0.0,1,1.0,48.0,1.0,52.0,0.0,1.0,,7.0,"1cte, 2cm",22.0,1.0,129.0,41.0,10,Ouaka
2020-08-12,2020,33,Ombella-M'Poko,18.0,0.0,51,0.0,10.0,0.0,17.0,1.0,0.0,4.0,0.0,"2cte, 2com",65.0,,42.0,7.0,2,Ouaka
2020-07-24,2020,28,Bossembélé,2.0,0.0,3,,10.0,1.0,41.0,1.0,1.0,,0.0,"2cte, 2com",9.0,142.0,80.0,9.0,11,Ouaka
2020-09-27,2020,25,Bambio,0.0,0.0,24,1.0,27.0,0.0,3.0,0.0,0.0,,0.0,"2cte, 2com",55.0,52.0,31.0,27.0,0,Lobaye
2020-07-10,2020,39,Ombella-M'Poko,4.0,0.0,49,0.0,62.0,0.0,7.0,2.0,0.0,,3.0,"2cte, 2com",36.0,77.0,118.0,28.0,8,Ouaka
2020-09-22,2020,27,Kaga-Bandoro,0.0,0.0,104,1.0,107.0,0.0,51.0,0.0,1.0,,,données non désagrégés par zs,39.0,47.0,4.0,3.0,1,Ouaka
2020-08-13,2020,29,Ouham-Pendé,43.0,0.0,40,,21.0,2.0,7.0,0.0,2.0,,0.0,np,81.0,18.0,44.0,9.0,3,Lobaye
2020-06-02,2020,30,Vakaga,0.0,0.0,46,0.0,85.0,1.0,37.0,1.0,6.0,,0.0,"1cte, 2cm",17.0,13.0,153.0,19.0,3,Ouaka
2020-07-08,2020,33,Bambio,1.0,0.0,3,1.0,1.0,0.0,1.0,0.0,4.0,,0.0,"2cte, 2com",9.0,84.0,48.0,2.0,2,Lobaye
2020-07-10,2020,29,Bambio,0.0,0.0,85,0.0,183.0,0.0,11.0,0.0,0.0,,0.0,hgr,41.0,82.0,,41.0,11,Ouaka
2020-08-10,2020,39,Vakaga,0.0,0.0,117,0.0,1.0,2.0,0.0,1.0,14.0,,0.0,admis nd,1.0,9.0,70.0,3.0,10,Ouaka
2020-07-17,2020,29,Bangui,5.0,0.0,5,0.0,45.0,1.0,0.0,1.0,5.0,,0.0,"1cte, 2cm",94.0,15.0,27.0,0.0,0,Lobaye
2020-09-26,2020,35,Bambio,3.0,0.0,76,0.0,6.0,0.0,7.0,0.0,25.0,,4.0,hgr,0.0,30.0,6.0,18.0,34,Lobaye
2020-08-29,2020,34,Ouham-Pendé,17.0,0.0,60,1.0,91.0,0.0,9.0,3.0,0.0,,3.0,données non désagrégés par zs ni par viv vs décès,46.0,3.0,20.0,25.0,3,Ouaka
2020-06-24,2020,30,Bambio,48.0,0.0,121,1.0,7.0,0.0,12.0,1.0,3.0,,0.0,"2cte, 2com",43.0,73.0,1.0,24.0,3,Ouaka
2020-08-29,2020,37,Yaloke,0.0,0.0,8,1.0,161.0,0.0,3.0,0.0,,,0.0,admis nd,473.0,10.0,78.0,45.0,0,Lobaye
2020-07-17,2020,34,Yaloke,0.0,0.0,7,1.0,3.0,0.0,1.0,1.0,25.0,,1.0,"1cte, 2cm",85.0,392.0,41.0,8.0,22,Ouaka
2020-08-04,2020,36,Bambari,0.0,0.0,27,0.0,41.0,0.0,1.0,0.0,8.0,,0.0,np,20.0,79.0,68.0,5.0,30,Ouaka
2020-09-13,2020,29,Ouham,0.0,0.0,153,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,données non désagrégés par zs,21.0,7.0,3.0,1.0,2,Lobaye
2020-08-20,2020,39,Bambari,20.0,0.0,38,2.0,74.0,1.0,17.0,3.0,1.0,0.0,1.0,cte,44.0,7.0,2.0,17.0,3,Lobaye
2020-09-19,2020,26,Ombella-M'Poko,7.0,0.0,3,0.0,14.0,0.0,2.0,0.0,7.0,,0.0,admis nd,27.0,83.0,63.0,17.0,3,Ouaka
2020-08-14,2020,27,Ouham-Pendé,32.0,0.0,10,2.0,0.0,0.0,32.0,0.0,6.0,0.0,0.0,admis nd,23.0,4.0,59.0,16.0,31,Ouaka
2020-07-17,2020,30,Damara,9.0,0.0,70,1.0,11.0,0.0,41.0,0.0,0.0,,,données non désagrégés par zs,69.0,114.0,58.0,39.0,1,Ouaka
2020-06-21,2020,30,Bambio,24.0,0.0,22,4.0,45.0,1.0,12.0,1.0,,,,données non désagrégés par zs ni par viv vs décès,5.0,99.0,42.0,16.0,9,Ouaka
2020-06-06,2020,31,Vakaga,15.0,0.0,77,1.0,14.0,,8.0,0.0,5.0,,0.0,"1cte, 2cm",51.0,85.0,29.0,8.0,1,Ouaka
2020-06-11,2020,34,Bambio,0.0,0.0,16,1.0,66.0,1.0,2.0,0.0,3.0,,0.0,données non désagrégés par zs ni par viv vs décès,12.0,47.0,56.0,7.0,28,Lobaye
2020-07-31,2020,39,Bambio,20.0,0.0,39,1.0,176.0,1.0,65.0,2.0,5.0,,0.0,données non désagrégés par zs ni par viv vs décès,109.0,105.0,2.0,8.0,0,Lobaye
2020-07-11,2020,36,Ombella-M'Poko,1.0,1.0,2,0.0,0.0,0.0,8.0,1.0,7.0,,0.0,"2cte, 2com",12.0,67.0,61.0,37.0,1,Ouaka
2020-08-23,2020,36,Ouham,10.0,0.0,1,2.0,34.0,,1.0,0.0,3.0,,2.0,données non désagrégés par zs,13.0,9.0,54.0,5.0,4,Ouaka
2020-07-20,2020,26,Ombella-M'Poko,3.0,0.0,4,0.0,5.0,3.0,5.0,0.0,7.0,,0.0,données non désagrégés par zs ni par viv vs décès,8.0,31.0,7.0,12.0,26,Lobaye
2020-07-19,2020,33,Damara,1.0,0.0,29,0.0,153.0,0.0,43.0,0.0,1.0,0.0,0.0,données non désagrégés par zs ni par viv vs décès,29.0,135.0,18.0,1.0,22,Lobaye
2020-09-26,2020,35,Bambio,50.0,0.0,1,0.0,131.0,0.0,1.0,0.0,0.0,,9.0,"2cte, 2com",72.0,169.0,0.0,10.0,2,Lobaye
2020-06-02,2020,28,Ouham,0.0,0.0,12,0.0,16.0,,1.0,0.0,9.0,,1.0,admis nd,61.0,25.0,2.0,7.0,2,Lobaye
2020-07-15,2020,37,Ombella-M'Poko,0.0,0.0,36,0.0,6.0,0.0,34.0,1.0,11.0,,2.0,"1cte, 2cm",49.0,49.0,66.0,9.0,21,Lobaye
2020-09-21,2020,38,Vakaga,0.0,0.0,131,3.0,34.0,1.0,42.0,0.0,18.0,,0.0,données non désagrégés par zs,18.0,5.0,70.0,2.0,2,Lobaye
2020-08-10,2020,39,Damara,0.0,,98,1.0,13.0,1.0,2.0,3.0,1.0,,9.0,cte,89.0,308.0,1.0,28.0,2,Lobaye
2020-07-20,2020,34,Damara,9.0,0.0,70,0.0,60.0,0.0,1.0,1.0,2.0,,0.0,cte,71.0,53.0,51.0,11.0,2,Lobaye
2020-07-15,2020,39,Damara,0.0,0.0,32,1.0,12.0,5.0,0.0,1.0,1.0,,0.0,données non désagrégés par zs,39.0,24.0,,5.0,0,Ouaka
2020-09-16,2020,33,Ouham-Pendé,10.0,0.0,82,2.0,0.0,0.0,15.0,2.0,2.0,0.0,0.0,cte,74.0,35.0,38.0,0.0,4,Ouaka
2020-09-28,2020,40,Bossembélé,0.0,0.0,16,0.0,44.0,0.0,5.0,3.0,2.0,0.0,0.0,admis nd,96.0,61.0,29.0,9.0,12,Ouaka
2020-06-20,2020,34,Ouham,5.0,0.0,1,0.0,18.0,0.0,18.0,0.0,3.0,,0.0,données non désagrégés par zs ni par viv vs décès,10.0,73.0,39.0,36.0,0,Ouaka
2020-07-31,2020,31,Ombella-M'Poko,0.0,0.0,16,0.0,79.0,2.0,41.0,0.0,19.0,0.0,0.0,données non désagrégés par zs,41.0,68.0,57.0,8.0,30,Ouaka
2020-08-20,2020,34,Damara,0.0,0.0,153,3.0,74.0,0.0,38.0,0.0,3.0,,0.0,hgr wangata,38.0,9.0,0.0,3.0,2,Lobaye
