ZdS,date,sem_epi,zone_sante,aire_sante,report_viv,report_dc,nlle_viv,nlle_deces,investig_viv,investig_dc,investig_en cours_viv,investig_en cours_dc,non investig_viv,non investig_dc,valid_viv,valid_dc,acheminee_CTE,acheminee_FOSA,acheminee_en_cours,acheminee_refus,AchemineesCTE=vivants valides,total_prelev,ATTENTE_prele,REFUS_prelev,prelev=vivant valide,EDS,swabbe,REFUS_EDS,REFUS_swab,EDS=deces valides,Swab=deces valides,PoE,FOSA,Comm,recu_contact,CTE,Sources=alertes,connu_vivant,connu_deces,nouvelle_totale,total_alerte_viv,total_alerte_deces,total_alerte,total_investigues,valid_tot,%prelev,%invest,%valid
MAKANZA,06/06/2020,35,Ndélé,Nola,,0.0,110.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,3.0,Erreur,0.0,,,OK,,,,,OK,Erreur,,0.0,0.0,,0.0,Erreur,,,89,0,3,74,126,2,0.0,1.0,0.123287671
IREBU,20/07/2020,25,Ouham,Nola,0.0,,10.0,1.0,0.0,1.0,14,,,,39.0,,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,0.0,,,Erreur,,,0,0,0,161,0,17,0.0,1.0,
MONIEKA,01/08/2020,34,Bozoum,Nola,0.0,0.0,70.0,0.0,,0.0,17,,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,35.0,,,,Erreur,,,0,127,0,56,120,3,0.0,,0.545454545
MBANDAKA,11/09/2020,29,Baoro,Nola,0.0,0.0,4.0,0.0,37.0,0.0,6,1,,,0.0,,0.0,,,0.0,Erreur,1.0,,0.0,OK,,,,,OK,OK,,0.0,,,0.0,Erreur,,,0,33,1,130,86,9,0.0,0.666666667,0.153846154
IREBU,04/07/2020,34,Zémio,Nola,0.0,0.0,41.0,0.0,5.0,0.0,48,1,,,19.0,,0.0,,0.0,0.0,Erreur,,,,Erreur,,0.0,,,Erreur,OK,2.0,2.0,1.0,,0.0,Erreur,,,0,157,4,0,0,1,,0.395408163,0.209302326
BOLENGE,19/06/2020,39,Damara,Nola,0.0,0.0,32.0,0.0,77.0,0.0,0,,,,7.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,1.0,,0.0,,,Erreur,,,1,69,2,18,6,24,0.0,0.833333333,0.157142857
MAKANZA,07/08/2020,36,Bozoum,Nola,0.0,0.0,82.0,0.0,56.0,0.0,14,1,,,47.0,1.0,0.0,,0.0,0.0,Erreur,3.0,,,OK,,,,,Erreur,Erreur,1.0,29.0,,,0.0,OK,,,88,74,0,177,13,0,0.0,0.816993464,1.0
BIKORO,04/07/2020,24,Mbaiki,Nola,0.0,0.0,0.0,0.0,129.0,0.0,10,1,,,0.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,18.0,47.0,,0.0,OK,,,0,108,0,76,0,1,0.892857143,0.634920635,
IBOKO,12/06/2020,35,Ouham,Nola,0.0,0.0,0.0,0.0,0.0,6.0,6,1,,,3.0,6.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,,,,0.0,OK,,,121,126,3,142,133,38,,1.0,0.122807018
BOMONGO,07/09/2020,30,Mbaiki,Nola,21.0,0.0,14.0,3.0,4.0,0.0,18,1,,,0.0,0.0,,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,38.0,41.0,,,Erreur,,,34,112,4,17,29,7,0.0,1.0,0.619047619
LILANGA-BOBANGI,03/09/2020,27,Mbaiki,Nola,0.0,0.0,111.0,3.0,57.0,0.0,13,1,,,20.0,0.0,0.0,,12.0,0.0,Erreur,0.0,,,OK,,,,,OK,Erreur,0.0,204.0,4.0,,,Erreur,,,32,8,2,78,41,42,0.0,1.0,0.351351351
,11/08/2020,33,Ombella-M'Poko,Nola,4.0,0.0,1.0,0.0,33.0,0.0,48,,,,4.0,2.0,0.0,,0.0,,Erreur,,,,OK,,2.0,,,Erreur,OK,0.0,67.0,54.0,,,OK,,,25,225,0,0,126,5,0.0,1.0,
BOLENGE,24/07/2020,31,Ouham,Nola,14.0,0.0,82.0,0.0,141.0,0.0,0,0,,,2.0,2.0,15.0,,3.0,0.0,Erreur,,,,Erreur,,,,,OK,Erreur,0.0,0.0,0.0,,0.0,OK,,,124,101,0,88,0,25,0.0,0.921985816,0.4
BOLENGE,21/09/2020,32,Ombella-M'Poko,Nola,5.0,0.0,76.0,1.0,27.0,0.0,11,O,,,0.0,1.0,0.0,,0.0,,Erreur,,,,OK,,,,,Erreur,OK,,49.0,0.0,0.0,,Erreur,,,3,123,0,151,2,9,0.0,0.9,0.214285714
BOMONGO,16/08/2020,27,Mbaiki,Nola,1.0,0.0,185.0,0.0,0.0,0.0,10,,,,9.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,,,0.0,0.0,OK,,,0,96,1,32,54,25,,0.739130435,
MAKANZA,20/09/2020,30,Zémio,Nola,0.0,0.0,106.0,1.0,1.0,1.0,,1,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,47.0,0.0,,0.0,OK,,,1,0,0,84,34,0,,0.5625,1.0
INGENDE,11/06/2020,34,Bozoum,Nola,43.0,0.0,47.0,0.0,16.0,0.0,2,0,,,51.0,0.0,3.0,,,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,49.0,1.0,,0.0,Erreur,,,44,0,1,12,0,6,1.0,,
MBANDAKA,12/08/2020,38,Ndélé,Nola,,0.0,1.0,1.0,157.0,3.0,20,1,,,,0.0,1.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,0.0,,2.0,,,OK,,,2,100,0,0,1,42,0.0,0.545454545,0.26
MONIEKA,15/06/2020,37,Bozoum,Nola,1.0,0.0,50.0,0.0,179.0,1.0,14,1,,,14.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,1.0,1.0,0.0,0.0,Erreur,,,0,180,0,13,37,34,,1.0,0.205128205
BOMONGO,15/06/2020,32,Mbaiki,Nola,0.0,,0.0,0.0,0.0,0.0,24,2,,,16.0,1.0,0.0,,0.0,,Erreur,,,,OK,,,,,Erreur,OK,0.0,0.0,,,0.0,Erreur,,,23,29,4,25,4,4,0.3,1.0,0.0
MAKANZA,29/07/2020,34,Baoro,Nola,0.0,0.0,10.0,0.0,0.0,1.0,24,2,,,5.0,0.0,0.0,,0.0,0.0,Erreur,3.0,,,OK,0.0,,,,Erreur,Erreur,,13.0,3.0,,0.0,Erreur,,,142,46,0,86,0,14,0.0,0.0,0.25
BOLENGE,20/07/2020,25,Mbaiki,Nola,0.0,0.0,2.0,0.0,28.0,0.0,8,,,,8.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,,,,OK,,,5,69,1,0,19,15,0.0,,0.545454545
IREBU,23/09/2020,28,Baoro,Nola,0.0,0.0,209.0,2.0,,2.0,,O,,,9.0,0.0,0.0,,2.0,0.0,Erreur,,,,OK,,,,,OK,OK,,29.0,,,0.0,OK,,,73,0,2,81,0,0,0.0,1.0,
BOLOMBA,02/08/2020,34,Mbaiki,Nola,19.0,,141.0,0.0,150.0,2.0,5,,,,0.0,0.0,0.0,,0.0,,Erreur,,,,OK,,,1.0,,OK,Erreur,0.0,43.0,66.0,,0.0,Erreur,,,16,90,2,49,31,0,,0.88,0.181818182
BIKORO,04/07/2020,38,Ouham,Nola,26.0,0.0,0.0,0.0,0.0,2.0,11,,,,0.0,0.0,2.0,,0.0,0.0,Erreur,1.0,,,Erreur,,,,,OK,Erreur,,,0.0,,0.0,Erreur,,,108,189,1,135,109,9,0.0,0.753424658,0.367346939
DJOMBO,05/07/2020,38,Baoro,Nola,0.0,0.0,99.0,0.0,138.0,1.0,20,O,,,41.0,1.0,2.0,,0.0,0.0,Erreur,,,0.0,Erreur,,,,,Erreur,Erreur,,20.0,86.0,,,Erreur,,,49,12,1,0,3,10,0.0,0.4,1.0
BOLOMBA,20/09/2020,27,Mbaiki,Nola,,0.0,81.0,0.0,5.0,1.0,10,1,,,0.0,1.0,6.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,,19.0,,,0.0,Erreur,,,3,121,0,2,33,0,0.0,0.921875,0.229166667
LOLANGA-MAMPOKO,14/06/2020,31,Bozoum,Nola,3.0,0.0,0.0,0.0,0.0,,1,O,,,0.0,2.0,6.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,0.0,,0.0,,,OK,,,33,91,0,96,113,1,0.0,1.0,
MONIEKA,27/08/2020,33,Ouham,Nola,0.0,0.0,108.0,1.0,77.0,0.0,6,1,,,6.0,0.0,6.0,,0.0,0.0,Erreur,0.0,,,OK,,,,,OK,Erreur,0.0,,0.0,,,Erreur,,,3,165,1,91,0,5,0.458333333,1.0,1.0
MONIEKA,22/06/2020,34,Ouham,Nola,0.0,0.0,80.0,0.0,0.0,0.0,8,0,,,3.0,0.0,0.0,,4.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,,0.0,,0.0,Erreur,,,0,132,3,44,143,0,0.0,0.840909091,0.210526316
MBANDAKA,23/06/2020,33,Bozoum,Nola,0.0,,88.0,0.0,0.0,0.0,6,,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,0.0,0.0,,0.0,OK,,,0,124,1,0,18,6,0.0,,
NTONDO,31/07/2020,34,Baoro,Nola,0.0,3.0,79.0,0.0,23.0,1.0,2,1,,,0.0,1.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,0.0,,,,,OK,,,5,39,1,68,0,25,0.0,0.859756098,0.12195122
BIKORO,11/06/2020,37,Mbaiki,Nola,0.0,0.0,17.0,0.0,22.0,1.0,8,2,,,0.0,0.0,0.0,,0.0,,Erreur,,,,OK,,,,,Erreur,OK,0.0,,,,0.0,Erreur,,,151,139,2,5,31,11,0.0,,0.535714286
,19/08/2020,36,Bozoum,Nola,0.0,0.0,15.0,1.0,0.0,2.0,0,2,,,2.0,2.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,,,,,Erreur,,,0,46,1,0,0,46,0.0,0.945454545,0.363636364
LILANGA-BOBANGI,11/08/2020,33,Bozoum,Nola,0.0,2.0,18.0,0.0,21.0,0.0,11,O,,,,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,,,,,,OK,,,21,5,0,88,34,31,0.0,,
IREBU,17/09/2020,38,Ouham,Nola,0.0,0.0,0.0,0.0,75.0,0.0,2,O,,,12.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,,0.0,,,0.0,OK,,,10,171,0,0,7,7,,0.976744186,0.326923077
MBANDAKA,15/06/2020,39,Mbaiki,Nola,0.0,0.0,34.0,4.0,0.0,3.0,11,2,,,5.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,0.0,,,,OK,,,0,85,0,79,0,2,0.0,1.0,
IREBU,24/07/2020,29,Bozoum,Nola,14.0,0.0,0.0,2.0,6.0,1.0,3,2,,,12.0,3.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,,60.0,0.0,,,Erreur,,,59,0,0,26,112,2,0.0,0.7,1.0
,12/08/2020,25,Ouham,Nola,0.0,0.0,4.0,,10.0,1.0,1,O,,,17.0,0.0,2.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,,1.0,,Erreur,,,0,0,0,9,56,26,0.0,0.571428571,0.512195122
INGENDE,24/06/2020,39,Mbaiki,Nola,0.0,0.0,0.0,0.0,0.0,,0,,,,25.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,10.0,0.0,,0.0,OK,,,9,0,2,31,10,46,0.0,0.571428571,
BIKORO,22/08/2020,32,Zémio,Nola,0.0,0.0,85.0,0.0,132.0,0.0,4,,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,2.0,,,0.0,OK,,,71,131,0,91,46,12,,1.0,
BOMONGO,26/08/2020,37,Mbaiki,Nola,3.0,0.0,11.0,2.0,0.0,1.0,3,1,,,0.0,3.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,126.0,,,0.0,Erreur,,,7,0,2,73,29,0,,0.982608696,0.177777778
BOLENGE,13/09/2020,33,Zémio,Nola,,0.0,34.0,0.0,153.0,0.0,20,1,,,4.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,,0.0,0.0,,0.0,OK,,,69,68,2,141,127,54,,0.909090909,
MONIEKA,25/07/2020,24,Bozoum,Nola,0.0,0.0,2.0,2.0,32.0,0.0,17,1,,,5.0,0.0,3.0,,4.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,1.0,,,0.0,Erreur,,,13,4,0,57,116,4,0.0,1.0,0.247706422
IREBU,26/06/2020,30,Baoro,Nola,0.0,0.0,21.0,0.0,16.0,0.0,13,O,,,4.0,0.0,3.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,3.0,,0.0,Erreur,,,0,0,0,4,84,0,0.0,0.974683544,0.307692308
BOLENGE,10/08/2020,26,Batangafo,Nola,13.0,0.0,115.0,0.0,125.0,0.0,11,1,,,2.0,0.0,,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,Erreur,0.0,,2.0,,,Erreur,,,85,9,3,0,47,0,0.0,1.0,0.166666667
BIKORO,05/07/2020,35,Mbaiki,Nola,0.0,0.0,49.0,0.0,50.0,2.0,18,O,,,15.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,,,,0.0,Erreur,,,144,141,0,133,80,1,0.612244898,1.0,0.5
MAKANZA,19/08/2020,26,Ombella-M'Poko,Nola,0.0,0.0,89.0,0.0,0.0,0.0,26,0,,,34.0,2.0,2.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,14.0,0.0,,,Erreur,,,0,17,0,45,153,12,0.333333333,,1.0
BIKORO,21/06/2020,30,Zémio,Nola,0.0,0.0,,0.0,1.0,,,2,,,3.0,0.0,4.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,,,0.0,,,OK,,,32,2,0,0,0,7,0.0,0.183333333,
NTONDO,05/06/2020,36,Ouham,Nola,10.0,0.0,82.0,0.0,26.0,0.0,28,,,,0.0,0.0,0.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,0.0,,1.0,,0.0,Erreur,,,195,131,3,0,0,14,0.0,0.76056338,
IBOKO,28/08/2020,28,Ouham,Nola,0.0,0.0,0.0,0.0,20.0,0.0,11,2,,,0.0,2.0,0.0,,,0.0,OK,,,,Erreur,,,,,Erreur,Erreur,0.0,86.0,,,0.0,Erreur,,,33,39,1,60,64,0,,0.636363636,0.12244898
MONIEKA,25/06/2020,25,Basse-Kotto,Nola,0.0,0.0,77.0,,57.0,1.0,14,1,,,,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,109.0,0.0,,0.0,Erreur,,,0,30,3,1,22,22,0.0,1.0,1.0
MAKANZA,27/07/2020,24,Mbaiki,Nola,5.0,0.0,23.0,0.0,0.0,0.0,14,,,,10.0,,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,19.0,,0.0,OK,,,63,130,0,0,137,2,,1.0,0.5
LOLANGA-MAMPOKO,18/06/2020,31,Mbaiki,Nola,0.0,0.0,1.0,0.0,98.0,3.0,11,0,,,14.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,2.0,0.0,0.0,,Erreur,,,11,33,4,38,57,0,0.0,1.0,1.0
NTONDO,11/07/2020,24,Zémio,Nola,1.0,0.0,21.0,1.0,0.0,1.0,11,O,,,9.0,4.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,19.0,,,OK,,,73,0,2,69,77,0,,0.615384615,0.15
IREBU,28/07/2020,35,Bozoum,Nola,0.0,0.0,12.0,0.0,0.0,0.0,14,1,,,1.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,1.0,,,Erreur,Erreur,0.0,21.0,0.0,,0.0,Erreur,,,84,25,1,63,2,0,0.0,1.0,
BASANKUSU,27/06/2020,31,Ouham,Nola,0.0,0.0,158.0,0.0,41.0,3.0,9,,,,0.0,2.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,1.0,,0.0,,,Erreur,,,54,29,0,116,112,14,,0.96,1.0
BIKORO,27/06/2020,32,Mbaiki,Nola,0.0,0.0,0.0,1.0,8.0,0.0,1,0,,,16.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,2.0,0.0,,0.0,OK,,,7,84,0,51,45,0,0.0,0.919708029,0.226415094
,20/07/2020,38,Bozoum,Nola,0.0,0.0,203.0,0.0,1.0,1.0,24,O,,,5.0,5.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,0.0,0.0,,0.0,OK,,,75,27,0,9,5,3,0.0,0.844827586,0.155172414
BOMONGO,19/08/2020,35,Mbaiki,Nola,0.0,0.0,12.0,0.0,150.0,0.0,10,O,,,41.0,0.0,,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,,50.0,135.0,,0.0,Erreur,,,29,234,2,73,5,1,,0.624,0.157894737
LOLANGA-MAMPOKO,23/08/2020,35,Baoro,Nola,0.0,0.0,5.0,0.0,96.0,2.0,10,1,,,2.0,0.0,,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,3.0,0.0,,,,Erreur,,,55,113,4,108,9,2,,,0.230215827
BIKORO,25/07/2020,39,Ombella-M'Poko,Nola,41.0,0.0,2.0,3.0,60.0,0.0,3,1,,,0.0,3.0,1.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,,51.0,61.0,,0.0,OK,,,2,37,1,2,63,0,0.0,1.0,1.0
LOTUMBE,18/09/2020,39,Ouham,Nola,0.0,0.0,0.0,0.0,0.0,1.0,6,0,,,4.0,1.0,4.0,,10.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,,,0.0,,,Erreur,,,11,47,0,14,13,0,0.0,0.862068966,
DJOMBO,09/06/2020,35,Baoro,Nola,0.0,0.0,85.0,0.0,111.0,2.0,0,,,,0.0,3.0,3.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,74.0,53.0,,0.0,OK,,,0,0,0,0,105,2,0.0,0.753623188,0.214285714
INGENDE,24/08/2020,38,Ouham,Nola,0.0,0.0,13.0,0.0,2.0,1.0,11,,,,33.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,3.0,,0.0,Erreur,,,0,34,2,0,41,6,0.0,1.0,0.5
BIKORO,06/06/2020,37,Ouham,Nola,0.0,0.0,0.0,0.0,,1.0,11,1,,,,1.0,0.0,,0.0,,Erreur,,,,OK,,,,,Erreur,Erreur,,23.0,130.0,,,Erreur,,,61,40,0,71,59,51,,,0.162601626
,04/08/2020,32,Ouham,Nola,0.0,0.0,4.0,0.0,59.0,0.0,0,O,,,60.0,2.0,0.0,,,,Erreur,,,,OK,,,,,OK,Erreur,0.0,11.0,,,,Erreur,,,25,2,2,77,12,29,0.0,1.0,0.307692308
IREBU,27/07/2020,30,Bozoum,Nola,1.0,0.0,70.0,1.0,198.0,1.0,6,1,,,2.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,14.0,,,Erreur,,,6,165,0,69,148,8,,1.0,0.272727273
IREBU,13/09/2020,31,Bozoum,Nola,0.0,3.0,98.0,0.0,35.0,0.0,1,1,,,0.0,1.0,0.0,,,0.0,Erreur,,,3.0,OK,,,,,OK,Erreur,0.0,44.0,0.0,,0.0,OK,,,24,38,2,72,0,0,0.0,0.326732673,0.428571429
MONIEKA,30/08/2020,23,Ouham,Nola,16.0,,7.0,1.0,33.0,0.0,3,,,,7.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,1.0,26.0,,,0.0,Erreur,,,4,97,1,2,59,11,0.0,1.0,0.769230769
,29/08/2020,30,Batangafo,Nola,0.0,0.0,129.0,0.0,49.0,0.0,21,O,,,54.0,0.0,2.0,,0.0,0.0,Erreur,,,,OK,,1.0,,,Erreur,Erreur,0.0,,0.0,,,Erreur,,,67,139,0,31,0,17,0.0,1.0,0.3
LOLANGA-MAMPOKO,29/07/2020,27,Ouham,Nola,,0.0,11.0,,0.0,1.0,14,1,,,4.0,,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,25.0,,,,OK,,,179,114,2,3,24,4,0.0,1.0,
BIKORO,11/09/2020,26,Ouham,Nola,10.0,0.0,129.0,2.0,194.0,0.0,2,2,,,27.0,3.0,,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,,0.0,8.0,,0.0,Erreur,,,13,0,0,0,11,2,0.0,0.571428571,1.0
LOTUMBE,18/08/2020,28,Damara,Nola,0.0,0.0,113.0,1.0,105.0,0.0,3,0,,,9.0,,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,,,0.0,OK,,,8,0,0,77,4,1,0.0,0.619047619,0.512987013
LILANGA-BOBANGI,18/06/2020,37,Mbaiki,Nola,33.0,0.0,48.0,1.0,90.0,0.0,14,,,,7.0,1.0,8.0,,7.0,,Erreur,,,,OK,,,,,OK,OK,0.0,109.0,31.0,,0.0,OK,,,130,129,6,0,8,53,0.0,,
MAKANZA,05/07/2020,37,Mbaiki,Nola,0.0,0.0,70.0,0.0,41.0,0.0,9,,,,0.0,0.0,0.0,,0.0,,Erreur,,,0.0,OK,,,,,Erreur,Erreur,,0.0,,,,Erreur,,,0,150,0,27,1,6,,1.0,0.194915254
MBANDAKA,09/06/2020,31,Baoro,Nola,0.0,0.0,37.0,0.0,16.0,0.0,24,,,,10.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,81.0,,,0.0,Erreur,,,0,113,1,84,2,8,,0.230769231,0.123287671
IREBU,03/09/2020,24,Berberati,Nola,49.0,0.0,68.0,2.0,0.0,3.0,11,,,,40.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,0.0,16.0,,,0.0,Erreur,,,9,105,2,34,12,0,0.0,,0.27027027
LILANGA-BOBANGI,05/07/2020,32,Bozoum,Nola,,0.0,0.0,1.0,0.0,0.0,3,O,,,0.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,10.0,,,,OK,,,1,211,2,0,80,3,,1.0,
BOMONGO,17/07/2020,33,Ombella-M'Poko,Nola,0.0,0.0,76.0,0.0,39.0,0.0,15,O,,,13.0,0.0,4.0,,,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,0.0,,,,OK,,,0,0,1,0,72,24,0.0,,0.075
MAKANZA,04/08/2020,33,Berberati,Nola,4.0,0.0,34.0,1.0,106.0,1.0,17,O,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,,,3.0,,,OK,,,11,49,0,158,62,23,0.0,0.523076923,1.0
BOLENGE,21/09/2020,34,Mbaiki,Nola,9.0,0.0,3.0,0.0,29.0,,17,,,,24.0,2.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,,,1.0,,0.0,Erreur,,,89,0,0,0,17,13,,0.84,0.5
LUKOLELA,20/08/2020,33,Zémio,Nola,0.0,0.0,34.0,0.0,95.0,0.0,15,,,,37.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,,,0.0,OK,,,45,131,1,62,109,0,,1.0,0.013888889
BOMONGO,09/06/2020,34,Damara,Nola,24.0,0.0,24.0,0.0,0.0,0.0,17,,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,4.0,52.0,,,,Erreur,,,32,0,0,105,0,5,0.0,0.971428571,0.098958333
