X,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior.metropolitana
146.0,Norte,RO,,13,,,,2020-07-29,17,1777225,18157,5632,704.0,614.0,,485258.0,
447.0,Norte,AC,,11,,,,2020-08-08,16,210147125,68823,38,618.0,8.0,,,
216.0,Norte,RO,,13,,,,2020-10-03,21,1777225,0,605,0.0,1.0,,,
263.0,Norte,RO,,13,,,,2020-06-28,37,1777225,5409854,14318,165.0,16.0,,,
900.0,Norte,RO,,12,,,,2020-07-03,27,210147125,0,4,113358.0,0.0,,,
141.0,Norte,,,12,,,,2020-05-25,45,210147125,0,2,2710.0,552.0,,,
212.0,Norte,AM,,13,,,,2020-04-22,24,1777225,4345610,20599,14.0,21.0,5562539.0,,
939.0,Norte,AC,,76,,,,2020-08-17,20,1777225,585,9,46510.0,0.0,,,
219.0,Norte,AC,,12,,,,2020-05-12,14,1777225,0,271,1476.0,16.0,,461042.0,
955.0,Norte,AC,,11,,,,2020-09-21,32,1777225,0,145,321.0,36.0,,,
751.0,Norte,RO,,11,,,,2020-09-30,25,210147125,8626,746,113.0,1.0,,,
,Norte,AC,,13,,,,2020-03-09,46,881935,73530,2638,1744.0,4.0,,,
866.0,Norte,AM,,12,,,,2020-08-21,30,1777225,26166,51,146675.0,1.0,,690642.0,
358.0,Norte,RO,,76,,,,2020-07-22,30,881935,279,49970,0.0,1.0,125960.0,,
410.0,Norte,,,12,,,,2020-06-01,18,1777225,21376,30026,723.0,22.0,697526.0,,
470.0,Norte,AM,,12,,,,2020-04-28,24,1777225,0,158,79488.0,0.0,,,
692.0,Norte,AM,,11,,,,2020-09-30,41,881935,0,0,2985.0,194.0,4453722.0,,
325.0,Norte,RO,,11,,,,2020-06-19,11,881935,21587,6,667.0,11.0,,,
9.0,Norte,AC,,12,,,,2020-09-26,37,881935,861,1189,23.0,0.0,,,
309.0,Norte,AC,,13,,,,2020-03-13,12,4144597,8457,2055,690.0,47.0,,,
840.0,Norte,AM,,12,,,,2020-09-03,40,881935,0,52383,1035.0,5.0,4954159.0,,
214.0,Norte,AM,,13,,,,2020-04-16,35,1777225,17700,474,576.0,0.0,,,
133.0,Norte,AM,,11,,,,2020-07-28,42,210147125,63781,159,569.0,7.0,,,
172.0,Norte,RO,,12,,,,2020-10-04,46,210147125,0,628,180.0,14.0,,,
886.0,Norte,AM,,76,,,,2020-07-01,17,210147125,5477,132,3.0,432.0,,748585.0,
443.0,Norte,AC,,12,,,,2020-05-08,37,210147125,68907,1712,113358.0,1141.0,3006679.0,,
271.0,Norte,AM,,12,,,,2020-10-03,27,1777225,99,285,1744.0,0.0,,,
87.0,Norte,RO,,11,,,,2020-06-19,41,881935,4847092,0,624.0,8.0,,,
623.0,Norte,RO,,12,,,,2020-03-04,25,4144597,13146,513,0.0,10.0,,,
460.0,Norte,AM,,11,,,,2020-11-18,44,210147125,11539,352,411.0,0.0,,,
341.0,Norte,AC,,13,,,,2020-10-31,16,881935,195,480,640.0,2.0,,,
738.0,Norte,RO,,76,,,,2020-05-09,43,881935,4337,480,426.0,17.0,72597.0,,
432.0,Norte,,,11,,,,2020-05-06,37,4144597,4624885,347,24512.0,45.0,,,
480.0,Norte,RO,,76,,,,2020-09-23,43,210147125,2707877,11843,0.0,2.0,4050837.0,521487.0,
108.0,Norte,AC,,76,,,,2020-02-28,23,210147125,13,977,493.0,4.0,,,
490.0,Norte,AC,,12,,,,2020-10-26,29,881935,2394513,13,679.0,0.0,,,
131.0,Norte,AM,,12,,,,2020-11-23,13,210147125,5653561,621,27878.0,6.0,4248574.0,,
604.0,Norte,AM,,11,,,,2020-05-11,24,1777225,30217,36,155900.0,9.0,,,
973.0,Norte,AM,,12,,,,2020-10-30,13,210147125,0,1140,2.0,1282.0,,,
112.0,Norte,AM,,76,,,,2020-04-07,21,1777225,10,198,0.0,14.0,,,
991.0,Norte,AC,,12,,,,2020-03-04,15,881935,5169386,83,444.0,2.0,,,
495.0,Norte,RO,,76,,,,2020-06-13,42,4144597,311,25012,107232.0,3.0,,,
438.0,Norte,RO,,12,,,,2020-04-20,26,1777225,4558068,1927,1429.0,1367.0,,,
56.0,Norte,AM,,12,,,,2020-10-26,31,210147125,30545,1,1253.0,1.0,,,
816.0,Norte,AC,,12,,,,2020-09-27,11,881935,26716,198,1050.0,0.0,,,
529.0,Norte,,,11,,,,2020-03-01,43,1777225,30121,104,667.0,14.0,,,
738.0,Norte,AC,,13,,,,2020-03-10,49,210147125,2774,183,39.0,0.0,,,
576.0,Norte,,,11,,,,2020-09-23,47,210147125,45757,24818,0.0,1595.0,3671128.0,,
646.0,Norte,AC,,12,,,,2020-03-04,13,881935,0,0,0.0,3.0,,485258.0,
221.0,Norte,AC,,11,,,,2020-03-28,13,881935,101,476,607.0,2.0,,,
197.0,Norte,RO,,12,,,,2020-07-22,27,881935,428,395,1328.0,23.0,1123204.0,,
481.0,Norte,AM,,11,,,,2020-04-28,28,4144597,62158,30925,168613.0,0.0,,,
352.0,Norte,RO,,12,,,,2020-07-16,36,881935,1,27075,228.0,140.0,,,
75.0,Norte,AC,,76,,,,2020-09-23,39,1777225,645771,231,1529.0,739.0,,,
899.0,Norte,RO,,76,,,,2020-09-20,47,881935,672846,585,2906.0,0.0,,,
89.0,Norte,RO,,11,,,,2020-07-31,23,881935,1590,29070,87004.0,0.0,,,
801.0,Norte,,,12,,,,2020-04-04,10,881935,5298772,1122,674.0,1.0,,,
733.0,Norte,RO,,76,,,,2020-05-19,16,1777225,34435,1119,881.0,0.0,613345.0,,
403.0,Norte,RO,,12,,,,2020-06-28,46,1777225,10,1146,55961.0,0.0,,533597.0,
49.0,Norte,RO,,76,,,,2020-06-28,39,881935,162699,23976,122596.0,0.0,,407341.0,
643.0,Norte,,,11,,,,2020-11-13,32,1777225,1554,1342,0.0,967.0,,,
290.0,Norte,AC,,13,,,,2020-09-15,47,881935,11224,41576,7025.0,189.0,,,
584.0,Norte,RO,,76,,,,2020-05-23,28,1777225,65208,144,40919.0,2.0,3397234.0,,
304.0,Norte,RO,,76,,,,2020-11-19,9,881935,227,36820,1406.0,7.0,,,
757.0,Norte,AM,,76,,,,2020-04-06,13,210147125,54,19373,51271.0,5.0,,,
956.0,Norte,AM,,12,,,,2020-09-03,30,881935,30954,3,121.0,6.0,,,
831.0,Norte,RO,,12,,,,2020-02-27,19,881935,11,373,0.0,9.0,,,
334.0,Norte,RO,,13,,,,2020-05-28,45,881935,30028,8,1384.0,0.0,,,
352.0,Norte,AC,,76,,,,2020-08-30,17,210147125,3532330,1096,64867.0,4.0,,,
275.0,Norte,RO,,76,,,,2020-06-24,29,881935,34873,335,3.0,363.0,,,
713.0,Norte,RO,,12,,,,2020-02-28,38,881935,92,154,0.0,1.0,,,
706.0,Norte,RO,,12,,,,2020-09-14,33,210147125,5911758,67,0.0,807.0,,,
469.0,Norte,,,13,,,,2020-09-25,21,881935,32935,96,120828.0,1212.0,,,
906.0,Norte,,,12,,,,2020-08-08,47,1777225,2159654,926,2.0,1238.0,,,
802.0,Brasil,RO,,76,,,,2020-11-19,44,210147125,88025,2763,25598.0,7.0,,,
675.0,Norte,AC,,76,,,,2020-04-20,21,210147125,4743,23,55.0,14.0,,,
707.0,Norte,AM,,12,,,,2020-11-13,16,1777225,25494,32058,898.0,1.0,,,
830.0,Norte,RO,,11,,,,2020-05-04,18,210147125,1085038,23101,545.0,3.0,,,
875.0,Norte,RO,,13,,,,2020-07-12,20,881935,5810652,41008,693.0,739.0,,,
31.0,Norte,RO,,12,,,,2020-08-09,15,881935,79167,35816,2363.0,907.0,,,
347.0,Norte,AM,,12,,,,2020-09-18,32,210147125,3804803,29,3210.0,1274.0,,,
396.0,Norte,AC,,11,,,,2020-11-16,10,210147125,61683,404,47.0,4.0,,428549.0,
188.0,Brasil,AM,,12,,,,2020-09-11,46,1777225,5612319,22282,2465.0,3.0,,,
40.0,Norte,RO,,13,,,,2020-08-23,17,1777225,3,13,419.0,0.0,,,
851.0,Norte,,,12,,,,2020-10-13,11,4144597,39893,246,0.0,0.0,,,
559.0,Norte,AC,,76,,,,2020-10-21,13,1777225,25402,686,1385.0,2.0,,,
860.0,Norte,,,11,,,,2020-06-05,29,210147125,27874,0,693.0,0.0,,,
129.0,Norte,AC,,12,,,,2020-04-15,9,1777225,100140,845,1371.0,3.0,,,
401.0,Norte,,,13,,,,2020-04-19,21,4144597,12919,333,3.0,1022.0,,694744.0,
176.0,Norte,RO,,12,,,,2020-08-01,39,881935,69,84,5017.0,2.0,,,
807.0,Brasil,RO,,13,,,,2020-05-30,43,881935,1275,321,679.0,1.0,,,
624.0,Norte,RO,,13,,,,2020-09-01,14,210147125,2479,1152,0.0,0.0,,,
769.0,Norte,AM,,11,,,,2020-05-25,18,1777225,733,170,36.0,65.0,,695492.0,
606.0,Norte,AC,,76,,,,2020-05-11,44,210147125,4915289,0,24.0,0.0,,,
950.0,Norte,AC,,11,,,,2020-10-13,42,881935,28654,0,0.0,4.0,,,
97.0,Norte,,,12,,,,2020-11-05,13,881935,3456652,64,171.0,22.0,,,
138.0,Norte,AM,,12,,,,2020-09-26,23,881935,14112,119,2071.0,682.0,,,
366.0,Norte,AC,,76,,,,2020-07-02,24,1777225,4801,33523,1492.0,6.0,22991.0,,
126.0,Brasil,RO,,11,,,,2020-10-03,25,210147125,30962,271,709.0,1.0,,612197.0,
553.0,Norte,RO,,11,,,,2020-05-12,46,1777225,69649,20229,11.0,5.0,5133155.0,525748.0,
504.0,Norte,AM,,13,,,,2020-09-16,22,210147125,29117,71,120462.0,6.0,,,
762.0,Norte,,,12,,,,2020-10-28,22,210147125,1496858,47784,674.0,1075.0,,,
231.0,Norte,AC,,12,,,,2020-09-23,13,210147125,0,0,1098.0,1.0,2404272.0,,
146.0,Norte,,,11,,,,2020-11-04,27,1777225,0,26928,130396.0,1.0,,612197.0,
198.0,Norte,RO,,11,,,,2020-03-31,14,1777225,5409854,1667,213.0,7.0,,19606.0,
7.0,Norte,AC,,76,,,,2020-08-14,23,210147125,1396,0,256.0,566.0,,,
50.0,Norte,,,11,,,,2020-03-05,47,881935,18157,9,4.0,37.0,,631902.0,
731.0,Norte,AM,,12,,,,2020-08-12,31,4144597,4315687,1140,1294.0,4.0,,86619.0,
161.0,Norte,AC,,76,,,,2020-10-14,31,1777225,354,481,1223.0,0.0,,,
378.0,Norte,,,12,,,,2020-08-12,16,1777225,27246,187,14.0,480.0,,,
822.0,Norte,AC,,12,,,,2020-08-07,36,881935,78189,410,12400.0,2.0,,748217.0,
856.0,Norte,AM,,13,,,,2020-09-17,26,210147125,1789,24818,1464.0,958.0,100459.0,,
951.0,Norte,RO,,11,,,,2020-07-17,42,881935,38992,192,1161.0,19.0,,,
357.0,Norte,AM,,76,,,,2020-09-30,10,210147125,74598,130,604.0,0.0,,,
805.0,Norte,RO,,13,,,,2020-11-19,38,881935,79765,115,0.0,10.0,,47221.0,
127.0,Norte,AC,,13,,,,2020-04-04,31,1777225,15465,237,1050.0,22.0,2976796.0,533597.0,
527.0,Norte,AC,,13,,,,2020-03-29,19,210147125,41239,25,667.0,42.0,,399313.0,
926.0,Norte,RO,,12,,,,2020-10-08,36,4144597,867624,375,2.0,231.0,,,
416.0,Norte,AC,,11,,,,2020-08-23,42,4144597,28654,340,97240.0,5.0,,,
705.0,Norte,AC,,76,,,,2020-11-22,47,881935,101777,184,1433.0,26.0,,478717.0,
127.0,Norte,RO,,76,,,,2020-09-14,21,210147125,61683,201,7.0,494.0,,,
271.0,Norte,AC,,12,,,,2020-07-17,29,210147125,54496,0,561.0,0.0,,,
267.0,Norte,AM,,11,,,,2020-09-16,31,210147125,71496,6276,426.0,602.0,,,
556.0,Norte,AC,,11,,,,2020-06-18,24,1777225,21993,15760,474.0,1.0,3820095.0,,
298.0,Norte,,,76,,,,2020-03-09,22,210147125,67479,2743,0.0,166.0,,,
824.0,Norte,,,13,,,,2020-03-09,24,1777225,29765,17110,0.0,1349.0,4526975.0,,
988.0,Norte,AM,,76,,,,2020-05-30,39,210147125,135,867,2.0,17.0,,,
289.0,Norte,AM,,11,,,,2020-08-23,41,4144597,26287,323,100477.0,194.0,,,
938.0,Norte,AC,,12,,,,2020-05-22,38,881935,5863093,18947,1427.0,19.0,,,
951.0,Norte,RO,,76,,,,2020-09-07,31,881935,428,1236,2.0,2.0,,,
561.0,Norte,AC,,13,,,,2020-09-02,30,1777225,42725,409,0.0,1473.0,,,
400.0,Norte,,,13,,,,2020-02-28,26,210147125,51234,104,1294.0,0.0,,,
224.0,Norte,AM,,11,,,,2020-08-15,22,4144597,67,1047,1035.0,1.0,673729.0,,
158.0,Norte,AC,,13,,,,2020-09-22,16,210147125,417,41350,23.0,432.0,166647.0,,
16.0,Norte,AM,,76,,,,2020-10-14,10,210147125,46061,16389,2492.0,7.0,64957.0,,
564.0,Norte,AM,,13,,,,2020-04-27,24,1777225,195,159,8.0,0.0,,380238.0,
395.0,Norte,AM,,11,,,,2020-05-20,43,1777225,804,2,50.0,1.0,59297.0,,
661.0,Norte,RO,,11,,,,2020-02-27,15,1777225,943,503,81487.0,71.0,733848.0,,
857.0,Norte,RO,,12,,,,2020-06-09,27,1777225,1274974,701,5.0,2.0,,,
463.0,Brasil,AC,,76,,,,2020-10-28,21,210147125,4502,339,657.0,3.0,,,
883.0,Norte,AM,,11,,,,2020-04-28,37,210147125,4147794,2,131625.0,20.0,,51131.0,
793.0,Norte,AC,,76,,,,2020-08-07,9,210147125,5055888,480,157134.0,1031.0,2976796.0,,
586.0,Norte,AM,,13,,,,2020-05-27,15,881935,5200300,775,201.0,0.0,35935.0,,
45.0,Norte,,,12,,,,2020-02-28,35,4144597,75468,482,589.0,8.0,,690642.0,
571.0,Norte,AM,,13,,,,2020-10-01,37,4144597,9,71,99572.0,0.0,1409202.0,,
500.0,Norte,RO,,12,,,,2020-08-19,15,1777225,70041,508,830.0,7.0,5133155.0,,
980.0,Norte,AM,,12,,,,2020-08-24,23,210147125,21619,96,411.0,21.0,,,
681.0,Norte,AM,,11,,,,2020-05-16,11,881935,2,303,71469.0,8.0,,651666.0,
269.0,Norte,AM,,13,,,,2020-11-02,12,4144597,71121,18,0.0,190.0,,,
688.0,Norte,RO,,11,,,,2020-04-06,14,1777225,11381,926,1368.0,5.0,,690584.0,
724.0,Norte,RO,,11,,,,2020-08-26,23,1777225,67181,335,112304.0,188.0,3945627.0,,
364.0,Norte,AM,,11,,,,2020-03-22,25,1777225,1228114,0,0.0,4.0,,,
328.0,Norte,AC,,11,,,,2020-09-15,33,1777225,0,1,1371.0,2.0,,,
457.0,Norte,RO,,76,,,,2020-06-12,18,881935,291,0,0.0,11.0,,479916.0,
191.0,Norte,RO,,12,,,,2020-04-03,31,210147125,73040,110,521.0,1.0,,,
855.0,Brasil,RO,,13,,,,2020-03-02,22,1777225,76,78,476.0,11.0,,,
628.0,Norte,AC,,12,,,,2020-06-12,48,210147125,101147,320,657.0,0.0,,,
649.0,Norte,AM,,76,,,,2020-04-01,25,4144597,5200300,2763,0.0,16.0,,,
868.0,Norte,AM,,13,,,,2020-05-08,31,881935,233142,321,1320.0,204.0,24325.0,,
647.0,Brasil,AM,,76,,,,2020-09-10,25,210147125,47837,6,962.0,0.0,2163812.0,,
746.0,Norte,AM,,13,,,,2020-09-05,26,1777225,218223,26051,320.0,749.0,,,
637.0,Norte,RO,,11,,,,2020-08-21,23,1777225,3493,17408,2052.0,0.0,,436219.0,
518.0,Norte,RO,,76,,,,2020-03-13,18,881935,4880523,512,359.0,541.0,5133155.0,,
16.0,Norte,AC,,12,,,,2020-09-22,20,881935,5000694,11687,106523.0,47.0,,,
891.0,Norte,AM,,12,,,,2020-06-12,38,210147125,234,369,157134.0,4.0,,,
181.0,Norte,AM,,11,,,,2020-07-07,35,210147125,0,13140,607.0,33.0,,533597.0,
550.0,Norte,RO,,12,,,,2020-04-01,44,210147125,60484,20,5.0,0.0,,748585.0,
824.0,Norte,RO,,11,,,,2020-05-29,35,881935,1997,241,76.0,0.0,,505729.0,
919.0,Norte,AC,,12,,,,2020-05-04,40,881935,1867,41008,1.0,1.0,,,
110.0,Norte,,,12,,,,2020-10-08,46,1777225,354,977,14.0,11.0,,,
563.0,Norte,AC,,12,,,,2020-11-28,27,1777225,5113628,6760,136895.0,0.0,,,
476.0,Norte,AC,,11,,,,2020-07-29,14,210147125,74598,0,430.0,2.0,,,
455.0,Norte,RO,,76,,,,2020-03-03,46,881935,13567,18,1240.0,165.0,,,
41.0,Norte,RO,,12,,,,2020-02-28,26,1777225,5251,237,2549.0,1223.0,,,
868.0,Brasil,AM,,13,,,,2020-10-04,31,1777225,417,5,1398.0,0.0,,,
184.0,Norte,AC,,76,,,,2020-06-22,31,210147125,5094979,34130,0.0,0.0,1570237.0,,
381.0,Norte,AM,,13,,,,2020-04-07,34,4144597,78788,39924,1476.0,4.0,,,
769.0,Norte,,,76,,,,2020-07-25,27,210147125,5664115,211,25.0,0.0,4980942.0,,
8.0,Norte,AM,,13,,,,2020-04-25,39,210147125,90,559,409.0,7.0,,,
142.0,Norte,AM,,11,,,,2020-03-02,42,210147125,2118646,93,598.0,3.0,,,
948.0,Norte,AC,,76,,,,2020-09-16,37,4144597,163,5919,0.0,11.0,2094293.0,675378.0,
266.0,Norte,RO,,11,,,,2020-03-05,47,4144597,101777,1342,1460.0,0.0,,,
190.0,Norte,,,13,,,,2020-08-01,19,1777225,54,197,245.0,1374.0,,,
8.0,Norte,AC,,11,,,,2020-06-08,34,1777225,76,185,648.0,0.0,,25333.0,
620.0,Norte,RO,,12,,,,2020-09-15,34,4144597,88025,165,1434.0,6.0,,,
316.0,Norte,RO,,12,,,,2020-07-03,49,1777225,46473,1261,1331.0,128.0,,,
375.0,Norte,RO,,12,,,,2020-11-02,9,210147125,91299,369,674.0,571.0,,,
553.0,Norte,RO,,12,,,,2020-11-02,48,1777225,44372,333,158456.0,1233.0,,653726.0,
546.0,Norte,AC,,76,,,,2020-09-23,23,881935,66623,219,1535.0,10.0,,669377.0,
986.0,Norte,AM,,12,,,,2020-08-21,12,1777225,2962442,64,1385.0,338.0,,,
59.0,Norte,AM,,11,,,,2020-05-09,33,210147125,68220,51194,166014.0,140.0,,395545.0,
362.0,Norte,RO,,12,,,,2020-04-18,11,881935,3317096,335,8535.0,2.0,,,
846.0,Brasil,AM,,76,,,,2020-08-31,27,881935,61683,926,0.0,0.0,4817898.0,,
270.0,Norte,,,12,,,,2020-10-03,29,1777225,38992,856,966.0,22.0,,494105.0,
,Norte,AM,,12,,,,2020-04-01,44,4144597,0,0,141741.0,1233.0,,,
789.0,Norte,AM,,11,,,,2020-06-22,16,210147125,29406,22294,1180.0,68.0,,,
567.0,Norte,AC,,11,,,,2020-09-10,48,1777225,13010,15760,0.0,1.0,,38564.0,
330.0,Norte,AC,,76,,,,2020-10-14,9,881935,43079,47134,2102.0,0.0,,,
949.0,Norte,RO,,76,,,,2020-05-29,31,4144597,7242,50230,814.0,816.0,,,
203.0,Norte,,,76,,,,2020-11-28,19,210147125,29925,66,69184.0,338.0,1409202.0,,
691.0,Norte,RO,,12,,,,2020-02-28,13,4144597,30951,637,23.0,6.0,4352871.0,791906.0,
353.0,Norte,AM,,76,,,,2020-06-02,23,881935,5235344,113,1470.0,2.0,,,
128.0,Norte,AC,,12,,,,2020-08-15,15,210147125,26728,0,201.0,0.0,,421919.0,
194.0,Norte,,,76,,,,2020-04-12,29,1777225,76377,170,67.0,49.0,,,
696.0,Brasil,,,11,,,,2020-10-27,14,210147125,55111,33523,2250.0,4.0,,,
154.0,Norte,AM,,12,,,,2020-02-28,35,210147125,772416,290,1474.0,0.0,,,
173.0,Norte,RO,,13,,,,2020-09-03,48,881935,804,476,2938.0,754.0,3553421.0,,
474.0,Norte,AM,,11,,,,2020-11-28,35,1777225,354,52,155403.0,10.0,,,
811.0,Norte,RO,,76,,,,2020-11-18,15,210147125,943,24578,918.0,15.0,,388531.0,
484.0,Norte,AC,,12,,,,2020-10-28,36,1777225,3997865,28532,649.0,984.0,,505729.0,
287.0,Brasil,AC,,11,,,,2020-07-11,49,210147125,24840,24858,69184.0,26.0,,,
789.0,Norte,RO,,76,,,,2020-05-12,46,1777225,1484,224,162397.0,0.0,,637375.0,
175.0,Norte,AC,,11,,,,2020-07-21,12,4144597,28555,36,164281.0,0.0,,,
142.0,Norte,,,76,,,,2020-07-29,47,210147125,4162073,234,545.0,377.0,,,
594.0,Norte,AC,,11,,,,2020-03-17,13,210147125,70350,36,168989.0,0.0,,,
231.0,Brasil,,,13,,,,2020-09-11,14,881935,4160,39023,4543.0,10.0,,,
315.0,Brasil,,,12,,,,2020-07-31,20,4144597,0,165,3048.0,0.0,,621113.0,
788.0,Norte,AM,,11,,,,2020-07-27,13,881935,125218,19373,1396.0,21.0,4212772.0,,
908.0,Norte,RO,,13,,,,2020-06-30,16,881935,5439641,2,136532.0,1.0,,529852.0,
565.0,Norte,AC,,13,,,,2020-04-15,12,881935,2479,926,608.0,7.0,,499513.0,
469.0,Brasil,AC,,11,,,,2020-10-30,46,881935,4501,198,29.0,0.0,,,
27.0,Norte,,,12,,,,2020-06-20,29,1777225,60038,122,0.0,44.0,,,
676.0,Norte,AM,,76,,,,2020-06-16,38,210147125,2962442,856,2605.0,8.0,,,
332.0,Norte,,,76,,,,2020-09-08,36,881935,102386,0,556.0,5.0,,,
636.0,Norte,AM,,13,,,,2020-02-27,20,210147125,48,11,3063.0,6.0,5528599.0,,
808.0,Norte,AC,,76,,,,2020-03-31,27,1777225,52995,484,300.0,21.0,,,
468.0,Norte,RO,,12,,,,2020-03-28,28,4144597,72,14919,0.0,4.0,,,
489.0,Norte,RO,,12,,,,2020-10-12,13,210147125,68612,67,1518.0,682.0,,,
88.0,Norte,RO,,76,,,,2020-11-12,17,4144597,3359570,17078,11.0,682.0,,552407.0,
739.0,Brasil,RO,,12,,,,2020-11-25,13,1777225,3862311,886,0.0,0.0,,,
434.0,Norte,,,12,,,,2020-03-05,45,1777225,3,219,1035.0,8.0,,,
819.0,Norte,,,13,,,,2020-08-27,17,881935,10,1421,709.0,31.0,,,
513.0,Norte,RO,,76,,,,2020-08-22,29,1777225,56506,151,4543.0,2.0,,,
496.0,Norte,AC,,13,,,,2020-03-31,43,4144597,739503,24831,457.0,0.0,,,
171.0,Norte,RO,,76,,,,2020-05-16,35,881935,828810,781,539.0,0.0,507200.0,,
42.0,Norte,RO,,11,,,,2020-03-26,28,881935,73990,239,1421.0,0.0,4756489.0,,
409.0,Norte,RO,,11,,,,2020-10-27,24,4144597,13253,9,480.0,0.0,,,
384.0,Norte,,,76,,,,2020-06-09,36,4144597,4743,15,3199.0,10.0,,,
393.0,Norte,AC,,13,,,,2020-05-18,36,210147125,26166,135,2047.0,2.0,3820095.0,,
775.0,Norte,RO,,11,,,,2020-04-15,42,1777225,14941,1342,122.0,3.0,,,
37.0,Norte,RO,,12,,,,2020-03-07,30,881935,50,1661,159884.0,4.0,2670755.0,,
279.0,Norte,AM,,11,,,,2020-06-25,35,1777225,13715,0,0.0,24.0,1883677.0,,
144.0,Norte,,,12,,,,2020-04-25,41,1777225,4777522,0,52645.0,0.0,,,
171.0,Norte,RO,,11,,,,2020-10-13,36,210147125,0,38397,324.0,317.0,22991.0,,
728.0,Norte,RO,,11,,,,2020-06-29,22,4144597,12022,340,343.0,0.0,4248574.0,468776.0,
42.0,Norte,AC,,11,,,,2020-04-11,30,1777225,1335,598,1454.0,2.0,,,
939.0,Norte,AC,,11,,,,2020-11-03,42,210147125,27050,88,0.0,0.0,,,
