country,sex,age_min,age_max,deaths,asof,nat.reg,continent
Cyprus,M,45,4,2.0,30/06/2020,reg,Asia
Brazil,M,0,110,2.0,01/07/2020,reg,Africa
Bosnia & Herzegovina,M,60,49,137.0,21/05/2020,reg,Asia
Finland,M,50,9,220.0,11/06/2020,reg,Asia
Georgia,F,20,59,96.0,18/09/2020,reg,North America
Portugal,F,35,69,43.0,19/09/2020,nat,Africa
Costa Rica,M,80,24,2.0,29/05/2020,nat,North America
Cuba,M,80,84,1.0,01/07/2020,reg,Europe
Lebanon,M,65,44,5.0,30/06/2020,reg,Europe
Greece,M,90,44,349.0,30/06/2020,reg,Africa
Armenia,M,5,19,17.0,04/07/2020,nat,North America
Slovenia,F,85,59,71.0,15/09/2020,reg,Africa
Cuba,M,0,19,43.0,11/06/2020,reg,Europe
Cyprus,F,70,79,527.0,11/02/2020,reg,Africa
Liechtenstein,M,85,79,0.0,11/06/2020,reg,South America
Portugal,M,95,74,1.0,20/09/2020,reg,Asia
Slovenia,M,50,4,0.0,18/09/2020,reg,North America
Iran,M,15,59,22.0,15/09/2020,nat,Europe
Cuba,M,5,79,4356.0,07/09/2020,reg,Africa
Slovenia,M,10,89,957.0,21/05/2020,nat,Europe
Georgia,F,20,39,227.0,30/06/2020,reg,Asia
Peru,M,75,89,276.0,19/09/2020,reg,Asia
Australia,F,40,44,1422.0,18/09/2020,reg,Europe
Bosnia & Herzegovina,M,70,74,0.0,19/09/2020,reg,Europe
Moldova,F,70,79,0.0,20/09/2020,reg,Europe
Finland,M,90,29,7.0,21/05/2020,reg,Europe
Latvia,F,55,74,838.0,13/09/2020,reg,South America
South Korea,F,80,44,3.0,11/02/2020,reg,Europe
Jordan,F,50,4,28.0,30/06/2020,reg,North America
Spain,M,30,79,220.0,07/09/2020,reg,Asia
Cuba,F,80,110,5.0,30/06/2020,reg,Asia
Iran,F,15,29,2856.0,27/07/2020,reg,North America
Venezuela,B,80,49,2182.0,19/09/2020,reg,Europe
Colombia,M,30,39,2655.0,11/02/2020,reg,Europe
Bosnia & Herzegovina,M,50,39,7.0,29/05/2020,reg,South America
Bosnia & Herzegovina,M,75,79,0.0,11/02/2020,reg,Africa
Australia,F,25,99,394.0,19/09/2020,reg,South America
Slovenia,M,80,44,0.0,18/09/2020,reg,Asia
Latvia,M,60,4,136.0,27/07/2020,reg,Europe
Georgia,M,60,69,0.0,04/07/2020,reg,Europe
Austria,F,60,84,0.0,01/07/2020,reg,Asia
Colombia,M,80,99,43.0,18/09/2020,reg,Europe
Thailand,F,60,49,2443.0,04/07/2020,reg,Europe
Thailand,M,35,49,1.0,18/09/2020,reg,South America
Armenia,F,90,29,739.0,20/09/2020,nat,North America
Philippines,M,20,84,95.0,18/09/2020,reg,South America
Spain,M,20,19,9.0,18/09/2020,nat,Europe
Spain,F,15,34,1.0,03/06/2020,reg,Europe
Bosnia & Herzegovina,M,45,110,0.0,30/06/2020,reg,Asia
Iran,M,95,110,1.0,21/05/2020,reg,Europe
New Zealand,M,35,79,104.0,07/09/2020,nat,Africa
Thailand,M,65,89,4938.0,15/09/2020,reg,Europe
Austria,F,15,89,92.0,29/05/2020,nat,Africa
Spain,F,5,74,239.0,11/02/2020,nat,Europe
Slovenia,B,30,54,648.0,15/09/2020,nat,Europe
Thailand,M,80,49,8421.0,29/05/2020,reg,Asia
Armenia,F,5,54,401.0,28/05/2020,nat,Africa
Slovenia,F,0,110,3600.0,28/05/2020,reg,Europe
Costa Rica,M,15,69,9.0,11/02/2020,reg,Asia
Moldova,F,40,39,13.0,19/09/2020,reg,Asia
Dominican Republic,F,35,39,0.0,07/09/2020,reg,Africa
Cuba,F,0,9,35067.0,15/09/2020,reg,South America
Brazil,M,40,84,131.0,03/06/2020,reg,Europe
Spain,M,10,39,1665.0,21/05/2020,reg,Europe
Romania,M,25,79,2.0,11/06/2020,reg,Africa
Latvia,M,20,44,969.0,11/06/2020,reg,Africa
Latvia,F,90,49,58.0,30/06/2020,reg,Asia
Greece,M,60,29,4290.0,04/07/2020,reg,Asia
Venezuela,B,20,69,3971.0,30/06/2020,reg,North America
Finland,F,90,64,23.0,16/09/2020,nat,South America
South Korea,F,65,14,264.0,11/02/2020,reg,North America
Bosnia & Herzegovina,F,30,9,0.0,27/07/2020,reg,Europe
Liechtenstein,M,90,69,65.0,21/05/2020,nat,North America
Bosnia & Herzegovina,M,40,110,4.0,30/06/2020,reg,Europe
Latvia,M,40,9,3194.0,29/05/2020,reg,North America
Cuba,M,55,64,11324.0,27/07/2020,reg,Europe
Spain,M,5,19,52.0,19/09/2020,reg,Asia
New Zealand,M,70,44,274.0,04/07/2020,reg,Africa
Liechtenstein,M,70,74,648.0,18/09/2020,reg,Europe
Slovenia,M,0,110,61.0,19/09/2020,nat,Africa
Venezuela,M,45,49,838.0,18/09/2020,reg,Europe
Georgia,M,15,79,15.0,20/09/2020,reg,Asia
Cuba,F,45,74,30.0,04/07/2020,reg,Africa
Latvia,M,0,39,44.0,16/09/2020,reg,North America
Monaco,M,0,69,62.0,11/06/2020,reg,Europe
Armenia,M,75,34,0.0,19/09/2020,reg,Europe
Latvia,M,90,64,,13/09/2020,reg,Europe
Costa Rica,M,45,49,0.0,15/09/2020,reg,South America
Greece,M,0,29,1.0,18/09/2020,reg,Asia
Moldova,F,20,74,0.0,18/09/2020,reg,Asia
Bosnia & Herzegovina,M,20,110,0.0,19/09/2020,reg,Europe
Greece,M,20,39,719.0,11/02/2020,reg,Africa
Austria,M,0,59,0.0,04/07/2020,nat,Asia
Colombia,M,15,49,1.0,27/07/2020,reg,Asia
Spain,M,20,69,7.0,30/06/2020,reg,Africa
Costa Rica,M,10,34,75.0,01/07/2020,reg,Africa
Peru,M,90,19,0.0,16/09/2020,reg,Europe
Spain,M,25,4,4163.0,11/06/2020,reg,Europe
Latvia,F,50,64,7.0,29/05/2020,nat,North America
Cuba,M,55,79,2715.0,28/05/2020,reg,North America
Monaco,B,85,89,289.0,18/09/2020,reg,South America
Algeria,M,25,79,65.0,07/09/2020,reg,Europe
Venezuela,B,40,54,0.0,07/09/2020,reg,Europe
Cuba,M,75,34,46.0,18/09/2020,reg,Asia
Georgia,M,45,69,186.0,28/05/2020,reg,Europe
Iran,M,40,29,652.0,27/07/2020,reg,Europe
Austria,M,20,84,89.0,29/05/2020,reg,South America
Tajikistan,M,75,69,274.0,11/02/2020,nat,North America
Austria,M,75,69,18.0,03/06/2020,reg,Europe
South Korea,F,50,79,7.0,11/06/2020,reg,South America
Brazil,F,0,69,193.0,13/09/2020,nat,North America
Venezuela,M,60,110,940.0,07/09/2020,reg,North America
Brazil,M,80,29,0.0,21/05/2020,reg,Europe
Bosnia & Herzegovina,M,50,59,1386.0,27/07/2020,nat,North America
New Zealand,B,20,9,217.0,15/09/2020,reg,Asia
Iran,M,10,4,0.0,19/09/2020,reg,Europe
Iran,F,30,59,0.0,19/09/2020,reg,North America
Costa Rica,M,0,29,1.0,11/02/2020,reg,Asia
Slovakia,M,65,39,39.0,29/05/2020,reg,Asia
Iran,M,15,74,1.0,11/06/2020,reg,North America
Peru,F,70,110,2426.0,19/09/2020,reg,Europe
Georgia,M,55,74,3755.0,18/09/2020,nat,Europe
South Korea,B,15,4,44.0,18/09/2020,nat,Africa
Pakistan,M,70,84,3626.0,11/02/2020,reg,Europe
Egypt,M,55,79,582.0,16/09/2020,reg,Europe
Liechtenstein,M,40,84,131.0,11/06/2020,reg,Europe
Cuba,F,50,29,2058.0,07/09/2020,nat,Asia
South Korea,M,75,110,0.0,03/06/2020,reg,North America
Australia,M,15,59,0.0,03/06/2020,nat,Europe
Cuba,M,40,110,41.0,21/05/2020,reg,Africa
Liechtenstein,M,10,89,314.0,11/06/2020,reg,Europe
Moldova,M,60,54,240.0,11/09/2020,reg,Africa
Costa Rica,F,60,24,70.0,07/09/2020,reg,North America
Lebanon,M,80,84,30.0,19/09/2020,reg,Asia
Kazakhstan,M,60,29,349.0,01/07/2020,reg,South America
Costa Rica,F,40,79,23.0,27/07/2020,reg,Europe
New Zealand,B,30,9,39.0,11/06/2020,reg,Europe
Peru,M,30,110,1.0,21/05/2020,reg,Africa
Cyprus,F,60,69,173.0,11/02/2020,reg,Asia
Brazil,M,0,9,1.0,19/09/2020,reg,Europe
Jordan,B,60,19,1.0,03/06/2020,reg,Europe
Bosnia & Herzegovina,M,30,89,49.0,11/06/2020,reg,Europe
Liechtenstein,F,30,39,0.0,19/09/2020,reg,Africa
Monaco,B,85,34,13.0,11/06/2020,reg,Europe
Tajikistan,M,30,39,4356.0,15/09/2020,reg,Africa
North Macedonia,B,55,69,90.0,27/07/2020,reg,Europe
Venezuela,F,50,89,1.0,11/06/2020,nat,Asia
Cyprus,M,65,84,1494.0,11/06/2020,reg,Europe
Venezuela,F,0,110,9.0,18/09/2020,reg,Europe
Liechtenstein,M,70,49,2436.0,11/02/2020,reg,Africa
Monaco,F,65,9,1.0,20/09/2020,reg,Africa
Bosnia & Herzegovina,M,95,49,6.0,18/09/2020,nat,Africa
Slovakia,F,70,14,4.0,11/06/2020,reg,Europe
Finland,M,10,59,21.0,20/09/2020,reg,North America
Jordan,F,80,49,81.0,21/05/2020,reg,North America
New Zealand,B,15,14,3.0,04/07/2020,reg,North America
Algeria,F,70,44,335.0,19/09/2020,reg,South America
Egypt,F,30,69,2346.0,19/09/2020,reg,North America
Thailand,M,60,110,7.0,30/06/2020,nat,Europe
North Macedonia,B,60,14,180.0,16/09/2020,reg,Asia
Liechtenstein,F,30,4,0.0,07/09/2020,reg,Africa
Armenia,M,85,49,0.0,30/06/2020,nat,North America
Liechtenstein,M,50,34,16.0,30/06/2020,reg,Africa
Cuba,F,45,29,0.0,19/09/2020,nat,North America
Costa Rica,F,80,64,41.0,21/05/2020,reg,Europe
Venezuela,B,5,69,10.0,03/06/2020,reg,Europe
Armenia,B,65,59,870.0,11/06/2020,reg,North America
Costa Rica,F,60,79,5348.0,11/06/2020,nat,South America
Thailand,M,0,19,1.0,01/07/2020,nat,Europe
Austria,M,90,14,0.0,29/05/2020,nat,Africa
Guernsey,F,10,110,0.0,19/09/2020,nat,Europe
New Zealand,F,55,74,1.0,29/05/2020,nat,North America
Peru,F,5,19,13.0,27/07/2020,reg,Europe
Colombia,M,45,19,1665.0,28/05/2020,reg,Europe
Guernsey,M,10,54,461.0,29/05/2020,reg,Asia
Slovenia,F,5,89,0.0,04/07/2020,reg,Europe
Georgia,M,10,39,0.0,21/05/2020,reg,Asia
Venezuela,F,30,49,83.0,01/07/2020,reg,Europe
Brazil,M,15,4,235.0,19/09/2020,reg,Asia
Georgia,M,30,74,1.0,01/07/2020,reg,Europe
Liechtenstein,F,100,44,588.0,11/06/2020,reg,Africa
Cyprus,M,50,59,7.0,11/06/2020,reg,Africa
South Korea,M,5,59,18.0,19/09/2020,reg,North America
Greece,F,85,49,2182.0,19/09/2020,reg,Africa
North Macedonia,F,50,14,1.0,19/09/2020,reg,Asia
Peru,F,30,49,1.0,07/09/2020,reg,Europe
Peru,M,60,94,71.0,20/09/2020,reg,Africa
Colombia,F,40,29,0.0,11/06/2020,reg,North America
South Korea,F,0,49,127.0,13/09/2020,reg,North America
Brazil,M,40,110,10.0,16/09/2020,nat,Africa
Egypt,F,90,54,109.0,11/06/2020,reg,Europe
Iran,B,90,24,0.0,07/09/2020,reg,Africa
Dominican Republic,M,80,89,27.0,13/09/2020,reg,Europe
Bulgaria,F,90,110,0.0,01/07/2020,nat,South America
Guernsey,B,35,14,4.0,11/06/2020,nat,Asia
Bosnia & Herzegovina,M,25,39,92.0,27/07/2020,reg,Asia
Slovenia,F,60,9,240.0,27/07/2020,reg,Europe
South Korea,M,15,79,30.0,11/09/2020,reg,Europe
North Macedonia,M,50,110,0.0,16/09/2020,reg,Europe
Georgia,F,0,74,12.0,18/09/2020,reg,Asia
Algeria,F,70,89,74.0,11/06/2020,reg,Europe
Cuba,F,55,69,164.0,11/06/2020,reg,Europe
Cyprus,B,80,34,22.0,29/05/2020,reg,Europe
Iran,M,10,19,164.0,18/09/2020,reg,Asia
New Zealand,M,50,19,2336.0,18/09/2020,reg,Africa
Cyprus,F,0,39,3.0,18/09/2020,reg,North America
Guernsey,M,40,59,18.0,11/02/2020,reg,North America
Egypt,F,55,29,2.0,07/09/2020,reg,Europe
Georgia,B,20,29,309.0,15/09/2020,reg,Europe
Kazakhstan,B,50,84,43.0,21/05/2020,reg,Europe
Georgia,F,0,79,4938.0,11/06/2020,reg,Asia
South Korea,M,20,39,0.0,20/09/2020,reg,South America
Armenia,M,90,39,1452.0,30/06/2020,reg,Asia
Slovakia,F,70,64,164.0,11/06/2020,nat,Africa
Thailand,M,75,110,335.0,11/06/2020,nat,Asia
Iran,F,60,110,17.0,19/09/2020,reg,North America
Cuba,M,60,9,165.0,19/09/2020,reg,Europe
Iran,F,50,54,66.0,18/09/2020,nat,North America
Georgia,M,75,24,742.0,19/09/2020,reg,Asia
Iran,F,80,64,51.0,16/09/2020,reg,Europe
Algeria,M,80,110,46.0,16/09/2020,reg,Africa
Bosnia & Herzegovina,F,50,24,51.0,11/02/2020,reg,North America
Venezuela,M,50,64,70.0,27/07/2020,reg,Africa
Cuba,M,45,34,0.0,21/05/2020,reg,Africa
Moldova,F,30,49,2618.0,11/02/2020,reg,Asia
Tajikistan,M,20,59,0.0,19/09/2020,reg,Africa
Moldova,B,80,110,52.0,30/06/2020,reg,Asia
Cuba,F,0,64,2.0,01/07/2020,reg,Europe
Georgia,M,80,99,17.0,19/09/2020,reg,Africa
Iran,F,60,44,0.0,11/06/2020,reg,Africa
Peru,B,70,19,461.0,11/02/2020,reg,Europe
Philippines,F,20,59,248.0,15/09/2020,reg,North America
Kazakhstan,F,25,44,0.0,19/09/2020,nat,Asia
Austria,F,50,110,0.0,18/09/2020,reg,North America
Austria,M,0,9,15.0,19/09/2020,reg,North America
Liechtenstein,M,75,44,0.0,19/09/2020,nat,Europe
Austria,M,20,9,2.0,30/06/2020,reg,Europe
Moldova,M,90,49,18.0,16/09/2020,nat,Asia
Algeria,M,50,14,21.0,11/02/2020,nat,Europe
Finland,B,40,89,4630.0,28/05/2020,reg,Africa
Spain,M,80,110,5.0,07/09/2020,reg,Asia
Cyprus,M,70,49,0.0,29/05/2020,reg,Asia
Cyprus,M,80,74,4.0,18/09/2020,reg,Europe
Liechtenstein,F,15,74,150.0,04/07/2020,reg,Asia
Costa Rica,M,45,79,47.0,19/09/2020,reg,Europe
Cuba,F,10,29,1.0,03/06/2020,reg,Europe
Thailand,M,15,110,4938.0,11/06/2020,reg,Europe
Finland,M,50,9,164.0,18/09/2020,reg,North America
Lebanon,M,45,110,7.0,01/07/2020,reg,Africa
Cyprus,B,20,69,0.0,20/09/2020,reg,Asia
Peru,F,85,69,99.0,11/09/2020,reg,Europe
Dominican Republic,F,90,79,2.0,18/09/2020,reg,Africa
Serbia,F,0,39,0.0,16/09/2020,nat,Asia
Cyprus,F,0,110,4.0,07/09/2020,reg,North America
Liechtenstein,M,40,89,4739.0,11/02/2020,reg,Europe
Dominican Republic,F,0,54,138.0,19/09/2020,reg,South America
Algeria,F,75,49,2636.0,19/09/2020,reg,Europe
Costa Rica,F,60,9,30.0,11/06/2020,reg,North America
Slovenia,F,30,49,1.0,21/05/2020,reg,Asia
Kazakhstan,F,45,29,1208.0,15/09/2020,nat,Africa
Spain,M,65,59,28.0,11/02/2020,reg,North America
Peru,F,60,110,5.0,21/05/2020,nat,Europe
South Korea,F,45,34,12.0,19/09/2020,reg,Africa
Moldova,F,20,39,65.0,15/09/2020,nat,North America
Venezuela,M,30,110,648.0,04/07/2020,reg,Africa
Bosnia & Herzegovina,M,50,74,3.0,11/06/2020,nat,Europe
Costa Rica,F,70,110,235.0,30/06/2020,reg,Europe
Bosnia & Herzegovina,B,85,54,0.0,21/05/2020,reg,Europe
Armenia,M,20,64,0.0,21/05/2020,nat,Africa
Thailand,M,0,9,289.0,30/06/2020,reg,Africa
Lebanon,M,5,74,0.0,29/05/2020,reg,Europe
New Zealand,M,25,64,0.0,19/09/2020,reg,North America
Cuba,M,75,64,32.0,29/05/2020,reg,Europe
Georgia,F,25,79,3802.0,11/02/2020,reg,Africa
Bosnia & Herzegovina,M,75,69,0.0,19/09/2020,reg,Asia
New Zealand,M,1,39,0.0,11/02/2020,reg,North America
Jordan,M,70,24,82.0,20/09/2020,reg,South America
New Zealand,F,15,29,717.0,16/09/2020,reg,Africa
Dominican Republic,F,65,29,108.0,11/06/2020,nat,Africa
Iran,M,0,34,4.0,29/05/2020,nat,Asia
South Korea,F,55,19,3135.0,15/09/2020,reg,Asia
Tajikistan,M,10,64,0.0,28/05/2020,reg,North America
Jordan,M,10,29,20.0,30/06/2020,reg,Europe
Armenia,M,0,19,230.0,15/09/2020,reg,Africa
Brazil,B,40,39,6.0,28/05/2020,reg,Europe
Costa Rica,M,0,110,0.0,18/09/2020,nat,Europe
Armenia,M,20,110,4.0,20/09/2020,nat,Europe
Austria,F,20,110,0.0,16/09/2020,reg,Asia
Cyprus,F,10,69,135.0,11/06/2020,reg,Asia
Cyprus,B,30,74,0.0,11/06/2020,nat,North America
Costa Rica,M,65,39,12.0,19/09/2020,reg,Africa
Spain,M,0,39,104.0,30/06/2020,reg,Europe
Slovenia,M,35,89,613.0,29/05/2020,reg,Europe
Jordan,F,0,59,18.0,18/09/2020,reg,Africa
Slovakia,M,50,110,0.0,16/09/2020,reg,Europe
Venezuela,M,50,89,116.0,20/09/2020,reg,Europe
Slovakia,M,10,110,10.0,11/02/2020,reg,South America
Latvia,M,85,79,289.0,28/05/2020,nat,Africa
Iran,F,65,89,2159.0,11/06/2020,reg,Europe
Greece,B,65,49,2382.0,03/06/2020,reg,North America
Bosnia & Herzegovina,F,60,39,2618.0,20/09/2020,nat,Africa
Venezuela,M,40,59,861.0,07/09/2020,reg,Asia
Slovenia,F,10,49,1527.0,30/06/2020,reg,Europe
Iran,F,15,79,37.0,27/07/2020,reg,Europe
Venezuela,M,0,9,861.0,01/07/2020,nat,Europe
Finland,M,15,39,7.0,19/09/2020,reg,Europe
Slovakia,M,70,9,0.0,13/09/2020,nat,Africa
Cyprus,F,90,29,2.0,19/09/2020,reg,Europe
Peru,M,25,74,359.0,11/06/2020,reg,Europe
Israel,F,50,14,70.0,20/09/2020,reg,South America
Cyprus,M,0,79,613.0,19/09/2020,nat,South America
North Macedonia,F,70,79,49.0,04/07/2020,reg,Africa
Lebanon,M,40,29,9.0,11/06/2020,nat,Europe
Iran,F,0,29,71.0,13/09/2020,reg,Asia
Bosnia & Herzegovina,F,50,110,9.0,11/06/2020,reg,Asia
Cuba,F,45,9,849.0,04/07/2020,reg,Europe
Liechtenstein,M,40,64,18.0,11/06/2020,reg,Europe
Thailand,M,80,84,72.0,30/06/2020,reg,Europe
Guernsey,F,30,9,0.0,11/02/2020,reg,Africa
Venezuela,M,35,49,1.0,16/09/2020,reg,Asia
Iran,M,0,54,0.0,18/09/2020,reg,Asia
Armenia,M,20,4,246.0,07/09/2020,nat,North America
Latvia,M,5,9,59.0,11/02/2020,reg,Africa
Latvia,M,40,49,2.0,16/09/2020,reg,Africa
Slovakia,M,50,49,123.0,18/09/2020,nat,Africa
Lebanon,M,40,9,8.0,18/09/2020,reg,South America
Armenia,B,25,19,6442.0,16/09/2020,reg,North America
Slovakia,F,65,69,93.0,21/05/2020,reg,Europe
Bosnia & Herzegovina,M,65,59,306.0,04/07/2020,reg,Asia
Bosnia & Herzegovina,M,15,39,208.0,30/06/2020,reg,South America
Brazil,F,90,39,4.0,30/06/2020,reg,Europe
Algeria,M,30,59,4925.0,11/06/2020,reg,South America
Brazil,M,35,29,0.0,15/09/2020,reg,North America
Austria,M,65,54,0.0,19/09/2020,reg,Asia
Spain,M,75,29,48.0,20/09/2020,reg,Europe
Australia,M,10,19,1344.0,29/05/2020,reg,Africa
New Zealand,M,20,69,0.0,15/09/2020,reg,Africa
Slovakia,M,20,9,1670.0,16/09/2020,reg,South America
Costa Rica,F,30,19,3.0,03/06/2020,reg,Europe
Cyprus,M,50,79,1.0,11/06/2020,reg,South America
Egypt,M,30,110,1.0,07/09/2020,reg,Africa
New Zealand,M,90,39,4.0,21/05/2020,reg,Europe
Cyprus,M,30,29,0.0,28/05/2020,reg,Europe
Thailand,M,30,79,24.0,16/09/2020,reg,Asia
Colombia,M,60,9,0.0,19/09/2020,reg,Africa
Latvia,F,0,79,27.0,29/05/2020,nat,Asia
Spain,M,0,110,51.0,01/07/2020,reg,North America
Jordan,F,35,49,3.0,16/09/2020,reg,Asia
Slovakia,M,50,84,122.0,21/05/2020,nat,Europe
Brazil,M,80,29,,27/07/2020,reg,Asia
Slovenia,M,40,64,40.0,27/07/2020,reg,Africa
Armenia,M,35,39,8421.0,19/09/2020,nat,Europe
Dominican Republic,M,0,54,0.0,18/09/2020,nat,Europe
Armenia,M,55,4,25.0,30/06/2020,nat,Europe
Bosnia & Herzegovina,F,20,69,0.0,30/06/2020,reg,Europe
Slovakia,M,10,1,59.0,21/05/2020,reg,Africa
New Zealand,F,55,39,0.0,11/02/2020,reg,Europe
Slovenia,F,60,69,48.0,20/09/2020,reg,Europe
Spain,F,30,14,48.0,30/06/2020,reg,Africa
Iran,M,0,9,66.0,16/09/2020,reg,North America
Liechtenstein,F,60,19,314.0,21/05/2020,reg,South America
Jordan,F,10,44,37.0,30/06/2020,reg,Asia
Cyprus,M,55,29,1.0,20/09/2020,reg,Europe
Spain,B,20,79,232.0,11/06/2020,reg,Europe
North Macedonia,M,20,89,335.0,28/05/2020,reg,Europe
Liechtenstein,M,30,64,582.0,19/09/2020,nat,Europe
Greece,M,20,69,6.0,11/06/2020,reg,Europe
Slovakia,M,65,110,2346.0,18/09/2020,reg,Africa
Serbia,M,5,39,5348.0,19/09/2020,reg,North America
Bosnia & Herzegovina,M,55,79,0.0,19/09/2020,nat,Europe
Colombia,F,20,84,95.0,11/02/2020,reg,Europe
Australia,M,60,110,38.0,01/07/2020,reg,Europe
Cyprus,M,45,110,3600.0,18/09/2020,reg,North America
Liechtenstein,B,60,110,0.0,07/09/2020,reg,Asia
Cyprus,M,0,79,240.0,18/09/2020,reg,South America
Austria,F,5,4,3626.0,19/09/2020,nat,Europe
