REP_COUNTRY,Date,WEEK_AUTO,NEW_CONF_CASES,NEW_PROB_CASES,NEW_CONF_DEATHS,NEW_PROB_DEATHS,NEW_CONF_PROB_HOSPITALIZED,NEW_CONF_PROB_DISCHARGED,NEW_CONF_PROB_HCW_CASES,NEW_CONF_PROB_HCW_DEATHS,TESTED,TESTED_PCR,TRANS_CLASS,NEW_CASES_CONF_PROB_0-4_F,NEW_CASES_CONF_PROB_0-4_M,NEW_CASES_CONF_PROB_5-9_F,NEW_CASES_CONF_PROB_5-9_M,NEW_CASES_CONF_PROB_10-14_F,NEW_CASES_CONF_PROB_10-14_M,NEW_CASES_CONF_PROB_15-19_F,NEW_CASES_CONF_PROB_15-19_M,NEW_CASES_CONF_PROB_20-29_F,NEW_CASES_CONF_PROB_20-29_M,NEW_CASES_CONF_PROB_30-39_F,NEW_CASES_CONF_PROB_30-39_M,NEW_CASES_CONF_PROB_40-49_F,NEW_CASES_CONF_PROB_40-49_M,NEW_CASES_CONF_PROB_50-59_F,NEW_CASES_CONF_PROB_50-59_M,NEW_CASES_CONF_PROB_60-64_F,NEW_CASES_CONF_PROB_60-64_M,NEW_CASES_CONF_PROB_65-69_F,NEW_CASES_CONF_PROB_65-69_M,NEW_CASES_CONF_PROB_70-74_F,NEW_CASES_CONF_PROB_70-74_M,NEW_CASES_CONF_PROB_75-79_F,NEW_CASES_CONF_PROB_75-79_M,NEW_CASES_CONF_PROB_80PLUS_F,NEW_CASES_CONF_PROB_80PLUS_M,NEW_CASES_CONF_PROB_UNK_AGE_F,NEW_CASES_CONF_PROB_UNK_AGE_M,NEW_CASES_CONF_PROB_UNK_AGE_UNK_GENDER,NEW_DEATHS_CONF_PROB_0-4_F,NEW_DEATHS_CONF_PROB_0-4_M,NEW_DEATHS_CONF_PROB_5-9_F,NEW_DEATHS_CONF_PROB_5-9_M,NEW_DEATHS_CONF_PROB_10-14_F,NEW_DEATHS_CONF_PROB_10-14_M,NEW_DEATHS_CONF_PROB_15-19_F,NEW_DEATHS_CONF_PROB_15-19_M,NEW_DEATHS_CONF_PROB_20-29_F,NEW_DEATHS_CONF_PROB_20-29_M,NEW_DEATHS_CONF_PROB_30-39_F,NEW_DEATHS_CONF_PROB_30-39_M,NEW_DEATHS_CONF_PROB_40-49_F,NEW_DEATHS_CONF_PROB_40-49_M,NEW_DEATHS_CONF_PROB_50-59_F,NEW_DEATHS_CONF_PROB_50-59_M,NEW_DEATHS_CONF_PROB_60-64_F,NEW_DEATHS_CONF_PROB_60-64_M,NEW_DEATHS_CONF_PROB_65-69_F,NEW_DEATHS_CONF_PROB_65-69_M,NEW_DEATHS_CONF_PROB_70-74_F,NEW_DEATHS_CONF_PROB_70-74_M,NEW_DEATHS_CONF_PROB_75-79_F,NEW_DEATHS_CONF_PROB_75-79_M,NEW_DEATHS_CONF_PROB_80PLUS_F,NEW_DEATHS_CONF_PROB_80PLUS_M,NEW_DEATHS_CONF_PROB_UNK_AGE_F,NEW_DEATHS_CONF_PROB_UNK_AGE_M,NEW_DEATHS_CONF_PROB_UNK_AGE_UNK_GENDER
French Polynesia,2022-06-06,26.0,14803.0,0.0,316.0,0.0,2750.0,2465.0,292.0,0.0,—,,CLUSTERS,9.0,24.0,,16.0,45.0,25.0,,4.0,,128.0,21.0,,,56.0,1427.0,175.0,33.0,32.0,7.0,34.0,,8.0,9.0,86.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-08-29,41.0,15324.0,3.0,0.0,0.0,597.0,739.0,62.0,0.0,,1132805668（人次）,CLUSTERS,,37.0,138.0,100.0,112.0,85.0,27.0,770.0,,694.0,249.0,43.0,130.0,105.0,35.0,90.0,49.0,254.0,465.0,,28.0,,5.0,,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,2022-05-02,20.0,2588.0,4.0,0.0,0.0,18301.0,445.0,335.0,0.0,—,1053420024（人次）,CLUSTERS,40.0,11.0,138.0,16.0,28.0,3.0,60.0,95.0,231.0,79.0,269.0,273.0,1009.0,,200.0,390.0,140.0,5.0,,28.0,,139.0,11.0,18.0,12.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,,,0.0
Philippines,2022-10-24,16.0,1110.0,28.0,0.0,0.0,9462.0,801.0,10.0,0.0,,1092033195（人次）,CLUSTERS,233.0,,11.0,200.0,17.0,128.0,48.0,,181.0,608.0,,131.0,,254.0,1063.0,127.0,75.0,423.0,286.0,31.0,9.0,18.0,57.0,147.0,530.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Philippines,2022-03-07,6.0,1565.0,0.0,0.0,0.0,2376.0,1861.0,44.0,0.0,,1092033195（人次）,,21.0,227.0,2.0,28.0,5.0,71.0,2.0,26.0,33.0,714.0,135.0,135.0,125.0,148.0,503.0,90.0,3.0,21.0,141.0,,151.0,95.0,,16.0,43.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,2022-01-17,20.0,,13.0,316.0,0.0,11645.0,2465.0,293.0,0.0,,1441412906（人次）,,31.0,33.0,207.0,28.0,120.0,,29.0,20.0,26.0,118.0,,97.0,315.0,,,676.0,10.0,37.0,44.0,498.0,16.0,8.0,11.0,56.0,191.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
French Polynesia,2022-06-06,6.0,573.0,0.0,0.0,0.0,840.0,5976.0,2.0,0.0,—,1132805668（人次）,,60.0,82.0,6.0,4.0,9.0,43.0,25.0,295.0,,65.0,1991.0,42.0,,31.0,1474.0,53.0,16.0,24.0,136.0,57.0,18.0,6.0,9.0,2.0,20.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0
French Polynesia,2022-03-28,1.0,1377.0,,0.0,0.0,580.0,,8.0,0.0,—,1080392277（人次）,,,227.0,21.0,8.0,5.0,85.0,30.0,49.0,915.0,106.0,1154.0,120.0,42.0,105.0,50.0,55.0,4.0,106.0,,23.0,69.0,18.0,11.0,10.0,76.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Philippines,2022-10-24,38.0,14803.0,0.0,4.0,0.0,,3253.0,85.0,,—,1215543019（人次）,CLUSTERS,233.0,28.0,89.0,54.0,157.0,85.0,2.0,18.0,73.0,98.0,205.0,181.0,47.0,1370.0,1245.0,224.0,488.0,65.0,20.0,28.0,,60.0,7.0,,16.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
French Polynesia,2022-10-17,7.0,358.0,0.0,,0.0,1319.0,5932.0,293.0,0.0,—,277662502（人次）,CLUSTERS,3.0,23.0,68.0,8.0,1.0,4.0,14.0,9.0,1062.0,129.0,1461.0,166.0,125.0,97.0,84.0,131.0,281.0,4.0,65.0,239.0,2.0,24.0,62.0,18.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
French Polynesia,2022-01-17,,2750.0,,0.0,0.0,597.0,,4.0,0.0,—,1084337087（人次）,,10.0,42.0,31.0,,17.0,3.0,11.0,439.0,915.0,59.0,502.0,193.0,,1587.0,35.0,43.0,13.0,465.0,7.0,,28.0,66.0,20.0,21.0,37.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
Philippines,2022-06-27,15.0,796.0,3.0,0.0,0.0,4164.0,13649.0,11.0,0.0,,991413835（人次）,,31.0,46.0,138.0,5.0,25.0,3.0,21.0,16.0,915.0,73.0,128.0,66.0,,29.0,503.0,69.0,134.0,12.0,26.0,104.0,196.0,27.0,8.0,6.0,4.0,35.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,2022-04-18,26.0,1110.0,0.0,2.0,0.0,15338.0,12863.0,24.0,0.0,,1106448196（人次）,,17.0,13.0,31.0,,254.0,85.0,30.0,9.0,236.0,106.0,336.0,1245.0,18.0,57.0,50.0,224.0,75.0,423.0,127.0,28.0,11.0,1.0,3.0,61.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,0.0,0.0
French Polynesia,2022-05-30,34.0,717.0,19.0,0.0,0.0,1672.0,3171.0,3.0,0.0,,1215543019（人次）,CLUSTERS,3.0,7.0,33.0,24.0,20.0,71.0,52.0,41.0,719.0,1001.0,131.0,84.0,1488.0,,104.0,69.0,27.0,541.0,32.0,168.0,36.0,3.0,29.0,92.0,76.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
French Polynesia,2022-07-04,5.0,9639.0,0.0,,0.0,4181.0,,293.0,0.0,—,1005457961（人次）,CLUSTERS,33.0,273.0,43.0,166.0,16.0,,529.0,36.0,61.0,106.0,95.0,74.0,30.0,381.0,170.0,,17.0,50.0,244.0,57.0,23.0,11.0,16.0,112.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Philippines,2022-09-12,37.0,837.0,0.0,0.0,0.0,9462.0,,50.0,0.0,—,2156917150（人次）,,,15.0,6.0,28.0,5.0,3.0,10.0,,54.0,92.0,128.0,954.0,11.0,207.0,59.0,92.0,28.0,73.0,127.0,29.0,13.0,157.0,181.0,12.0,11.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,
Philippines,2022-02-07,42.0,1377.0,19.0,0.0,0.0,2588.0,2597.0,39.0,0.0,—,2265591787（人次）,,,11.0,,,28.0,3.0,10.0,62.0,64.0,61.0,,,,380.0,59.0,48.0,3.0,85.0,61.0,36.0,13.0,12.0,131.0,,23.0,14.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0
French Polynesia,2022-07-04,26.0,541.0,1.0,0.0,0.0,18301.0,22807.0,17.0,,,1185108553（人次）,,31.0,11.0,,5.0,254.0,15.0,115.0,18.0,33.0,719.0,164.0,153.0,,124.0,131.0,22.0,371.0,,,239.0,306.0,25.0,50.0,26.0,34.0,22.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-03-28,7.0,573.0,5.0,0.0,0.0,541.0,12863.0,10.0,0.0,—,2079714521（人次）,CLUSTERS,13.0,62.0,123.0,8.0,433.0,221.0,52.0,12.0,79.0,135.0,1461.0,294.0,91.0,,93.0,123.0,,6.0,20.0,104.0,,112.0,13.0,80.0,530.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Philippines,2022-06-06,21.0,5707.0,0.0,0.0,0.0,2021.0,,22.0,0.0,—,2156917150（人次）,CLUSTERS,11.0,23.0,47.0,,99.0,128.0,21.0,,29.0,58.0,21.0,230.0,1009.0,57.0,200.0,112.0,281.0,263.0,336.0,228.0,1.0,6.0,3.0,6.0,114.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,5.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0
Philippines,2022-03-14,27.0,1672.0,0.0,0.0,0.0,889.0,2753.0,,0.0,,1053420024（人次）,,31.0,227.0,20.0,5.0,39.0,13.0,29.0,722.0,79.0,193.0,135.0,66.0,234.0,31.0,17.0,1285.0,13.0,,244.0,60.0,32.0,42.0,115.0,88.0,159.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
French Polynesia,2022-10-31,33.0,2443.0,0.0,0.0,0.0,292.0,1882.0,170.0,0.0,—,1132805668（人次）,,249.0,,20.0,87.0,99.0,11.0,50.0,36.0,54.0,714.0,336.0,107.0,125.0,105.0,,22.0,40.0,4.0,61.0,,5.0,95.0,6.0,43.0,,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
French Polynesia,2022-05-02,,889.0,0.0,0.0,0.0,2456.0,374.0,58.0,0.0,,3118309770（人次）,CLUSTERS,6.0,4.0,21.0,38.0,3.0,44.0,237.0,,41.0,,21.0,954.0,,31.0,763.0,25.0,6.0,,,9.0,23.0,2.0,5.0,13.0,122.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,2022-02-28,15.0,14118.0,,0.0,0.0,1481.0,834.0,58.0,0.0,—,952314139（人次),CLUSTERS,143.0,68.0,169.0,12.0,67.0,3.0,,34.0,364.0,719.0,73.0,168.0,192.0,77.0,763.0,,281.0,149.0,316.0,,195.0,,50.0,92.0,302.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
French Polynesia,2022-10-24,26.0,11628.0,0.0,0.0,0.0,840.0,,,0.0,—,238433555（人次）,,152.0,77.0,,12.0,219.0,21.0,,55.0,36.0,78.0,42.0,84.0,11.0,142.0,1245.0,61.0,,263.0,465.0,57.0,18.0,2.0,13.0,,23.0,14.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,118.0,,0.0,0.0,0.0
French Polynesia,2022-11-14,9.0,2588.0,0.0,0.0,,,511.0,4.0,0.0,—,3118309770（人次）,,23.0,77.0,169.0,28.0,,463.0,14.0,63.0,160.0,218.0,30.0,954.0,91.0,766.0,158.0,1074.0,6.0,41.0,26.0,2.0,28.0,34.0,,10.0,12.0,270.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,,0.0,0.0
French Polynesia,2022-10-31,39.0,1565.0,0.0,0.0,0.0,347.0,2042.0,62.0,,—,205771861（人次）,CLUSTERS,27.0,15.0,100.0,,67.0,,2.0,4.0,364.0,98.0,177.0,2120.0,219.0,56.0,1245.0,137.0,16.0,27.0,5.0,2.0,36.0,24.0,0.0,2.0,133.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,2022-01-17,45.0,9434.0,0.0,0.0,0.0,1358.0,13649.0,7.0,0.0,—,991413835（人次）,CLUSTERS,,17.0,21.0,54.0,1.0,24.0,60.0,295.0,33.0,328.0,1154.0,193.0,1303.0,400.0,,92.0,75.0,317.0,18.0,28.0,23.0,239.0,50.0,2.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
