Date,annee,Semaine,Province,Zone_sante,Report,nouveau_contacts,total_a_suivre,suivis,non_suivis,cas_suspects,sortis_doublons,sortis_recycle,sortis_dcd,sortis_conf,contacts_sortis_21jrs,jamais_vus,simple absence,pdv,reticences,deplaces,reste_a_suivre,Observations,vacc,prop_suivis,check1,check2,prop_vacc
2020-09-17,2020,29,Vakaga,Bozoum,6196.0,0.0,337.0,47.0,21.0,2.0,,,,,0.0,0.0,0.0,,,,1.0,Check 1 sup à 0,,69.8561601000625,43.0,-58.0,
2020-08-02,2020,24,Vakaga,Bangui,7220.0,0.0,54.0,431.0,3.0,2.0,,,,,0.0,1.0,,1.0,,,152.0,check 35 sup à 23,688.0,95.1661631419939,15.0,-2.0,85.8895705521472
2020-09-19,2020,28,Sangha-Mbaéré,Bangui,808.0,1.0,331.0,165.0,61.0,0.0,,,,,0.0,,38.0,6.0,0.0,0.0,1363.0,Check 29 sup à 17,129.0,98.1132075471698,47.0,0.0,
2020-07-11,2020,24,Sangha-Mbaéré,Zémio,363.0,0.0,1.0,75.0,14.0,3.0,,,,,516.0,17.0,2.0,0.0,,,1354.0,Check 37 sup à 34,,96.8188105117566,0.0,-25.0,
2020-06-24,2020,33,Sangha-Mbaéré,Ouham-Pendé,424.0,,399.0,497.0,2.0,26.0,,,,,,18.0,0.0,0.0,,,1.0,check 41 sup à 29,0.0,95.0561797752809,0.0,-143.0,
2020-07-03,2020,35,Vakaga,Bria,96.0,477.0,121.0,619.0,339.0,3.0,,,,,0.0,,0.0,0.0,0.0,,194.0,check 77 sup à 65,272.0,96.6759002770083,113.0,-38.0,
2020-06-06,2020,25,Vakaga,Yaloke,149.0,4.0,397.0,155.0,29.0,0.0,,,,,0.0,5.0,1.0,1.0,0.0,0.0,1201.0,Check 42 sup 41,1.0,92.3857868020305,71.0,-386.0,
2020-07-14,2020,38,Vakaga,Obo,2695.0,21.0,1496.0,260.0,60.0,19.0,,,,,0.0,0.0,,0.0,,0.0,653.0,check 59 sup à 46,,82.0,0.0,0.0,0.0
2020-09-17,2020,29,Sangha-Mbaéré,Damara,9110.0,57.0,53.0,2727.0,108.0,2.0,,,,,0.0,,1.0,0.0,,0.0,53.0,Check 145 sup 22,1.0,100.0,0.0,0.0,
2020-08-03,2020,37,Vakaga,Paoua,515.0,0.0,833.0,1092.0,268.0,2.0,,,,,0.0,0.0,38.0,0.0,0.0,,103.0,Check 1 sup à 0,186.0,65.0442477876106,30.0,0.0,0.0
2020-07-11,2020,38,Vakaga,Paoua,322.0,321.0,424.0,197.0,62.0,0.0,,,,,0.0,,,0.0,0.0,0.0,323.0,check 77 sup à 65,0.0,99.4219653179191,7.0,-52.0,
2020-07-14,2020,31,Sangha-Mbaéré,Bouca,383.0,0.0,382.0,179.0,57.0,0.0,,,,,0.0,0.0,,4.0,0.0,,245.0,check 16 sup à 8,,31.5068493150685,4.0,0.0,9.63391136801541
2020-08-23,2020,25,Sangha-Mbaéré,Obo,326.0,0.0,378.0,469.0,16.0,1.0,,,,,0.0,0.0,0.0,0.0,,,54.0,Check 42 sup 41,2.0,97.1428571428571,45.0,-2.0,
2020-06-12,2020,25,Vakaga,Bouca,7071.0,15.0,197.0,1348.0,94.0,3.0,,,,,0.0,4.0,0.0,2.0,,,241.0,check 77 sup à 65,129.0,100.0,0.0,0.0,25.7575757575758
2020-08-24,2020,26,Sangha-Mbaéré,Ouham-Pendé,6111.0,17.0,64.0,148.0,101.0,0.0,,,,,115.0,,6.0,6.0,,,637.0,check 16 sup à 8,,98.5377741673436,36.0,0.0,
2020-09-02,2020,23,Sangha-Mbaéré,Ouham-Pendé,115.0,0.0,732.0,1241.0,85.0,2.0,,,,,0.0,0.0,,0.0,,,173.0,check 35 sup à 23,0.0,90.4306220095694,259.0,0.0,82.593037214886
2020-09-08,2020,29,Vakaga,Damara,17.0,3.0,1607.0,1213.0,21.0,2.0,,,,,0.0,5.0,0.0,0.0,0.0,,1734.0,check 77 sup à 65,6.0,91.504854368932,27.0,-204.0,
2020-09-28,2020,27,Vakaga,Bozoum,6113.0,0.0,741.0,1005.0,16.0,4.0,,,,,1.0,24.0,0.0,0.0,,0.0,599.0,check 13 sup à 6,,97.5,0.0,,
2020-06-27,2020,40,Vakaga,Ouham-Pendé,604.0,46.0,380.0,52.0,61.0,2.0,,,,,0.0,0.0,2.0,0.0,0.0,,211.0,Check 37 sup à 34,,41.6666666666667,2.0,,
2020-08-14,2020,35,Vakaga,Zémio,7153.0,10.0,412.0,871.0,396.0,2.0,,,,,0.0,,,0.0,,,26.0,check 77 sup à 65,20.0,95.8715596330275,16.0,-9.0,
2020-08-06,2020,32,Sangha-Mbaéré,Gamboula,732.0,0.0,2023.0,147.0,118.0,0.0,,,,,26.0,,,,,,286.0,Check 29 sup à 17,40.0,100.0,67.0,-14.0,32.8899637243047
2020-07-06,2020,35,Vakaga,Ouham-Pendé,651.0,0.0,1759.0,2219.0,373.0,0.0,,,,,516.0,,4.0,4.0,0.0,0.0,610.0,check 77 sup à 65,,94.9704142011834,23.0,-51.0,76.1609907120743
2020-07-07,2020,39,Sangha-Mbaéré,Gamboula,236.0,0.0,1567.0,3.0,16.0,2.0,,,,,0.0,5.0,28.0,0.0,,,552.0,check 75 sup à 27,,95.6470588235294,0.0,0.0,
2020-06-08,2020,36,Vakaga,Ouham-Pendé,5421.0,0.0,1.0,1009.0,100.0,22.0,,,,,3.0,,9.0,1.0,,0.0,247.0,check 30 sup à 18,0.0,88.9338731443995,6.0,-139.0,0.0
2020-09-02,2020,37,Vakaga,Paoua,6251.0,92.0,399.0,11.0,963.0,7.0,,,,,0.0,50.0,3.0,,,0.0,239.0,,43.0,47.8260869565217,24.0,-223.0,
2020-08-13,2020,37,Vakaga,Gamboula,7481.0,7.0,57.0,306.0,23.0,0.0,,,,,0.0,8.0,,0.0,,0.0,335.0,Check 171 sup 122,20.0,96.7368421052632,0.0,-58.0,
2020-06-04,2020,38,Vakaga,Ouham-Pendé,659.0,8.0,1337.0,109.0,21.0,1.0,,,,,0.0,0.0,14.0,0.0,0.0,,1628.0,check 75 sup à 27,60.0,82.1052631578947,5.0,-428.0,
2020-09-16,2020,26,Sangha-Mbaéré,Bouca,252.0,27.0,115.0,170.0,0.0,2.0,,,,,0.0,0.0,0.0,3.0,,0.0,1362.0,Check 60 sup à 47,,98.8372093023256,9.0,-20.0,
2020-08-22,2020,38,Vakaga,Paoua,2250.0,32.0,415.0,773.0,41.0,0.0,,,,,0.0,0.0,43.0,0.0,,,1292.0,check 75 sup à 27,0.0,95.7163958641063,128.0,-67.0,
2020-09-04,2020,34,Vakaga,Zémio,457.0,134.0,173.0,1.0,12.0,0.0,,,,,0.0,,0.0,0.0,,,1238.0,check 75 sup à 27,,84.8484848484848,0.0,0.0,0.0
2020-08-20,2020,32,Vakaga,Paoua,5421.0,152.0,1.0,469.0,3.0,0.0,,,,,9.0,0.0,29.0,0.0,,,659.0,check 27 sup 24,31.0,94.3396226415094,11.0,-1052.0,0.945494994438265
2020-09-19,2020,39,Vakaga,Bria,171.0,0.0,173.0,237.0,5.0,0.0,,,,,0.0,,0.0,4.0,,,173.0,check 13 sup à 6,29.0,82.8828828828829,28.0,,
2020-06-27,2020,30,Vakaga,Paoua,1987.0,0.0,1241.0,1333.0,45.0,0.0,,,,,0.0,,0.0,0.0,,,1770.0,Check 60 sup à 47,20.0,100.0,1.0,-387.0,76.1609907120743
2020-07-01,2020,36,Vakaga,Damara,2695.0,0.0,231.0,145.0,30.0,0.0,,,,,0.0,0.0,,6.0,,0.0,249.0,Check 171 sup 122,39.0,96.130592503023,2.0,0.0,
2020-07-03,2020,30,Vakaga,Damara,2107.0,0.0,226.0,173.0,50.0,,,,,,210.0,,3.0,0.0,,,853.0,check 30 sup à 18,0.0,62.1693121693122,85.0,-2.0,
2020-08-26,2020,30,Vakaga,Bouca,1117.0,0.0,2402.0,46.0,134.0,0.0,,,,,319.0,0.0,0.0,8.0,,0.0,163.0,Check 145 sup 22,20.0,76.4705882352941,0.0,-963.0,0.0
2020-07-01,2020,25,Vakaga,Bouca,1117.0,0.0,1700.0,243.0,62.0,7.0,,,,,628.0,9.0,27.0,,0.0,,1774.0,Check 37 sup à 34,0.0,90.0449582530507,150.0,0.0,63.1578947368421
2020-09-04,2020,36,Vakaga,Bria,131.0,0.0,204.0,361.0,290.0,11.0,,,,,0.0,19.0,21.0,0.0,0.0,,386.0,check 75 sup à 27,0.0,85.7740585774059,7.0,-78.0,79.2284866468843
2020-08-06,2020,30,Sangha-Mbaéré,Gamboula,228.0,151.0,397.0,313.0,66.0,0.0,,,,,0.0,0.0,48.0,5.0,,,341.0,Check 145 sup 22,191.0,97.2402597402597,57.0,-14.0,
2020-07-06,2020,24,Vakaga,Bangui,142.0,252.0,201.0,304.0,62.0,1.0,,,,,0.0,1.0,0.0,,5.0,,781.0,check 87 sup à 71,,86.0824742268041,147.0,-398.0,0.0
2020-07-30,2020,39,Sangha-Mbaéré,Obo,428.0,0.0,683.0,44.0,38.0,0.0,,,,,0.0,4.0,0.0,,,,207.0,check 87 sup à 71,0.0,88.9220440134278,33.0,-14.0,0.0
2020-06-04,2020,26,Sangha-Mbaéré,Bozoum,1441.0,0.0,115.0,763.0,0.0,0.0,,,,,,4.0,12.0,4.0,,,327.0,Check 42 sup 41,45.0,71.875,57.0,-25.0,
2020-08-26,2020,24,Sangha-Mbaéré,Gamboula,1311.0,30.0,1.0,422.0,274.0,6.0,,,,,0.0,0.0,100.0,0.0,,,380.0,Check 60 sup à 47,35.0,97.5892857142857,9.0,,
2020-08-23,2020,37,Sangha-Mbaéré,Paoua,7.0,0.0,323.0,140.0,342.0,0.0,,,,,259.0,,,0.0,,15.0,173.0,Check 37 sup à 34,20.0,94.6716232961586,1.0,0.0,
2020-06-14,2020,30,Vakaga,Zémio,4.0,0.0,1699.0,2166.0,0.0,,,,,,0.0,,0.0,7.0,,,200.0,check 75 sup à 27,0.0,90.4306220095694,28.0,-13.0,15.7894736842105
2020-09-04,2020,34,Sangha-Mbaéré,Bozoum,9153.0,3.0,246.0,275.0,81.0,0.0,,,,,79.0,1.0,1.0,0.0,,,323.0,Check 42 sup 41,20.0,93.6555891238671,25.0,0.0,
2020-08-19,2020,26,Vakaga,Damara,5421.0,241.0,1171.0,90.0,5.0,2.0,,,,,0.0,3.0,26.0,0.0,0.0,,23.0,Check 29 sup à 17,60.0,47.7173233270794,0.0,0.0,4.48895027624309
2020-09-15,2020,26,Vakaga,Bouca,1316.0,41.0,1131.0,3.0,12.0,1.0,,,,,0.0,74.0,,13.0,,,341.0,check 87 sup à 71,,96.2264150943396,5.0,0.0,
2020-07-22,2020,38,Vakaga,Obo,323.0,96.0,115.0,145.0,55.0,2.0,,,,,0.0,,,,,0.0,92.0,Check 171 sup 122,20.0,88.3507050889025,0.0,-34.0,
2020-08-03,2020,32,Vakaga,Bria,4119.0,67.0,268.0,314.0,122.0,0.0,,,,,0.0,,,,,0.0,194.0,check 35 sup à 23,160.0,91.0679611650485,0.0,-19.0,17.037037037037
2020-09-23,2020,40,Sangha-Mbaéré,Ouham-Pendé,41.0,0.0,367.0,249.0,0.0,1.0,,,,,0.0,10.0,0.0,0.0,,,164.0,check 87 sup à 71,0.0,95.3424657534246,23.0,-17.0,0.0
2020-08-25,2020,27,Sangha-Mbaéré,Bouca,8932.0,0.0,323.0,109.0,9.0,10.0,,,,,178.0,99.0,68.0,0.0,,,1161.0,Check 29 sup à 17,0.0,78.9038262668046,24.0,-35.0,
2020-06-10,2020,33,Vakaga,Ouham-Pendé,4227.0,0.0,574.0,99.0,143.0,0.0,,,,,0.0,0.0,8.0,0.0,,54.0,205.0,check 59 sup à 46,1.0,91.0390516039052,0.0,-110.0,84.9085365853659
2020-06-14,2020,32,Vakaga,Ouham-Pendé,171.0,0.0,73.0,369.0,72.0,8.0,,,,,0.0,5.0,,0.0,,0.0,1655.0,check 30 sup à 18,51.0,90.8713692946058,4.0,0.0,
2020-06-25,2020,31,Vakaga,Ouham-Pendé,6561.0,0.0,752.0,81.0,61.0,6.0,,,,,0.0,38.0,1.0,0.0,,,348.0,check 75 sup à 27,29.0,87.1495327102804,113.0,-58.0,4.48895027624309
2020-07-08,2020,23,Vakaga,Bangui,326.0,0.0,653.0,314.0,0.0,0.0,,,,,0.0,7.0,30.0,1.0,,,552.0,Check 1 sup à 0,0.0,79.8013245033112,36.0,0.0,
2020-08-14,2020,33,Vakaga,Yaloke,731.0,153.0,1352.0,288.0,35.0,,,,,,0.0,4.0,0.0,,0.0,,1171.0,Check 1 sup à 0,60.0,93.0747922437673,108.0,-101.0,0.0
2020-06-09,2020,30,Sangha-Mbaéré,Bangui,232.0,377.0,154.0,315.0,259.0,18.0,,,,,,,0.0,,,0.0,2121.0,Check 1 sup à 0,,93.2038834951456,100.0,0.0,
2020-08-08,2020,26,Vakaga,Zémio,714.0,0.0,361.0,483.0,0.0,1.0,,,,,0.0,0.0,,0.0,0.0,,280.0,Check 42 sup 41,16.0,95.8217270194986,0.0,0.0,
2020-07-13,2020,36,Sangha-Mbaéré,Damara,423.0,0.0,1.0,503.0,134.0,2.0,,,,,364.0,4.0,0.0,,,0.0,0.0,check 16 sup à 8,100.0,90.0181488203267,65.0,0.0,0.0
2020-09-13,2020,28,Vakaga,Paoua,222.0,60.0,164.0,145.0,28.0,0.0,,,,,0.0,,134.0,0.0,,0.0,1728.0,check 59 sup à 46,,92.0427553444181,0.0,0.0,
2020-07-10,2020,30,Vakaga,Zémio,323.0,0.0,1396.0,206.0,364.0,8.0,,,,,0.0,5.0,75.0,2.0,,0.0,343.0,Check 171 sup 122,6.0,100.0,25.0,-101.0,
2020-09-22,2020,35,Vakaga,Yaloke,131.0,61.0,1631.0,124.0,18.0,1.0,,,,,0.0,4.0,,0.0,0.0,,24.0,check 27 sup 24,20.0,75.0190985485103,0.0,-126.0,
2020-08-29,2020,36,Vakaga,Ouham-Pendé,478.0,265.0,154.0,40.0,0.0,1.0,,,,,0.0,0.0,0.0,,,3.0,1206.0,check 35 sup à 23,0.0,93.3184855233853,0.0,-138.0,
2020-07-18,2020,35,Vakaga,Zémio,461.0,10.0,53.0,555.0,42.0,4.0,,,,,0.0,0.0,,0.0,,0.0,382.0,Check 37 sup à 34,60.0,94.7826086956522,92.0,0.0,
2020-08-16,2020,28,Sangha-Mbaéré,Gamboula,20.0,0.0,575.0,209.0,43.0,0.0,,,,,0.0,0.0,0.0,2.0,,,723.0,Check 37 sup à 34,0.0,43.6548223350254,0.0,-22.0,
2020-06-17,2020,30,Sangha-Mbaéré,Ouham-Pendé,455.0,0.0,380.0,10.0,0.0,1.0,,,,,0.0,,0.0,,,,366.0,check 13 sup à 6,79.0,97.1428571428571,5.0,-11.0,
2020-06-23,2020,25,Vakaga,Bozoum,24.0,0.0,322.0,162.0,81.0,8.0,,,,,0.0,0.0,38.0,1.0,,0.0,96.0,check 35 sup à 23,40.0,100.0,52.0,-272.0,
2020-08-18,2020,33,Vakaga,Ouham-Pendé,202.0,0.0,382.0,1009.0,0.0,0.0,,,,,290.0,4.0,0.0,0.0,,,1599.0,check 77 sup à 65,40.0,94.7503201024328,307.0,-590.0,
2020-06-24,2020,25,Vakaga,Damara,343.0,,1573.0,1577.0,114.0,6.0,,,,,0.0,,1.0,0.0,,,2247.0,Check 60 sup à 47,60.0,99.4219653179191,0.0,-233.0,
2020-07-18,2020,30,Vakaga,Ouham-Pendé,985.0,0.0,807.0,776.0,61.0,0.0,,,,,0.0,3.0,0.0,0.0,0.0,,323.0,Check 29 sup à 17,,27.6909722222222,25.0,-118.0,
2020-09-17,2020,38,Sangha-Mbaéré,Bangui,441.0,0.0,127.0,594.0,0.0,0.0,,,,,0.0,0.0,30.0,,,,249.0,Check 1 sup à 0,0.0,89.7029702970297,0.0,-367.0,
2020-08-24,2020,26,Vakaga,Ouham-Pendé,1093.0,8.0,600.0,1159.0,2.0,0.0,,,,,0.0,14.0,0.0,6.0,,,1536.0,Check 37 sup à 34,452.0,90.4386951631046,15.0,-564.0,
2020-09-16,2020,27,Vakaga,Ouham-Pendé,311.0,11.0,331.0,336.0,31.0,0.0,,,,,0.0,0.0,0.0,,,,136.0,check 16 sup à 8,,56.3552833078101,19.0,-259.0,61.5384615384615
2020-09-13,2020,26,Sangha-Mbaéré,Ouham-Pendé,322.0,23.0,387.0,,32.0,0.0,,,,,0.0,27.0,15.0,,,1.0,56.0,check 16 sup à 8,,89.5522388059701,0.0,-16.0,4.12371134020619
2020-09-02,2020,34,Vakaga,Damara,1080.0,0.0,336.0,224.0,73.0,0.0,,,,,,19.0,,0.0,,,1354.0,check 30 sup à 18,20.0,84.6992329430763,54.0,-17.0,4.92589363557105
2020-07-19,2020,35,Sangha-Mbaéré,Obo,108.0,0.0,382.0,205.0,292.0,0.0,,,,,178.0,225.0,2.0,,0.0,,418.0,Check 1 sup à 0,1.0,0.26525198938992,1.0,-118.0,0.0
2020-08-21,2020,25,Vakaga,Bouca,851.0,21.0,286.0,1245.0,1.0,11.0,11.0,,,,0.0,2.0,0.0,6.0,0.0,0.0,64.0,check 59 sup à 46,0.0,100.0,25.0,-68.0,
2020-06-16,2020,38,Vakaga,Bangui,254.0,42.0,249.0,795.0,3.0,0.0,,,,,0.0,6.0,,,,,367.0,Check 37 sup à 34,40.0,97.5892857142857,0.0,-95.0,0.0
2020-07-10,2020,28,Sangha-Mbaéré,Gamboula,46.0,0.0,1320.0,356.0,0.0,0.0,,,,,0.0,5.0,24.0,20.0,,5.0,7.0,check 75 sup à 27,100.0,95.2380952380952,25.0,-2.0,91.3165266106443
2020-08-27,2020,24,Sangha-Mbaéré,Ouham-Pendé,651.0,0.0,2702.0,812.0,39.0,0.0,,,,,0.0,,35.0,30.0,,,1232.0,,20.0,69.8561601000625,0.0,0.0,0.0
2020-07-24,2020,36,Vakaga,Damara,1791.0,0.0,619.0,56.0,11.0,3.0,,,,,0.0,,68.0,4.0,0.0,0.0,1292.0,Check 1 sup à 0,,79.6747967479675,41.0,-2.0,
2020-06-27,2020,25,Vakaga,Yaloke,1311.0,0.0,1309.0,373.0,34.0,17.0,,,,,0.0,,27.0,,,,1.0,Check 60 sup à 47,,0.0,1.0,-96.0,
2020-09-08,2020,33,Sangha-Mbaéré,Zémio,226.0,5.0,3.0,175.0,190.0,,,,,,0.0,23.0,,0.0,0.0,,231.0,check 30 sup à 18,,93.0012881064835,158.0,0.0,
2020-07-07,2020,25,Vakaga,Gamboula,461.0,82.0,1362.0,378.0,34.0,0.0,,,,,267.0,0.0,0.0,4.0,0.0,,1628.0,Check 37 sup à 34,11.0,96.1607142857143,0.0,-64.0,
2020-08-01,2020,29,Vakaga,Zémio,557.0,1.0,200.0,86.0,72.0,0.0,,,,,0.0,0.0,39.0,,,,57.0,Check 60 sup à 47,80.0,73.5930735930736,6.0,0.0,
2020-06-19,2020,36,Vakaga,Bouca,755.0,5.0,115.0,336.0,30.0,0.0,,,,,0.0,,0.0,13.0,0.0,,1312.0,Check 29 sup à 17,,93.5779816513761,0.0,0.0,42.5925925925926
2020-09-05,2020,37,Sangha-Mbaéré,Bangui,659.0,158.0,111.0,179.0,45.0,0.0,,,,,0.0,6.0,0.0,0.0,,1.0,323.0,check 75 sup à 27,1.0,70.3554119547658,21.0,0.0,
2020-08-03,2020,37,Sangha-Mbaéré,Ouham-Pendé,252.0,53.0,103.0,46.0,46.0,8.0,,,,,0.0,39.0,0.0,0.0,0.0,,853.0,check 13 sup à 6,,85.0473612990528,1.0,0.0,
2020-08-08,2020,35,Vakaga,Paoua,72.0,0.0,598.0,1255.0,7.0,0.0,,,,,0.0,,6.0,0.0,,0.0,159.0,check 75 sup à 27,,80.3664921465969,8.0,-31.0,
2020-07-05,2020,32,Vakaga,Gamboula,211.0,0.0,1778.0,527.0,37.0,0.0,,,,,0.0,0.0,1.0,0.0,,0.0,452.0,check 30 sup à 18,0.0,83.9506172839506,59.0,-78.0,0.0
2020-08-04,2020,32,Vakaga,Bangui,37.0,2.0,1120.0,336.0,32.0,1.0,,,,,395.0,0.0,,3.0,,0.0,515.0,check 13 sup à 6,0.0,82.8947368421053,5.0,-47.0,
2020-07-07,2020,28,Sangha-Mbaéré,Ouham-Pendé,2250.0,1.0,397.0,203.0,163.0,0.0,,,,,0.0,0.0,,0.0,,,367.0,Check 60 sup à 47,,47.945205479452,19.0,-13.0,
2020-06-06,2020,29,Vakaga,Gamboula,372.0,,367.0,395.0,262.0,1.0,,,,,0.0,,,0.0,0.0,,1700.0,Check 1 sup à 0,140.0,95.260663507109,0.0,0.0,11.5273775216138
2020-07-19,2020,28,Sangha-Mbaéré,Bangui,651.0,3.0,390.0,92.0,26.0,0.0,,,,,0.0,11.0,0.0,,,,64.0,Check 50 sup à 44,40.0,95.6470588235294,0.0,-104.0,
2020-09-16,2020,32,Vakaga,Paoua,4.0,1.0,1390.0,171.0,100.0,1.0,,,,,0.0,9.0,0.0,4.0,,,389.0,Check 29 sup à 17,,64.7887323943662,1.0,-15.0,76.6990291262136
2020-09-05,2020,30,Sangha-Mbaéré,Paoua,643.0,0.0,56.0,309.0,0.0,13.0,,,,,64.0,225.0,15.0,1.0,,0.0,0.0,check 30 sup à 18,,75.4716981132076,7.0,-55.0,0.0
2020-07-08,2020,38,Sangha-Mbaéré,Ouham-Pendé,871.0,265.0,336.0,235.0,54.0,4.0,,,,,1.0,0.0,,0.0,,,967.0,Check 42 sup 41,,92.9155313351499,70.0,0.0,
2020-08-20,2020,34,Vakaga,Obo,671.0,0.0,396.0,871.0,118.0,0.0,,,,,0.0,5.0,94.0,,,,206.0,Check 171 sup 122,342.0,97.1428571428571,0.0,0.0,76.6990291262136
2020-08-20,2020,34,Vakaga,Ouham-Pendé,2232.0,0.0,337.0,1.0,18.0,0.0,,,,,0.0,120.0,89.0,3.0,,,507.0,check 16 sup à 8,,76.4705882352941,67.0,0.0,
2020-07-05,2020,38,Sangha-Mbaéré,Ouham-Pendé,7220.0,0.0,53.0,46.0,271.0,0.0,,,,,0.0,,12.0,0.0,0.0,,136.0,Check 1 sup à 0,326.0,27.6909722222222,0.0,-396.0,
2020-09-04,2020,35,Vakaga,Bouca,2695.0,0.0,267.0,1.0,59.0,2.0,,,,,53.0,4.0,56.0,,,,1171.0,,140.0,80.8988764044944,8.0,-114.0,
2020-07-10,2020,36,Vakaga,Ouham-Pendé,170.0,0.0,1.0,587.0,39.0,1.0,,,,,0.0,0.0,,0.0,0.0,,1682.0,Check 37 sup à 34,,96.130592503023,0.0,0.0,
2020-07-07,2020,37,Vakaga,Yaloke,817.0,0.0,1395.0,1115.0,166.0,5.0,,,,,0.0,,,5.0,,,212.0,check 30 sup à 18,186.0,99.5402298850575,22.0,0.0,42.5454545454545
2020-06-06,2020,30,Vakaga,Yaloke,2110.0,42.0,1710.0,1152.0,0.0,6.0,,,,,0.0,1.0,25.0,,0.0,,1144.0,check 77 sup à 65,79.0,100.0,0.0,0.0,82.741116751269
2020-06-14,2020,31,Vakaga,Bria,375.0,0.0,26.0,1328.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,1536.0,check 16 sup à 8,50.0,93.2038834951456,4.0,-354.0,94.4162436548223
2020-06-04,2020,29,Sangha-Mbaéré,Bangui,92.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,335.0,check 35 sup à 23,36.0,0.0,164.0,-288.0,
2020-06-19,2020,30,Vakaga,Damara,2127.0,57.0,309.0,1402.0,40.0,0.0,,,,,0.0,14.0,0.0,0.0,,,322.0,Check 29 sup à 17,,80.3664921465969,39.0,0.0,5.95238095238095
2020-09-06,2020,37,Sangha-Mbaéré,Ouham-Pendé,125.0,0.0,316.0,311.0,65.0,1.0,,,,,0.0,,0.0,,,,1699.0,Check 29 sup à 17,,95.6470588235294,19.0,0.0,0.0
2020-07-22,2020,24,Sangha-Mbaéré,Paoua,171.0,0.0,231.0,180.0,42.0,2.0,,,,,0.0,,15.0,0.0,,,220.0,check 13 sup à 6,11.0,85.7324840764331,0.0,0.0,
2020-06-09,2020,36,Vakaga,Ouham-Pendé,982.0,26.0,1496.0,52.0,40.0,1.0,,,,,0.0,0.0,,2.0,,,64.0,Check 42 sup 41,60.0,76.4705882352941,34.0,0.0,64.1791044776119
2020-08-14,2020,38,Sangha-Mbaéré,Bangui,6113.0,7.0,1759.0,50.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,2066.0,Check 29 sup à 17,100.0,92.3218673218673,147.0,0.0,
2020-06-24,2020,35,Sangha-Mbaéré,Zémio,108.0,0.0,382.0,52.0,38.0,0.0,,,,,0.0,0.0,,4.0,,0.0,515.0,check 75 sup à 27,26.0,93.1034482758621,8.0,0.0,
